userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
268261474,3926,216,820534,3515,3182,976,5583,308442,T
202090856,1076,1,189376,693,23257,1301,2673,307836,T
879417342,2389,5,418075,994,3475,976,2634,308537,T
936518145,2397,1,282846,1149,3322,1301,5753,308174,T
587725758,2334,32,417786,851,5704,1301,5221,307957,T
224855794,3882,232,656058,1591,4258,650,4710,308108,T
574102101,3999,218,631842,1320,21596,325,5634,307867,T
321324322,2362,1,481848,1446,3054,650,5300,308043,T
915115301,3861,214,791505,620,6298,976,3525,308205,T
359446371,3945,238,358995,728,6170,325,2690,308228,T
021611390,3899,232,697921,1866,5599,1301,4861,307877,T
335288466,3895,209,743945,1042,5124,1301,3989,307878,T
755632844,2311,1,244966,2652,7752,1627,2754,308341,T
002562703,3929,209,157160,691,33594,1627,3552,308446,T
672017461,2401,9,456190,2056,5212,325,3015,307896,T
623437878,2211,6,499686,1708,5928,1627,3025,308323,T
256659232,2225,11,191350,1128,20156,1627,5902,307598,T
919396646,1384,74,153624,2606,5599,650,3384,307857,T
288108416,3897,209,190953,1320,4799,976,5901,307551,T
560775137,3847,220,754012,1259,11198,1301,2895,308408,T
530290235,3841,221,668334,1550,3642,1301,2648,307735,T
569933748,4000,202,992000,775,5928,650,6072,307786,T
318435207,1080,25,227880,1111,4258,976,3077,307996,T
320482274,2310,1,182490,1239,11628,1301,4832,308423,T
970544889,961,34,23064,969,21596,1627,4760,308016,T
757112071,1033,4,16528,3182,12093,976,3079,308101,T
038571612,3977,221,493148,1550,37793,1627,5909,308341,T
892193593,3992,199,530936,1244,4381,650,4551,307620,T
609662967,969,10,213180,3216,21596,325,4901,308540,T
943380565,2340,25,453960,1107,3182,976,3931,307967,T
080857546,3864,209,247296,781,43192,1301,3179,307617,T
200997216,2344,15,468800,767,20156,1301,4351,308511,T
315333349,3872,212,147136,625,6572,1301,4412,307802,T
241776741,1360,65,53040,797,12093,650,2695,307999,T
603426739,2302,24,253220,2029,3085,650,3099,307999,T
857010558,3957,223,237420,851,10425,1301,2813,307597,T
203110513,3989,207,725998,2015,13145,325,5572,308075,T
893161556,1086,22,226974,1566,9753,976,2837,308081,T
848185641,3866,204,556704,1854,3359,1627,4737,307715,T
857435672,2274,5,179646,1768,18896,1301,3327,308309,T
942640345,2356,1,108376,918,16797,650,5825,307982,T
997256052,1837,4,148797,2799,6046,650,2674,308345,T
254242670,1125,21,101250,765,37793,976,4502,308000,T
726669519,3925,214,518100,3827,3322,1301,3099,308299,T
298742254,3968,205,99200,981,3397,1301,3899,308367,T
555960654,2348,32,79832,1132,3926,976,4710,307694,T
939705439,3900,234,429000,2144,3642,325,5307,307909,T
848983681,931,9,119168,965,37793,325,2851,307761,T
469141889,3908,223,558844,619,15117,1627,5862,307649,T
358987927,3931,214,947371,1511,3876,1627,5525,307821,T
029966344,2314,15,354042,1001,3827,976,2957,307672,T
881988202,3963,230,673710,3054,4258,976,5405,308220,T
936780637,4025,205,817075,1419,4031,325,6187,307897,T
200340972,3872,226,677600,1099,11198,325,4737,308133,T
348878426,3844,202,680388,1832,3779,325,5342,308061,T
544652036,3869,224,309520,1337,8398,650,5687,308494,T
198223155,2295,31,121635,746,3827,1301,2948,307886,T
316144915,953,1,90535,1534,60469,1301,5955,308112,T
477224769,3915,202,289710,757,25195,976,2585,308487,T
233267535,963,3,185859,1810,10798,325,4682,308087,T
169147056,2265,1,486975,1747,43192,650,6095,307580,T
120338802,3894,238,218064,962,4512,976,4254,308440,T
935447006,1240,66,93000,2584,4085,650,2923,308083,T
869023609,2363,1,283560,643,10425,976,5935,308449,T
922723545,2382,1,488310,607,14397,976,3277,307788,T
595340780,2253,1,538467,1963,16797,976,5334,307977,T
172857323,3972,222,103272,695,4581,325,5918,307921,T
907571241,948,19,173484,1527,10078,325,4803,307729,T
209391058,3946,236,217030,1219,3687,976,2619,307768,T
939996257,2358,1,165060,1049,5212,1301,2572,308460,T
534036165,2332,1,48972,1504,4956,1627,2869,308328,T
305787600,3998,232,715642,680,15117,1301,5727,308089,T
919878250,4001,231,500125,1254,3732,976,4186,308528,T
419773914,1322,69,308026,959,6871,650,3082,308544,T
156368099,3963,238,467634,648,3286,1301,4452,308504,T
464389820,2240,15,73920,994,8892,650,6069,307919,T
564937846,2360,1,320960,763,11198,1301,3097,308236,T
499289070,2330,15,177080,623,3085,976,3217,308020,T
156093127,3848,208,130832,1038,60469,650,5302,308467,T
096135284,3913,220,919555,1643,5704,325,2913,307702,T
590668258,2358,28,436230,1068,3687,325,2781,308155,T
729581190,2327,22,504959,1727,3926,976,3567,308006,T
038058123,2338,1,317968,2129,3687,1301,4271,308470,T
788919987,954,16,62010,854,4031,976,3034,308256,T
