userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
988226372,4069,220,191243,947,1079,1301,2994,308128,T
233635433,838,33,77934,947,1727,1301,2640,308061,F
041124818,2214,61,97416,947,902,650,3924,307966,T
808411123,857,56,42850,947,965,1301,2666,308282,F
870639049,871,17,21775,947,891,650,2823,307814,T
844107239,675,51,29700,947,714,1301,2764,308262,F
411961274,4053,217,206703,947,3397,650,5920,308293,T
819470371,693,52,42273,947,644,1627,2567,307577,F
421935581,4052,266,384940,947,913,1627,4867,308329,T
181363643,788,75,48856,947,1314,1627,2724,307945,F
992995475,2348,38,225408,947,8638,650,5437,308118,T
420803117,641,33,16025,947,810,1301,2972,308341,F
914189078,2216,27,128528,947,3779,976,4787,307547,T
529165386,776,57,16296,947,1652,1301,2674,307780,F
169423465,2308,52,96936,947,761,976,4852,308374,T
227581691,752,76,31584,947,693,1627,2933,308005,F
305341038,2479,26,71891,947,5814,1301,4246,308063,T
017556709,774,57,57276,947,1275,1301,2585,307923,F
031648243,593,8,27871,947,605,1627,2639,307753,T
505385151,653,49,61382,947,947,1301,2639,308517,F
703190693,2295,49,218025,947,1011,1301,5862,307739,T
131089338,895,55,47435,947,744,1627,2614,308211,F
482570370,3947,226,126304,947,2584,325,5480,308093,T
138778717,643,39,20576,947,2993,1301,2617,308384,F
535922242,3980,258,358200,947,1355,1627,2949,307651,T
766379946,777,71,31080,947,959,1301,2573,308311,F
868939670,2328,5,102432,947,3435,1627,5343,308113,T
000192757,665,65,65835,947,671,1301,2597,308159,F
009414142,3978,239,202878,947,3397,1301,4330,308519,T
446909584,822,57,31236,947,628,1627,2749,308341,F
674598023,4052,234,230964,947,713,1301,4607,308260,T
698471820,723,56,44103,947,978,1301,2670,307956,F
597359773,1716,5,66924,947,679,650,2598,307756,T
003613480,841,72,77372,947,1343,1301,2671,308285,F
733955273,3938,239,200838,947,1286,976,4209,308513,T
958258563,683,27,56689,947,1167,1301,2673,308072,F
263454001,2208,30,205344,947,2256,650,5160,308468,T
203466842,727,51,25445,947,1145,1301,2624,308059,F
539114874,2275,33,143325,947,1679,1301,5880,308182,T
628513743,653,36,60729,947,679,1627,2553,307795,F
524425473,1015,57,32480,947,37793,650,4106,308004,T
124569746,725,21,63075,947,750,1301,2578,308526,F
411436068,4132,236,264448,947,3216,1627,5475,308000,T
984149927,680,56,32640,947,902,1301,2785,307832,F
259440591,4035,243,310695,947,1158,1627,4463,307708,T
533956161,864,33,63936,947,761,1301,2586,307929,F
474230214,1935,35,179955,947,646,325,2573,308073,T
631641288,766,53,49024,947,1925,1627,2571,308505,F
495898126,2398,5,203830,947,2190,976,2903,307752,T
556550710,633,53,55704,947,613,1627,2977,307649,F
929839790,1942,18,44666,947,5928,325,3048,308041,T
041898515,820,46,75440,947,941,1627,2760,308466,F
197074223,1393,81,27860,947,1591,325,2747,307724,T
921777052,857,78,24853,947,819,1627,2785,308545,F
526338879,2237,52,116324,947,3251,325,4415,308524,T
307604904,621,51,62100,947,1566,1627,2669,307781,F
979018842,3981,264,91563,947,1281,1301,2757,308238,T
418131818,716,81,71600,947,1976,1627,2677,308396,F
712349235,2366,34,134862,947,1046,650,5856,307847,T
059214717,781,59,21087,947,2773,1301,2627,307872,F
665474575,1988,52,159040,947,730,325,3492,307666,T
