userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
855648283,4678,54,893498,1915,10074,936,6350,959349,T
598218812,105,1,13860,1924,29887,468,3670,958936,T
363472947,4531,59,249205,3630,21347,1873,6457,958555,T
451241397,3390,143,366120,2310,11207,936,5202,958680,T
594275607,4585,39,646485,6691,28019,2341,3672,959205,T
486464070,238,1,12614,2281,20851,936,3205,959207,T
346379403,218,7,44254,2532,12116,468,5149,959023,T
053971526,124,1,8804,2299,20377,936,4584,958761,T
114058440,4657,85,642666,3333,10074,468,4579,958712,T
401438919,1037,18,53924,2384,40755,1404,4376,959125,T
928232002,982,1,209166,5336,16010,936,6333,958561,T
914374225,849,1,185082,2959,42695,1404,3610,958487,T
930364643,4915,9,535735,2181,11069,1404,4258,959325,T
150697891,3750,35,817500,2733,19924,468,2870,959148,T
286059726,935,10,122485,1800,13794,936,4809,959367,T
408020184,1016,3,59944,2275,9962,1404,4601,959273,T
637149330,3230,119,507110,2192,49811,2341,3223,959292,T
021332499,4532,38,779504,1871,30917,1404,3009,958432,T
271451520,4647,51,947988,2930,13185,1404,5693,958925,T
612082005,3338,146,36718,1800,22415,468,3214,958577,T
170504550,899,23,132153,1860,10074,1404,4670,959424,T
614061539,994,7,143136,9640,19491,1873,4251,958924,T
385228831,999,19,139860,7729,49811,1404,2979,958885,T
037347753,3263,157,717860,9640,9538,1404,4203,958489,T
695531083,4841,28,338870,1089,4579,1268,4310,345439,F
579133829,1979,19,96971,4694,23595,468,2826,958910,T
884167097,4637,118,273583,4953,11069,936,3512,958689,T
776247562,3201,141,38412,4953,9962,936,3073,958762,T
489603122,1999,9,115942,5784,14698,468,5972,959352,T
033375528,3299,122,465159,12282,81510,1404,3527,958940,T
564072921,986,1,158746,4229,19491,2341,3653,959267,T
213734405,3237,138,223353,1953,11069,2341,3649,958898,T
855656194,1934,28,177928,5274,9745,936,3683,958655,T
134464708,4751,18,95020,2767,23595,936,5145,958964,T
654536868,883,21,187196,3039,15730,2341,2854,958741,T
196892830,4623,40,1151127,2047,27170,468,3381,958918,T
548647499,4607,29,617338,2384,17932,1404,6380,959253,T
629754942,913,1,42911,3409,28922,1404,3331,959016,T
686955119,3241,127,683851,2758,22990,1873,4224,959224,T
923540040,3354,150,214656,1983,12628,936,6382,958735,T
073999099,4628,114,837668,3113,13585,468,3042,959020,T
896375300,4599,37,938196,2930,19924,1873,4193,959231,T
080877755,4596,56,381468,1961,89661,468,6152,958871,T
280158773,4694,41,685324,3502,44830,1404,6425,958927,T
039711218,3314,129,715824,2202,38983,936,3236,958504,T
938807044,3319,122,398280,2775,23595,468,3310,959020,T
817015035,4501,57,148533,2119,29887,1873,4192,959341,T
681759837,137,12,8494,2750,10188,936,2918,959093,T
564050978,873,6,48015,2606,37358,1873,4495,959166,T
379719425,1038,1,129750,8301,12628,936,4382,958601,T
227589777,3211,144,176605,5822,74717,468,3624,958500,T
745917619,3202,134,384240,2539,74717,1404,4676,958913,T
412325889,4507,33,621966,12808,30917,936,4821,958782,T
350056340,3317,140,238824,3630,9745,936,5019,958641,T
437695915,3219,136,424908,4645,15196,936,4406,958459,T
092964631,2073,20,49752,3735,10425,936,2764,958926,T
936931847,4577,43,1002363,2561,9438,468,2771,958776,T
310927563,949,9,60736,4621,14698,2341,3324,959077,T
541156428,4621,38,877990,3320,12116,936,3702,958743,T
457163060,4612,42,1111492,3720,11207,936,3249,959427,T
098576016,4540,43,467620,1867,68970,936,3148,958710,T
288372828,1017,23,141363,7172,21347,1404,4609,959384,T
794896478,4592,31,1111264,1864,11644,2341,4728,959143,T
325651916,4561,42,483466,4846,15458,468,5726,959069,T
670143189,167,6,13360,2109,11797,1873,2764,959357,T
993902203,1944,28,149688,7230,10305,2341,2847,958835,F
500850198,937,12,125558,2930,16302,1873,2914,958719,T
800901284,990,1,228690,1793,9640,936,6329,958562,T
271160517,172,1,29756,3091,18298,936,4423,959009,T
944783862,3314,137,493786,5977,10934,1404,5144,959370,T
274664840,3217,143,485767,2456,81510,1873,3498,958529,T
064143691,4565,97,337810,1879,17932,468,3000,959290,T
258039623,3756,32,653544,7349,22990,936,3113,958835,T
609314736,4702,114,183378,2181,9538,468,5109,959247,T
269531716,4890,47,366750,1895,16010,468,4297,959190,T
696515436,4642,46,733436,4719,64043,1404,2814,958655,T
823931874,4660,105,1090440,6497,13382,468,3761,959394,T
264133622,869,1,38236,2525,13185,1873,4414,958471,T
241803291,71,1,7668,4170,149435,936,3126,958731,T
623267393,4686,20,927828,10673,44830,468,5784,959145,T
049941124,4552,57,341400,6544,59774,468,4922,959115,T
924608128,3643,9,761387,7934,10673,468,3541,958703,T
693166683,855,12,97470,2733,12808,468,6481,959370,T
891506497,4543,19,604219,1940,22990,1404,5943,958487,T
133658526,3389,155,284676,2741,24905,468,5672,958622,T
038770422,189,1,22113,2717,19491,468,4499,958785,T
412897065,892,9,158776,4528,26370,1404,5705,958525,T
441922908,929,3,85468,3008,68970,2341,3621,958478,T
197720591,979,1,219296,2539,18679,936,5784,958481,T
478581233,995,23,138305,2470,12116,2341,3347,958980,T
434363836,3382,128,344964,3008,9538,1873,5682,958731,T
086658332,3333,119,733260,2347,24232,936,3384,959059,T
746640901,982,18,235680,2436,11207,2341,4184,959426,T
653198629,4592,56,877072,2741,10802,1404,6585,958866,T
148924369,917,1,147637,1996,56038,936,4835,958792,T
754328960,1035,1,68310,5534,23595,1404,6197,958581,T
708279632,259,19,50505,4331,11349,468,4528,959190,T
192688699,3333,125,133320,12808,16302,1873,4532,958850,T
324386750,3298,136,102238,2080,38983,1404,6273,958494,T
673729947,99,9,1485,2341,12282,1404,2984,959431,T
617802439,904,7,197072,5467,40755,468,4945,958578,T
105206776,950,12,226100,5182,40755,1404,4893,958425,T
905172476,910,2,111930,5243,10425,1404,5914,958748,T
675410371,3261,150,198921,2094,11207,2341,5938,959343,T
795340693,3348,150,672948,2598,21347,1873,5043,959144,T
535029674,4640,55,232000,2621,40755,936,5795,958523,T
516694788,77,1,3619,2051,33207,468,4537,958673,T
069377782,850,5,79900,4719,11797,2341,3702,958918,T
774637907,4528,40,1055024,3848,9745,2341,3526,958601,T
686332651,3380,157,412360,3516,22415,1873,3791,958611,T
998041340,4663,56,573549,1949,17242,1404,2827,958509,T
483583540,2006,41,176528,1936,18298,468,3074,958843,T
763849423,4675,48,490875,2767,22415,1404,4822,958711,T
223865652,3774,30,256632,2692,28019,468,3636,959130,T
354848264,4682,19,805304,5305,28019,2341,4348,958600,T
299105271,3329,125,256333,1983,28019,936,4589,959024,T
729377464,3303,145,267543,8790,29887,1873,5093,958606,T
653691607,4515,53,456015,2042,27170,1873,2778,959392,T
353776314,4565,38,1081905,9056,27170,468,6116,958761,T
586401081,1930,26,306870,2864,22415,468,2874,959266,T
917179159,74,14,5254,2001,29887,1873,2858,958675,T
350494888,4546,90,754636,2275,14698,936,2913,959330,T
389742410,907,4,35373,3898,18298,1404,6516,959138,T
303692862,3349,129,827203,2725,9149,1873,2859,958742,T
989735921,934,1,21482,4373,11797,2341,2986,959080,T
056000410,3301,148,600782,3751,44830,1873,4412,958773,T
560006363,169,13,6422,5534,74717,1404,3000,959273,T
412619928,3323,125,800843,12628,10934,1404,3123,958720,T
512185942,3391,130,183114,3168,9438,468,3538,958812,T
987082059,896,2,88704,3751,12452,936,4792,959430,T
340906960,139,13,29051,2606,17242,468,4556,958944,T
634480047,4623,44,545514,4209,15196,468,6561,959252,T
738149222,3283,133,78792,5639,15196,1404,5988,959414,T
725006163,1028,21,86352,3898,10934,1873,6063,958540,T
105822884,1041,1,112428,2322,37358,936,6085,959353,T
658578999,4515,33,889455,9640,21347,1873,5060,959110,T
763511835,949,15,127166,3190,13794,1404,6348,958529,T
872414671,3326,144,359208,4528,20851,468,2963,959312,T
555575366,1984,4,228160,2978,12808,468,4295,958706,T
781296464,3201,140,457743,1883,11069,1873,3372,958568,T
720277000,1032,12,189888,12116,15196,2341,4164,959418,T
996762531,4546,50,922838,1856,179322,468,4186,958787,T
411571720,120,1,10800,4416,30917,468,6497,959389,T
654686028,994,1,170968,7230,15730,1404,4521,958562,T
913395210,3278,136,809666,1996,179322,468,4645,958987,T
918549233,4940,38,395200,2416,13185,936,4994,958641,T
252015529,149,12,5215,3831,11207,936,2844,958912,T
852076190,1024,1,147456,3529,14698,2341,3217,959431,T
429334169,910,9,89180,2483,11349,936,5983,959104,T
840878890,3270,120,274680,2065,29887,2341,3718,958824,T
421226249,3786,46,632262,8704,9149,1404,2825,959143,T
783480542,4781,39,334670,4020,11954,468,4895,959370,T
955364076,4686,25,1016862,2155,33207,936,4343,959398,T
028525231,909,1,196344,2855,14698,1404,6197,958630,T
321747172,4616,49,687784,3529,12282,2341,6077,958760,T
