userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
861454995,3423,160,335454,2047,11349,2341,2911,958742,T
686441098,2045,47,87935,2047,6641,2341,3078,959244,F
173663416,4770,109,405450,2047,7663,936,2772,958813,T
968388241,1937,17,135590,2047,3248,2341,3646,958825,F
832695594,4772,68,195652,2047,2892,936,3016,959415,T
572231358,2036,37,134376,2047,1919,2341,3381,959046,F
426408478,4908,54,358284,2047,2614,2341,3543,958666,T
141824420,1981,10,69335,2047,3190,2341,3052,959095,F
077759446,940,49,84600,2047,13794,1873,5744,958641,T
353636554,2147,27,57969,2047,4846,2341,2759,958588,F
869397998,4816,44,202272,2047,7865,2341,3274,959363,T
501970996,2139,26,117645,2047,12628,2341,3294,958920,F
789961992,158,1,12640,2047,4694,468,5938,958633,T
253407058,1948,30,155840,2047,10188,2341,3087,959250,F
503182568,905,30,30770,2047,4189,468,5928,958788,T
436401083,1995,42,133665,2047,6950,2341,3309,959238,F
464520959,3198,183,310206,2047,2094,1404,4273,959207,T
438616733,2118,27,188502,2047,1822,2341,3252,959077,F
306511223,4646,43,148672,2047,2001,2341,5083,959323,T
948691982,1976,39,108680,2047,6358,2341,3208,958438,F
292689611,4673,135,280380,2047,2129,468,3400,958786,T
015626883,2101,23,54626,2047,1932,2341,3393,958574,F
005482618,2108,70,193936,2047,5747,936,4864,958448,T
901973166,1944,33,169128,2047,9149,2341,3433,958825,F
468655119,3392,139,244224,2047,11207,468,6383,959167,T
619216943,1988,30,57652,2047,5822,2341,3094,959234,F
063280686,4569,122,155346,2047,4669,468,4969,959309,T
756297443,2204,22,149872,2047,7934,2341,3041,958661,F
934459171,3254,131,81350,2047,44830,2341,5770,959286,T
787078726,2020,30,159580,2047,1915,2341,2771,959073,F
923263559,3355,143,271755,2047,9852,468,3724,958443,T
494703836,1918,53,168784,2047,3225,2341,3067,958873,F
080427103,4915,30,353880,2047,2347,468,3679,958805,T
994557432,2176,18,78336,2047,7349,2341,3426,958997,F
334140825,2063,14,63953,2047,14231,936,4234,958717,T
323838317,2174,5,145658,2047,3502,2341,3298,958841,F
144529655,243,18,20898,2047,2846,468,4505,959178,T
424076477,1930,25,100360,2047,1924,2341,3364,958439,F
197066949,208,1,19344,2047,20377,468,6587,959218,T
064176745,2001,33,118059,2047,2224,2341,2976,958860,F
045907600,4936,67,108592,2047,7663,1404,2881,958822,T
206528060,2074,11,122366,2047,2005,2341,3330,958852,F
869080847,3385,164,77855,2047,11207,936,4334,959179,T
177048728,2024,29,117392,2047,2287,2341,3289,958908,F
591570730,238,1,20468,2047,2258,936,3315,958905,T
141270053,2117,24,154541,2047,2949,2341,2844,958956,F
292122961,290,26,11310,2047,2347,936,2823,959164,T
619765110,1965,18,190605,2047,3296,2341,3149,958462,F
149374743,3427,132,185058,2047,27170,2341,4615,959412,T
687407238,2213,11,130567,2047,3831,2341,2852,959239,F
575474971,3448,177,127576,2047,4038,936,5773,958888,T
924757520,2128,13,208544,2047,2598,2341,3465,958740,F
638951804,2073,59,205227,2047,2299,936,4575,959394,T
965001414,2007,31,76266,2047,5152,2341,2800,958554,F
346370864,114,19,10260,2047,3168,468,4606,959381,T
923003500,2052,43,67716,2047,2708,2341,3216,958885,F
087309836,2209,41,128122,2047,2070,468,2965,958613,T
415562579,1920,6,134400,2047,23595,2341,2846,959003,F
897457479,2053,4,69802,2047,4460,468,3061,958464,T
565904409,2042,13,51050,2047,1983,2341,2792,958737,F
993342609,3374,127,209188,2047,128087,2341,3154,958442,T
481853249,2128,43,144704,2047,6183,2341,2944,958492,F
968289818,3214,161,212124,2047,3659,1404,5834,958514,T
792869838,1944,28,126360,2047,7865,2341,3413,959163,F
973443617,4689,70,290718,2047,2767,936,6195,959305,T
