userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
710030303,2267,46,439798,1806,8596,538,1636,727068,T
299267090,2327,7,79118,4222,41971,134,1658,727991,F
839805456,3998,73,315842,1647,101931,403,1192,727513,F
396674538,3941,81,827610,6795,17838,672,2199,728011,F
626447187,2338,20,112224,1617,8919,403,1351,727207,T
771529860,2302,44,156536,4148,29730,269,2004,727413,T
059083736,2268,12,240408,2050,12517,672,1530,727687,F
726894842,2262,16,176436,2162,21621,403,1867,727718,T
432306405,3943,57,906890,3088,16593,672,1610,727200,F
161329802,3951,70,667719,1954,44595,403,1260,727557,F
766240103,3917,91,822570,4031,12517,134,1974,727584,F
272652007,3879,60,833985,2056,79280,134,1333,727301,F
779531893,3924,66,557208,2672,13213,672,840,727924,F
917799252,2384,11,460112,4008,7840,672,1467,727130,F
596308147,3953,89,43483,2004,71352,403,1710,727427,F
166669370,2345,8,267330,2539,9388,134,1270,727803,F
168626405,4012,81,609824,8808,10810,269,2125,727473,F
177952449,2301,27,329043,7135,12517,538,2050,727278,T
019290445,3889,83,241118,1815,7840,403,1392,727909,F
343961355,4058,81,730440,1505,32432,538,1201,727030,F
644814262,2280,10,155040,3036,13213,672,1623,727630,F
140280188,2408,21,117992,1698,12093,134,1362,727159,T
331207843,3887,59,761852,1872,7355,269,1983,727869,F
340689521,2303,27,156604,1897,10340,403,1862,728019,T
835819537,2292,44,517992,1647,10049,134,2018,727223,T
776416512,3865,71,718890,2202,8201,672,1632,727653,F
889247074,3872,94,813120,3115,24604,672,1019,727045,F
766368436,3968,77,976128,3318,8394,134,1063,727293,F
836660970,3954,62,794754,3696,19820,269,1600,727888,F
616463832,3951,88,944289,1647,7928,269,1271,727583,F
486738005,2428,14,55844,4853,9031,269,799,727582,T
180389783,2299,18,294272,5133,10810,269,2596,727550,T
058742346,3999,58,159960,5060,8108,403,1585,727585,F
355014372,2318,16,180804,3775,14270,672,2112,727078,T
472795030,3887,84,143819,1531,23784,269,2567,727295,F
784764427,4059,72,69003,2370,29730,403,1140,727073,F
632665637,2307,36,272226,1435,35676,269,1228,727114,T
989995478,3894,70,362142,5170,35676,403,1857,727925,F
900413714,3951,91,557091,2494,142704,672,1740,727315,F
748763510,2361,21,306930,6428,25482,269,1460,727862,T
405908940,3877,64,410962,3365,12093,134,1956,727839,F
462964421,4011,75,758079,1736,11325,403,2503,727221,F
092416606,2363,45,170136,3964,59460,269,2263,727986,T
276367155,4057,88,324560,1806,17402,269,2300,727938,F
103535774,2256,43,367728,1923,24604,538,887,727838,T
757104196,3947,74,86834,9031,24604,403,1810,727546,F
704321395,2409,46,38544,1521,7280,538,1335,727152,T
485312028,3974,74,409322,7135,59460,538,2322,727697,F
769458847,2277,16,84249,2924,11148,403,1644,727135,T
456952282,2370,12,52140,9147,118920,134,2032,727217,T
556359313,3884,85,943812,2015,10492,403,2421,727096,F
364322174,4064,83,215392,4603,15856,269,1241,728012,F
449271373,3917,83,787317,1578,12517,134,2037,727747,F
719602356,3874,90,46488,2286,10492,269,1242,727676,F
313314968,3938,64,82698,1897,9910,538,1422,727692,F
027196989,4025,91,917700,4821,41971,672,2371,727480,F
484216813,3952,71,968240,1621,16988,134,1644,727972,F
998949314,2353,6,468247,1480,41971,134,1119,727772,F
590043208,4054,59,672964,1843,9910,403,1779,727134,F
037019890,2330,14,386780,2521,50965,403,1263,727844,T
354610294,4032,66,709632,1727,25482,672,1585,727548,F
984125293,3903,79,694734,1585,37553,538,1471,727903,F
596342168,2263,33,393762,5096,11697,269,1901,727818,T
699554649,3973,60,727059,1585,16593,269,1206,727414,F
773772426,2313,18,340011,1748,118920,403,1818,727539,T
977597849,3990,75,399000,1998,23784,538,2332,727945,F
428977469,3901,94,643665,2723,12973,134,1241,727070,F
359323796,4061,61,353307,1444,14865,134,1481,727800,F
483212923,4010,60,461150,1544,12973,269,1545,727984,F
090255969,2366,46,572572,1882,10492,672,1383,727280,T
277649013,3946,61,730010,2098,13721,672,1566,727682,F
101839827,3978,87,123318,1647,47568,269,1822,727476,F
402848046,3896,80,615568,4054,14865,538,1688,727257,F
085220815,3941,85,252224,1882,25482,672,1908,727301,F
487830402,3915,94,712530,4077,8296,269,2336,727498,F
568038791,2302,31,119704,1740,10049,672,2171,727332,T
035923385,2255,10,99220,4821,10977,134,2463,727459,T
394876030,3901,62,690477,2418,13462,403,1790,727336,F
806642602,3982,79,418110,2798,47568,538,1294,727595,F
830881286,2377,18,506301,1912,10810,403,1266,727287,T
473950029,3943,68,429787,2912,11697,672,2605,727156,F
424951520,2362,12,470038,2117,22297,134,2447,727752,T
605661682,4017,71,40170,1727,8394,672,2169,727696,F
490812711,3929,63,872238,1521,17402,403,2607,727297,F
558202267,2297,46,220512,3549,118920,403,1355,727202,T
200753790,4040,62,670640,1727,8201,269,1664,727264,F
472007630,2379,16,38064,2324,14865,269,1589,727213,T
139314701,4036,60,145296,1853,13721,134,1798,727784,F
605970386,4054,74,506750,1480,13213,672,1675,727555,F
854154413,2232,29,198648,1568,15181,403,2366,727631,T
197019912,4009,72,268603,2188,15856,134,2595,727082,F
587318775,2245,13,455735,4404,54886,134,2154,727638,T
176014301,2400,16,333600,3023,12517,538,1473,727781,T
263237852,4015,57,529980,2410,31022,269,1460,727581,F
084254019,3963,86,95112,6486,35676,134,1631,728017,F
006863510,2342,17,440296,4077,14561,269,1533,727198,T
974461663,2401,8,254506,1557,33977,538,1943,727846,T
549249447,2356,23,228532,2050,12093,672,1684,727371,T
230496691,2344,22,433640,2027,8394,269,1774,727590,T
563890671,2304,7,412416,1521,17402,672,2140,727182,T
991489403,2236,10,462852,1636,8296,538,1029,727626,F
409446559,3879,96,764163,1610,47568,538,1854,727322,F
921967267,3940,86,330960,1766,19284,403,1954,727588,F
737727467,3935,85,314800,4100,8201,269,2188,727851,F
820242179,4060,73,251720,1547,16593,134,1347,727829,F
