userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
776517497,3915,74,101790,5405,2936,403,2132,727111,F
831992263,2293,18,137580,5405,44595,403,1180,727290,T
963964322,3987,106,243207,5405,6860,403,764,727444,F
777960685,2409,19,118041,5405,1719,134,807,727265,T
494660205,3875,96,174375,5405,4324,672,2196,727305,F
273400073,2392,20,66976,5405,27443,134,1711,728018,T
771436885,3940,100,327020,5405,6995,134,2123,727680,F
140699024,2521,37,52941,5405,5896,403,2250,727835,T
240908272,4145,90,203105,5405,1651,538,2116,728007,F
728451611,2412,30,110952,5405,2494,134,1999,727556,T
765681539,2291,26,176407,5405,1551,269,2443,727793,T
078875164,4042,115,311234,5405,13462,403,1611,727095,F
584966874,3944,77,287912,5405,2202,672,2099,727687,F
487017624,2460,41,54120,5405,2250,538,1723,727994,T
980216577,4152,123,315552,5405,2521,134,2044,727798,F
540175399,2414,20,74834,5405,2900,403,1970,727438,T
123623138,4140,126,161460,5405,1858,134,1517,727040,F
239745214,2387,41,219604,5405,9642,672,1343,727613,T
730821249,4036,65,189692,5405,1508,134,1786,727588,F
008703729,2436,17,138852,5405,1971,134,1312,727756,T
553538568,3946,74,359086,5405,50965,134,1444,727204,F
006500680,2461,50,172270,5405,26426,269,1126,727297,T
747989752,4099,63,209049,5405,1625,403,815,727856,F
700785049,2238,27,221562,5405,4324,672,786,727080,T
798629160,2482,40,228344,5405,5995,672,2200,727391,T
274579217,4035,116,112980,5405,6314,403,1931,727654,F
325108252,3944,64,366792,5405,2594,672,1500,727442,F
117222105,2373,47,163737,5405,89190,269,1327,727147,T
033362353,4103,73,143605,5405,2123,269,968,727227,F
486082030,2294,26,130758,5405,3964,538,2022,727177,T
546200832,4125,90,284625,5405,4487,538,1174,727401,F
676404681,2394,43,71820,5405,1897,672,792,727847,T
316272431,4134,65,363792,5405,1872,269,1455,727262,F
960095193,2289,37,201432,5405,1561,134,2144,727862,T
671237318,4024,114,144864,5405,7135,672,1406,727563,F
034145775,2393,35,217763,5405,7280,403,1738,727899,T
238229053,4087,96,286090,5405,1592,672,2260,727935,F
159458099,2262,25,203580,5405,5708,672,853,727213,T
680302748,3998,117,111944,5405,10977,403,2301,727581,F
681804375,2504,24,97656,5405,1806,403,1316,727487,T
289994411,4089,90,392544,5405,2435,538,1649,727333,F
778863621,2252,33,157640,5405,2521,134,773,727631,T
400216377,4049,64,137666,5405,2494,134,1708,728010,F
361254217,2281,28,205290,5405,3303,672,1987,727687,T
746885654,2233,23,158543,5405,1872,403,1309,727551,T
879348671,3954,115,197700,5405,1774,403,944,727586,F
191563803,2424,26,50904,5405,2347,134,2011,728022,T
114302121,4150,89,112050,5405,27443,269,1728,727729,F
353341065,2264,25,153952,5405,1541,269,2158,727603,T
456328000,3962,64,182252,5405,3115,538,2029,727163,F
817108719,3970,84,389060,5405,1651,538,2153,727479,F
672680899,2497,26,232221,5405,3185,403,1440,727153,T
675785724,4094,72,393024,5405,11892,269,1521,727756,F
348964202,2250,18,87750,5405,1644,672,2537,727913,T
786357203,4106,126,110862,5405,39640,269,2065,727418,F
537802335,2273,46,75009,5405,3062,538,884,727297,T
371843638,4080,116,326400,5405,28540,134,1641,727617,F
454646548,2318,26,88084,5405,1810,134,2074,727883,T
155934158,4083,68,273561,5405,4054,403,1721,728022,F
380506132,2336,21,196224,5405,1441,269,1229,727465,T
073988803,3983,85,274827,5405,5995,269,2122,727718,F
823432601,2470,18,200070,5405,2809,538,1186,727165,T
242293742,2302,40,179556,5405,1575,672,2042,727530,T
905262053,4025,102,132825,5405,2202,269,1566,727697,F
036572784,2493,7,52353,5405,2973,403,1854,727982,T
504107254,3906,85,222642,5405,2566,403,1609,727431,F
527402660,4010,61,356890,5405,4487,538,1280,727252,F
319745525,2442,36,114774,5405,35676,672,1435,727857,T
328110906,2312,25,83232,5405,4633,538,1495,727181,T
354836364,3942,107,307476,5405,2250,269,936,727467,F
162976690,3958,126,277060,5405,2486,672,2547,727890,F
372094996,2303,18,163513,5405,3735,269,1632,728031,T
585752678,4004,124,172172,5405,4694,269,2550,727483,F
455403096,2471,27,182854,5405,10340,134,2124,727845,T
706714133,2452,25,186352,5405,2215,672,1858,727640,T
356275539,4074,106,403326,5405,1686,403,1943,727481,F
245033614,2369,28,201365,5405,3318,403,1966,727577,T
