userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
678913312,2238,381,140994,3890,5437,1886,4256,496054,T
413176354,821,46,77995,3858,8861,471,8321,495995,T
128446521,2317,365,331331,4833,11392,943,4255,495516,T
210580836,4452,178,57876,6380,8394,1415,5702,496328,T
233014293,4506,157,1090452,2246,4933,2358,4059,495502,T
518999070,2285,392,388450,2175,15950,1415,6314,496166,T
376068499,710,48,121410,3417,14073,1886,3734,496161,T
298307393,818,48,161964,1087,47850,943,4460,496258,T
337728576,4448,159,942976,1458,16500,943,4007,495555,T
529277768,3317,61,597060,2194,25184,1886,4297,495684,T
843922856,2574,28,398970,1080,9382,471,4316,495706,T
146023343,4539,158,1075743,5500,14500,471,3958,496052,T
403769532,3322,30,614570,2357,6057,471,7503,495826,T
854364460,2424,35,118776,1202,4833,471,3965,496006,T
096130795,757,33,39364,2831,13671,471,4544,495882,T
675764406,2246,376,249306,2062,7717,471,6179,496003,T
128903036,4554,169,724086,1089,6934,471,7744,496058,F
435745334,2204,376,48488,1715,9202,943,7638,496299,T
971741829,766,16,153200,3300,19140,1415,8174,495727,T
663230415,2456,8,216128,1805,5629,471,4056,495848,T
450867134,3364,29,682892,1727,6645,2358,3809,495997,T
290100644,2275,365,475475,4785,7717,471,7783,496257,T
525292575,753,17,108432,1523,10633,943,6557,495782,T
412428833,4515,175,49665,2572,31900,1415,4702,495996,T
583431072,2221,369,24431,2278,4984,471,8113,495506,T
184936911,856,43,22256,1026,9382,943,4234,495776,T
340016624,3485,64,679575,1740,10180,2358,3866,496489,T
941570537,2312,367,325992,1009,12592,1415,3922,495723,T
868362513,779,33,116850,1120,7717,1886,3930,496111,T
344137102,4452,170,454104,1131,18404,471,6602,496032,F
063466438,2242,387,405802,982,95700,943,7907,496394,T
967183296,4488,166,682176,994,6645,471,4739,496283,T
378605631,4510,156,220990,1633,6645,943,3735,495545,T
456086309,3470,48,381700,2345,5981,1415,4012,495909,T
710012045,765,29,10710,2882,5036,1415,7673,495815,T
385644474,3458,28,577486,5835,17089,2358,4076,495774,T
863792584,763,29,143444,2205,10402,2358,5849,496099,T
941174101,2602,28,127498,5258,7975,943,4225,495975,T
004983493,3433,59,408527,2586,6739,943,6317,496083,T
391331231,2303,356,377692,1150,8250,471,6348,496207,T
347226335,4598,161,160930,1085,95700,471,7645,495516,T
