userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
318265456,4743,5,241893,1638,6394,1281,4971,401821,T
654072678,4681,29,341713,950,44054,427,5004,401793,F
541929165,1673,16,307832,2734,6007,427,8884,402276,T
193645728,4448,109,484832,867,7929,1281,9118,402430,T
710751393,4352,122,95744,1095,4173,427,4405,402402,T
925256444,4648,20,813400,2753,4610,427,8835,402557,T
099171415,2866,210,507282,1672,4664,1708,6635,402165,T
764113094,1663,16,364197,1317,7480,427,6604,401682,T
961275911,4812,24,861348,3171,4664,427,8957,402600,T
677593048,4416,109,105984,4956,44054,427,9245,402539,T
269294290,2918,222,498978,5018,3964,1708,4931,402492,T
366173850,4260,87,719940,1381,49560,1281,6594,401842,T
666325804,4323,124,90783,892,4505,1708,7003,402606,T
233200788,4328,110,688152,909,19824,854,9080,402206,T
694278471,4663,11,1128446,1436,12390,854,5025,401695,T
780417302,2898,246,478170,1665,4505,1708,4842,402190,T
890474585,4446,117,733590,2432,6007,427,9394,401956,T
182412174,4440,107,945720,2305,17238,1708,9463,402544,T
815356450,4383,91,973026,897,4045,2135,6914,402325,T
421184924,4361,126,981225,1180,28320,2135,4650,402521,T
180303408,4637,10,1075784,1208,39648,427,9496,402183,T
045557142,4677,4,1000878,1032,4309,1281,4854,401637,T
398659723,4260,108,477120,802,4217,427,8610,402168,T
000882392,4431,98,88620,899,13671,854,7090,401773,T
610778623,2980,229,467860,845,5357,1281,7200,402190,T
586890804,2879,217,653533,2374,8260,427,6712,402427,T
358998266,4315,143,837110,4524,83711,409,1736,926261,F
722865456,1503,23,246492,1519,26432,854,6938,401856,T
987155649,1576,1,138688,971,6608,1708,7385,402560,T
842115295,2930,211,612370,860,5083,1708,7219,402609,T
711288752,4754,21,128358,903,4087,427,4743,402225,F
448156232,1566,13,292842,899,28320,427,4387,401731,T
099832340,2934,232,193644,5664,5018,2135,5156,402529,T
350216281,4625,32,633625,1334,12014,427,4480,402620,T
076599856,2910,239,174600,1376,10715,2135,8806,401887,T
798614244,4300,112,593400,1129,4217,854,9532,401993,T
788087208,4333,96,1035587,856,4405,1708,9159,402279,T
620541284,4411,119,599896,1953,28320,2135,7312,401639,T
444951864,2868,227,131928,814,16520,1281,6814,402544,T
765559219,3195,8,680535,2643,6293,2135,5093,402336,T
639954560,4705,37,338760,895,8260,1281,5075,402084,F
897677401,4754,37,518186,924,13671,1281,4354,402058,F
578296265,3031,225,260666,1386,4217,1281,4337,402343,T
536511910,3232,1,798304,1405,4045,854,7142,402138,T
247725961,2992,221,664224,1180,49560,1708,5002,401952,T
862907457,3310,12,436920,1447,39648,1708,6689,402431,T
784621569,4432,89,62048,1479,8810,1708,7395,402466,T
137424452,4308,108,86160,2715,4173,1708,5098,402131,T
067474679,2999,243,494835,1371,4505,2135,4992,401911,T
152179103,4425,119,907125,1024,6835,427,6612,401947,T
880200731,1613,5,154848,1187,36044,1708,4491,402132,T
874273521,1529,19,88682,5149,79297,854,7216,401787,T
910015582,1665,26,148185,877,4720,427,8701,402184,T
560617273,4642,19,213532,1879,14684,427,4570,402086,T
492521683,2876,228,60396,998,6195,1281,7334,402092,T
211644685,4400,110,453200,1006,24780,427,6594,402119,T
011605522,4272,93,982560,3776,4835,2135,6685,402301,T
130653625,1546,20,261274,797,4894,854,9027,401919,T
110519014,4434,120,443400,1317,4454,854,6696,402067,T
968876106,3016,211,422240,1227,6007,854,7140,401959,T
495500698,3026,225,553758,3073,16520,1281,4735,402033,T
719427931,4385,120,872615,2305,5664,1281,5159,401643,T
874076357,3011,229,123451,1035,14684,427,4724,401882,T
970500919,3248,32,652848,1554,23322,1281,4690,401939,T
487447132,4262,119,1065500,1542,4776,1708,7338,402347,T
582685161,2908,240,633944,895,5746,1708,4412,402563,T
775961473,4364,110,667692,1212,8091,1281,4748,402426,T
065832032,4271,99,849929,3671,8810,2135,7350,402524,T
893179897,1515,8,22725,1519,10166,1281,6911,402114,T
100505858,3145,5,94350,4045,15859,1708,5008,401848,T
533390541,4416,119,967104,1145,5431,1708,8766,401845,T
941171723,4268,122,507892,3249,5830,2135,4576,401936,T
904493184,4803,34,485103,4087,5018,854,7394,401730,T
654461641,4424,99,566272,1777,7480,1708,9467,402465,T
028351983,4716,21,1174284,3197,4263,1708,5028,401765,T
561809619,4643,21,659306,2462,66081,1281,5261,402180,T
252305167,2954,233,549444,2417,4776,1708,5219,401759,T
656541903,4732,13,463736,4610,7929,1281,7401,401846,T
422925005,1670,8,277220,1992,4263,854,4969,402316,T
752600230,4428,88,146124,867,4776,1708,7361,401779,T
862593967,4436,93,354880,2832,3964,1281,9390,402317,T
555737964,1638,17,357084,924,4087,854,5226,401961,T
919627410,4380,94,350400,2557,16520,1708,4740,402522,T
308515780,2850,241,453150,2981,4309,1281,7286,402071,T
003232616,3294,25,780678,1321,18880,1281,6533,401800,T
503307004,1642,32,272572,2447,6099,427,6859,402468,T
466815963,3030,241,81810,5018,5917,1281,8703,401654,T
579206954,2841,227,653430,939,3964,2135,5117,402331,T
560861786,4797,29,1160874,1262,5083,427,6485,401729,T
880379647,4652,14,962964,1554,12014,1281,4492,402313,T
267820824,3199,13,786954,3447,5018,1281,4501,402109,T
185531597,4311,89,1008774,2574,9440,2135,8937,402571,T
486500852,2908,229,503084,3249,5830,427,5117,401943,T
319382585,1619,25,218565,1897,5018,1281,5139,402232,T
839329877,2867,246,106079,1530,6394,2135,4630,402035,T
308799649,1547,35,165529,1126,33040,1281,8643,402001,T
397314971,1568,4,214816,1065,4776,1281,8981,402396,T
430099868,1520,7,351120,899,6099,1708,4732,402355,T
882965808,3030,224,593880,1396,12014,1708,6356,402012,T
901874083,4645,23,473790,950,30499,1708,4997,401921,F
880083855,4745,7,1167270,1672,4357,1708,5073,402499,T
071444140,4354,111,657454,888,4405,427,9389,401743,T
970023020,2890,246,115600,1113,4087,1708,9239,401918,T
426826972,4355,112,230815,1870,4956,1708,4237,401704,T
