userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
900227250,1729,58,121030,941,797,854,8791,402575,T
376867788,4623,20,411447,941,3540,1281,5057,401842,F
906799034,4469,132,227919,941,13671,854,9268,402618,T
591927294,4790,31,440680,941,2447,1281,5042,402640,F
631167303,1600,40,80000,941,1142,854,8702,401727,T
711151172,4886,30,214984,941,1513,427,6721,402080,F
350999682,3056,225,189472,941,1362,427,5162,402601,T
300284482,4862,9,466752,941,3360,854,6719,402076,F
278108532,4397,104,342966,941,5584,854,7115,401656,T
493966507,4773,8,453435,941,981,854,4681,402008,F
817249500,3073,273,181307,941,1339,1708,7017,402250,T
879298467,4669,23,112056,941,1016,1281,4629,402456,F
180372613,3096,223,83592,941,2643,1708,6815,401822,T
669271493,4908,29,343560,941,3097,427,4366,401636,F
722690068,1756,56,40388,941,794,1281,4398,402522,T
062140196,4848,67,295728,941,2143,427,5137,402457,F
564727586,1773,38,154251,941,917,854,5109,402331,T
534260989,4649,23,320781,941,4776,854,4379,402128,F
019823978,1767,52,42408,941,2065,854,8789,401747,T
737223883,4806,48,384480,941,877,427,4790,401868,F
332621608,4339,130,247323,941,3026,1281,6772,402058,T
411178535,4693,36,159562,941,9440,427,6979,401826,F
298918437,4743,22,232407,941,3477,427,4615,402295,F
338828862,4335,117,390150,941,2086,427,6362,402115,T
781492321,1521,3,114075,941,1029,427,8980,402263,T
985263454,4632,46,157488,941,3705,427,4320,401933,F
768126348,1671,53,101931,941,1304,854,9342,402526,T
177668310,4702,32,145762,941,3249,854,4606,402266,F
669877251,1581,40,115413,941,2154,1708,5191,401945,T
618815205,4814,70,438074,941,7929,427,5055,401644,F
587640266,1506,6,129516,941,5286,1281,4976,401863,T
861258694,4797,50,124722,941,12390,1281,4477,401976,F
318973117,4299,137,417003,941,8260,1708,4694,402385,T
896602487,4844,57,377832,941,797,427,5150,401723,F
299588010,1621,16,111849,941,1762,1281,4655,402382,T
546215807,4905,29,333540,941,817,1281,4425,401924,F
826781181,4883,60,117192,941,2557,427,6432,402558,F
658191154,1639,37,127842,941,812,854,8962,401650,T
720087597,3064,265,288016,941,1785,1281,8689,402322,T
695030773,4813,11,255089,941,1962,427,4342,402027,F
244877824,4519,120,429305,941,892,1708,9307,402578,T
094556898,4811,13,96220,941,3637,1281,4663,401727,F
613178840,2853,213,99855,941,3121,1708,7214,402025,T
457377661,4709,35,287249,941,1116,1281,4834,402496,F
938135217,2950,250,224200,941,838,1281,5122,402023,T
503043457,4628,21,175864,941,871,854,5235,401846,F
420041928,3117,240,187020,941,1278,1708,6380,401996,T
741576024,4778,26,477800,941,1162,1708,4229,402438,F
893642653,3136,236,301056,941,2166,427,8538,401690,T
861996517,4792,65,153344,941,1573,854,4556,402179,F
063931879,4431,153,163947,941,1001,427,9081,402256,T
258977590,4715,54,381915,941,1501,854,5205,402420,F
061387336,1560,1,78000,941,850,1708,4617,402517,T
548293391,4667,19,448032,941,1295,1281,4921,402591,F
113797362,3191,22,236134,941,20867,1708,4224,402140,T
704483298,4659,3,251586,941,6293,854,4774,402147,F
226045737,4359,100,174360,941,1057,427,4810,402551,T
542576675,4728,61,330960,941,1149,427,4571,402214,F
857736152,3018,252,169008,941,1035,854,4621,402235,T
325254358,4762,53,161908,941,5584,427,4312,401948,F
492193619,4403,123,409479,941,9912,1708,8931,402077,T
896540115,4668,22,317424,941,1126,427,5139,402617,F
467945408,2920,213,251120,941,2012,1281,7293,401967,T
557635598,4846,65,407064,941,1040,427,5027,402345,F
682489515,3106,237,257798,941,1441,2135,4492,402203,T
335558361,4777,27,363052,941,971,427,6419,402576,F
219163051,4399,143,422304,941,66081,854,8630,401635,T
477213070,4879,54,473263,941,4505,427,4464,402405,F
980518970,2864,257,180432,941,2715,854,7201,402216,T
501482734,4778,6,172008,941,1129,1281,5178,402301,F
391893313,4537,117,181480,941,2346,1281,5080,401654,T
557394489,4721,9,217166,941,854,427,4869,402238,F
225864343,4453,152,191479,941,9220,1708,9004,401737,T
923359137,4844,4,276108,941,8435,854,4887,401819,F
103443478,1661,58,33220,941,6099,1281,4223,402559,T
637347503,4883,30,185554,941,1716,427,7371,402284,F
251526495,4402,152,382974,941,1270,427,6697,402356,T
551777658,4656,25,428352,941,2734,1281,5121,402141,F
573232671,2943,259,258984,941,1040,1281,6709,402426,T
479218693,4629,18,296256,941,847,427,6428,402250,F
920851513,4828,34,299336,941,24780,854,7019,402027,F
739683757,1641,27,137844,941,1101,427,9245,402494,T
857373429,4363,152,244328,941,1145,1708,8904,401869,T
841776638,4676,51,434868,941,1145,427,5138,402611,F
138174629,4418,132,318096,941,7624,854,6750,401678,T
624611231,4867,17,360158,941,792,427,4737,402361,F
566133095,4292,141,201724,941,2154,427,6905,402635,T
188509926,4714,62,461972,941,1426,427,4422,402487,F
770758004,1562,19,135894,941,955,427,4660,401799,T
496041893,4692,19,455124,941,2715,427,4377,401641,F
985113566,4530,115,375990,941,1113,1281,6458,402499,T
161015840,4823,44,385840,941,13216,854,6593,402628,F
223345903,3133,268,194246,941,7342,427,4488,402508,T
961143967,4721,13,188840,941,2012,854,6868,402630,F
726124751,4643,47,195006,941,935,427,5142,402135,F
996439385,2962,247,233998,941,4894,1708,7005,402414,T
826796341,4292,115,206016,941,66081,427,7281,402429,T
569541432,4767,23,166845,941,2332,854,6840,402303,F
301170895,1618,38,134294,941,957,2135,4839,402340,T
144499742,4752,44,156816,941,1304,854,5113,401806,F
