userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
808077185,1741,61,198474,4366,26198,1583,1729,693980,T
815166816,4466,320,853006,5503,6752,1979,1989,694053,T
391599012,3478,15,692122,1760,15231,1187,1421,693436,T
789048301,4352,21,256768,1356,21127,1583,1942,693999,T
053581185,4567,281,369927,4678,8617,791,2197,693525,T
792249145,4254,31,791244,1625,7615,1979,1989,693765,T
818670589,3586,39,466180,1336,9224,1979,2041,693524,T
283087450,3503,444,231198,3618,21127,1979,1989,694083,T
699321597,4545,315,727200,1393,40935,1187,1509,693556,T
636246818,3461,27,626441,2588,9631,1583,2164,693151,T
932988667,3444,47,761124,2490,40935,395,2334,693466,T
813448786,4572,314,324612,1839,43664,791,2213,693129,T
325395581,1781,94,58773,2027,24257,791,1367,693704,T
805287138,3526,448,158670,1541,6615,1187,2298,693294,T
794999945,3616,33,198880,2147,9775,1583,1593,693439,T
599619525,4326,33,497490,2072,26198,1979,1989,693278,T
546571850,1643,92,46004,3764,81870,1583,2254,693140,T
706995270,1696,59,400256,4999,29771,791,1175,693351,T
317041593,1807,83,451750,1719,20467,395,1616,693997,F
597982348,1803,91,41469,1370,31188,1187,2077,693869,F
608705933,3438,19,440064,6421,15974,1583,2306,693778,T
525951357,4581,287,627597,1375,9356,395,1231,694069,T
239693908,4417,311,1077748,7797,10563,1187,2445,693843,T
689019648,3612,23,520128,3242,54580,395,1425,694060,T
827634303,3469,53,794401,2847,10076,1979,1989,693590,T
244938032,3517,28,161782,1637,7705,791,2106,693569,T
119989625,4514,304,645502,1882,93566,1979,2319,693104,T
038617587,3463,38,831120,1320,21832,395,1134,693099,T
252885732,3440,44,485040,5116,9923,791,1554,693645,T
616103732,3568,52,292576,3921,8396,1583,2535,693207,T
253594087,4518,290,496980,5077,10233,1979,1989,693411,T
564179230,4588,307,931364,2355,7359,1583,1728,693492,T
339260471,4475,314,501200,1344,28476,395,926,694006,T
494289076,3530,32,67070,1645,38527,1187,1228,694096,T
143071837,3537,48,802899,3210,9631,1583,1982,693661,T
296359621,3461,24,519150,4580,10737,1187,1197,693871,T
505792000,3611,39,566927,1737,18713,791,1301,693379,T
671271339,4425,24,946950,1765,19847,395,1845,693569,T
255422596,3542,438,265650,1949,6549,1187,1916,693907,T
429444153,1783,62,117678,2154,8972,791,2122,693981,T
050525321,1802,67,57664,1605,24257,1187,2370,693538,F
537799276,4585,313,307195,2220,32748,1979,1989,693423,T
725483334,1750,67,96250,1844,21832,791,1428,693862,T
280831258,4569,321,772161,4198,9492,791,1639,693545,T
682491204,1802,83,95506,1696,9775,1187,1456,694020,F
864732181,3482,44,285524,5157,13645,791,1506,693366,T
750440770,1833,92,458250,1468,7197,395,2209,693692,F
637445671,4287,6,990297,2977,21832,791,1783,693521,T
417119727,3615,434,79530,9096,7277,1187,1301,693500,T
300636579,3567,429,221154,2266,8290,791,2052,693982,T
012403670,4478,283,237334,1312,8850,1583,2422,693536,T
224083026,3587,49,416092,1839,11490,1583,1737,693573,T
002089019,3532,439,42384,1526,6683,1979,1989,693888,T
515351785,3549,30,369096,5900,13645,1187,1649,693751,T
231172642,1715,88,114905,1585,34471,1979,2068,693544,F
481060004,1691,75,207993,2898,7277,791,799,694094,T
641945522,3465,42,505890,2568,11908,395,744,693757,T
444894294,4423,9,720949,1955,8290,791,2483,693902,T
742292883,4521,290,343596,1955,6822,395,1289,693675,T
544623236,4516,309,803848,1309,32748,1583,2389,693604,T
602167712,4500,320,891000,6178,7042,1979,1989,693202,T
582109784,3620,54,249780,3358,13935,1979,2509,693856,T
466451553,4573,310,1019779,2787,7277,791,825,693286,T
219822005,1723,68,217098,1996,19847,395,1779,693150,T
728044413,4565,301,351505,1458,9775,1583,1593,693712,T
700629492,1643,58,57505,9356,32748,1583,1646,693429,T
482167562,1708,70,259616,5745,17235,1187,1637,693279,T
454794675,1638,89,289926,8732,19263,1187,1859,693976,T
748658433,4461,308,423795,1347,27290,1187,1951,693885,T
325863418,4434,3,864630,3921,93566,791,2532,693599,T
671113611,3472,19,607600,1411,65496,791,1523,693692,T
096325770,4455,300,155925,1609,9631,791,1365,693475,T
607377721,4520,297,781960,8972,13366,1979,1989,693662,T
367351390,1795,58,420030,1779,10737,395,1771,693551,F
566322112,3586,48,534314,2740,10737,395,2393,693433,T
531282417,4547,314,486529,5368,11908,1583,2431,693463,T
510372340,4246,15,942612,2059,21127,1187,1197,693211,T
283014578,4472,308,62608,5695,54580,1979,1989,694057,T
518762455,4445,303,231140,2640,9492,1979,1989,693105,T
069327206,4518,283,993960,3993,32748,395,921,694016,T
807859139,3579,41,690747,2798,8972,1187,1754,693422,T
617817644,1664,84,89856,1829,14885,395,938,694018,T
470779234,1684,81,232392,2588,81870,395,1601,693674,T
786170685,1830,72,230580,4486,8085,1187,2215,693834,T
747726306,4429,25,783933,3618,7891,1979,1989,693432,T
083690687,4295,13,828935,3291,7987,1187,1197,693245,T
340425364,1645,82,319130,1629,8187,1979,1989,693150,F
714146758,3550,39,688700,1737,7042,791,1940,693462,T
858790165,1672,59,304304,1960,50381,1187,1750,693919,T
540460813,3629,459,261288,2740,34471,1979,2055,693760,T
280772767,1834,81,410816,3226,7987,1187,1947,693442,T
238571770,3504,24,567648,1597,6967,791,2562,693456,T
550737013,4422,318,623502,4308,10737,1583,1593,693496,T
115335717,4536,308,140616,1903,38527,1979,1989,693755,T
904821921,4461,307,343497,6484,14238,791,926,693375,T
182989817,4576,296,416416,2133,27290,1979,2280,693266,T
941077409,3473,36,666816,2729,6752,791,2141,693896,T
262634169,4517,297,266503,3598,109160,1979,1989,693677,T
806845871,3580,446,268500,3393,10396,1979,1989,693654,T
478815240,1683,59,213741,7987,38527,395,1464,693172,T
133388418,3554,55,273658,2950,16793,1979,2087,693630,T
013623849,3517,426,45721,2175,14238,1979,1989,693688,T
475383563,3570,429,506940,1320,11695,1979,1989,693153,T
594690537,4509,291,419337,2490,7277,1979,1990,693539,T
884325281,1764,90,222264,1417,9224,1187,1596,693129,F
911590405,3465,34,79695,7119,8850,1583,1595,693825,T
415632863,4410,37,859950,2609,15594,1187,1687,693198,T
124650055,1735,83,126655,6121,93566,1187,2460,693869,T
401974586,4424,308,628208,2306,14238,1979,1989,693219,T
408145008,4488,298,601392,2364,7442,1979,2155,694008,T
714629098,3433,20,384496,1396,12595,1187,2563,693293,T
480427384,3523,19,405145,1814,25190,791,1764,693274,T
360720345,1820,62,147420,5954,14885,1979,2106,693272,T
119058639,3564,429,217404,1984,13099,791,831,693980,T
763522782,3613,24,733439,1882,7042,1187,1728,694013,T
871399994,4615,306,770705,1414,14554,1583,1593,693480,T
247012454,3603,24,468390,1384,7359,791,2226,693879,T
013881363,3532,35,483884,4439,5203,334,1405,494454,F
527412376,3566,45,545598,2298,36386,1979,1989,693994,T
799987026,1733,93,415920,1829,8732,791,1987,693788,T
401899155,1818,95,343602,4887,43664,395,1685,693324,T
469127900,3502,30,451758,2462,6752,395,2425,694002,T
438098848,1666,87,381514,2183,7797,1187,2067,693254,T
383650768,4517,307,623346,3393,43664,791,1571,693778,T
444357762,3522,31,683268,1760,12595,791,2256,693720,T
502998082,3479,440,316589,2147,10916,395,1512,693603,T
546432679,1767,91,86583,1381,8187,1583,1764,693362,F
133691097,4330,7,86600,1526,40935,1979,1989,693111,T
105803953,1834,73,438326,1850,7797,395,1782,693569,T
598394180,4495,321,925970,4746,16793,395,2006,694015,T
852347626,1728,88,260928,1860,54580,1187,1447,693165,T
835035476,1727,89,309133,3969,21127,395,822,693836,T
078071442,3441,48,550560,2092,7987,1979,2058,694022,T
101619592,3528,421,141120,3447,6615,1979,1989,693288,T
911001163,4518,294,1093356,1949,26198,1583,1593,693981,T
487817495,1741,79,308157,1339,8085,1979,1989,693673,F
066088815,1686,82,150054,1670,10563,1583,1593,694038,F
756851876,3619,36,459613,1309,19847,1187,1754,693955,T
724150557,1771,62,97405,2140,13099,395,1599,694098,T
941399701,1818,63,365418,6178,6752,1583,2316,693925,T
441688294,3617,30,180850,6178,11101,395,1788,693606,T
315737615,3473,450,375084,1375,6822,1979,1989,693121,T
352174828,4559,310,656496,7042,7891,1187,1197,693415,T
400141427,3451,23,48314,1755,19263,395,2168,693411,T
740387040,4460,282,887540,1541,17235,1187,1698,693742,T
945333769,3265,113,349355,1621,8732,1583,2212,693970,T
787137368,4610,281,829800,3830,36386,395,1420,694065,T
728144900,4585,281,861980,4580,7705,1187,1826,693967,T
576145840,3627,35,304668,1710,9096,1187,1197,693566,T
859556287,3540,16,499140,3764,15594,1979,1989,693102,T
894434292,1639,80,229460,1449,28476,1187,2127,693437,F
366541821,4448,311,444800,2002,17701,1583,1593,693162,T
246247153,3198,106,345384,1563,7359,1979,1989,694033,T
867666110,4421,15,1016830,1658,6967,1187,1952,693801,T
429406592,1811,90,325980,3852,130993,395,1536,693800,T
526436979,4280,22,915920,1597,36386,1979,1989,693453,T
585793737,1742,86,287430,2059,6967,791,2102,693140,T
372844757,1635,71,119355,2105,19263,1979,1989,693928,T
025593498,4612,304,456588,2847,43664,395,2128,693492,T
220274034,3446,53,182638,6121,34471,1979,1989,693225,T
290632588,3477,47,643245,2205,10396,1583,2102,693266,T
239101617,3352,88,419000,1819,7197,1979,1989,693349,T
517577631,3572,46,639388,3921,6549,1979,1989,693924,T
195624170,3450,442,148350,1629,11101,791,1610,693471,T
724169129,3559,455,334546,4961,7797,1583,1749,693796,T
327842348,4413,12,626646,3164,54580,1583,2520,693522,T
284683363,3494,15,419280,2509,9775,395,2100,694091,T
112142976,3603,446,306255,7891,11490,1979,1989,693920,T
593887666,3457,53,490894,1675,9923,1979,1989,693156,T
242310071,3219,90,534354,1396,19847,1979,1989,693137,T
472925216,4418,299,835002,7987,24257,1583,1593,693671,T
341375174,1777,59,81742,8085,7615,1187,2362,693326,T
311561769,1808,68,27120,2034,13645,1187,1366,693474,T
779840835,4561,311,1017103,4887,21832,395,1924,694043,T
476338203,3452,55,755988,5077,6822,1187,2167,693461,T
811986113,3465,44,72765,3133,11695,395,2126,693362,T
565397392,4545,286,586305,1485,54580,395,1453,693235,T
375061061,1694,92,177870,2133,10737,1583,1614,693496,T
672811077,1763,70,179826,4119,18193,1583,1726,694022,T
136914867,3183,100,194163,2290,14885,1583,2540,693387,T
041316892,3493,425,59381,2079,27290,395,1617,693740,T
820594492,3513,48,635853,5550,34471,1979,1989,693789,T
840329533,4561,282,880273,3341,6967,395,750,693627,T
977328399,3446,422,134394,1589,21832,791,1992,694099,T
689591111,1715,87,56595,7277,9631,1583,2257,693563,T
865672488,3622,47,532434,6615,28476,1187,2544,694063,T
746604534,4600,283,115000,1701,12128,395,2475,693278,T
230157523,4608,311,1142784,1737,11101,1187,1518,693393,T
389018223,3498,49,370788,7705,8290,395,2077,693108,T
118163293,3467,27,450710,6121,11101,1187,1197,693545,T
387754076,3456,425,328320,2126,23391,395,2084,693907,T
741262117,4546,306,309128,1609,13935,395,1897,693309,T
520347125,4552,306,1115240,3447,12842,791,1538,693723,T
487572137,3508,53,869984,2399,17701,395,1405,693926,T
047402735,1668,76,110088,2673,65496,1979,1989,693676,T
926833626,3506,39,185818,5646,8187,1583,1849,693716,T
358814752,4466,296,174174,2298,12595,1979,1989,693477,T
754477146,4373,9,1032028,6237,109160,1187,1569,693607,T
188224883,3309,112,496350,1519,6615,1979,1989,693368,T
045217100,3507,439,77154,4395,7442,1583,1593,693115,T
545218529,4497,314,998334,3559,17701,1187,1495,693877,T
234217037,1753,63,61355,1653,72773,395,1872,693270,F
342889944,3546,24,882954,4395,59542,395,868,694065,T
927657347,4600,310,653200,1353,15594,1583,1593,693710,T
383723281,4447,290,707073,7705,14885,395,1170,693311,T
442777779,3501,443,112032,2364,6683,791,1969,693671,T
852365823,4593,308,560346,2066,14885,1979,1989,693683,T
777771392,1821,69,366021,1898,7119,791,2013,693896,T
442541301,4490,289,359200,2040,11490,1583,2029,693234,T
157724529,4428,297,216972,1719,15974,1583,2085,693912,T
205837516,3629,425,148789,1589,31188,1583,1593,693230,T
724317118,3519,51,700281,1625,7987,1583,1759,693619,T
101636983,3556,423,85344,4815,10563,1187,1787,693860,T
845689871,3497,23,507065,1325,50381,395,2247,693725,T
917394359,4556,290,473824,4678,40935,1187,1626,693773,T
725892405,4383,37,622386,1566,13366,1187,2049,693791,T
044248955,1720,72,156520,1309,8506,791,1834,693328,F
608924238,1637,81,137508,4612,36386,791,1864,693824,T
283971559,3534,26,561906,3742,9224,395,1433,693280,T
929146262,1667,79,150030,4018,46783,1187,1855,693404,T
955611877,3289,104,246675,3742,14554,1979,2099,693649,T
655321719,1660,91,310420,2175,11695,1583,1849,693975,T
225927782,3520,461,232320,1452,109160,1187,2034,693882,T
400251209,4280,26,856000,2322,7442,1583,1593,694082,T
284345351,4279,8,1048355,1723,12128,395,1977,693232,T
239945411,3430,456,219520,2519,6752,1187,1482,693891,T
455108856,3458,437,266266,2950,7442,791,1963,693409,T
016187156,4447,294,97834,6421,7119,1979,1989,694094,T
110436328,1667,83,300060,1679,25190,395,1968,693175,F
429739780,3469,32,534226,1578,13366,1979,1989,693609,T
229586032,3439,26,467704,2119,7359,1187,1944,694044,T
786688271,3533,40,568813,1516,20467,1583,2120,694075,T
841753217,3584,20,469504,2823,10396,1583,2143,693915,T
481712054,3510,47,666900,2519,7797,395,2357,693520,T
996148766,4503,289,914109,4851,9775,1583,1825,693827,T
980619146,4446,302,666900,1705,16374,1187,2114,693824,T
507052501,1750,63,323750,1719,9096,1583,1826,693304,F
572067380,4503,320,842061,2034,15231,1979,1989,693458,T
431967208,3469,441,232423,8850,6615,1187,1956,694011,T
238063410,3274,95,235728,1978,7119,1187,2199,694027,T
159126184,3526,25,387860,1804,23391,791,1347,693740,T
497993434,3563,452,377678,1344,12842,395,912,693564,T
603656607,3444,445,144648,1495,6967,395,1335,693397,T
257406324,4399,4,857805,2046,13645,791,1657,693560,T
588497296,1664,86,359424,3659,11101,791,1498,694073,T
228551693,3526,425,119884,3341,9356,1187,1749,693148,T
341861313,3594,43,424092,7891,11292,1583,1909,693233,T
290199968,1761,96,373332,4198,109160,1187,1622,693929,T
606693307,3474,42,715644,1839,12842,395,1615,693363,T
561542850,4580,284,641200,2339,9775,791,2504,693798,T
874872527,3500,50,584500,7119,6822,791,2500,693957,T
068856039,3595,24,86280,6967,13935,1187,1613,693889,T
832961871,3580,431,372320,2775,9356,791,1585,693611,T
284340468,3458,430,370006,6683,26198,791,2375,694078,T
462307889,3509,435,466697,1990,11101,791,1963,693573,T
167814225,4457,311,935970,2390,54580,395,2380,693125,T
001208100,4602,302,524628,5077,6822,1583,2181,693627,T
594889555,4444,308,902132,2339,23391,395,2117,693555,T
862076992,4386,41,986850,1701,65496,1583,2351,694031,T
595460248,1673,96,38479,1585,9356,1979,1989,693373,F
079712632,4603,306,69045,4924,9224,1187,2183,693149,T
328066226,4517,301,654965,1751,36386,395,751,693303,F
016739075,3519,32,580635,1675,93566,395,1245,693484,T
690846562,4475,313,170050,2471,54580,1979,2563,693487,T
774782102,4595,283,211370,2205,7197,791,1768,693410,T
820054006,4389,39,869022,2599,19847,1583,1641,693160,T
688848199,1834,58,315448,1887,46783,791,1531,693541,T
117706642,3527,25,345646,7442,11292,1583,1819,693174,T
111808201,3530,441,151790,311,2409,499,2071,155408,F
222432861,4525,303,461550,1563,23391,395,1849,693963,T
496363124,1818,91,147258,1892,12357,1187,1808,693661,T
747500190,3557,28,163622,2390,7987,791,2342,693706,T
512077153,3597,453,338118,1449,9775,395,1980,693830,T
263872024,3531,45,850971,3742,11292,1187,2338,693671,T
050990371,4422,289,804804,3465,10233,791,1307,693807,T
873530571,3504,27,560640,1502,13366,1187,1197,693391,T
126308351,3464,440,232088,4486,7442,791,1361,693650,T
664753427,3552,34,593184,3358,7197,1583,1593,693218,T
683725731,3596,450,237336,1819,16793,1583,1593,693670,T
323239182,4392,7,228384,2453,93566,1187,2222,693427,T
784807719,4577,286,933708,6064,13366,1187,1729,693254,T
515327579,3518,439,316620,1920,26198,791,1714,693464,T
