userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
787551975,4578,326,347928,1751,3559,1583,1670,693964,T
386549214,1740,95,125280,1751,1523,1979,1427,693687,F
691810465,4590,330,165240,1751,16793,791,1562,693754,T
076140060,1886,60,148994,1751,1548,1583,1445,693455,F
469442331,3720,51,368280,1751,1617,1979,1335,693701,T
523937748,1637,91,137508,1751,2443,1583,2146,693757,F
798582956,4496,331,229296,1751,38527,1979,2430,693390,T
646676267,1678,109,149342,1751,1333,395,1979,693501,F
584829777,3581,453,343776,1751,3393,1187,1593,693289,T
214894977,1829,112,54870,1751,1779,791,1496,693208,F
226920223,1716,65,109824,1751,7277,1979,1614,693104,F
488121512,3480,421,295800,1751,2183,1979,2451,693655,T
464861208,3614,455,126490,1751,2695,395,1718,693340,T
619652710,1867,121,84015,1751,25190,395,2128,693870,F
501124737,3487,49,233629,1751,13099,1583,1528,693130,T
062647460,1743,74,118524,1751,2339,791,1166,693099,F
045625361,3538,435,169824,1751,8850,1583,2507,693938,T
421760945,1722,98,58548,1751,2258,791,1776,693468,F
195005287,4447,48,391336,1751,27290,791,2572,693511,T
223004532,1744,100,76736,1751,1364,1187,1878,693151,F
536430769,3610,462,162450,1751,6683,791,1941,693158,T
457355886,1700,82,137700,1751,1741,791,2127,693374,F
872575416,3684,53,154728,1751,2407,791,1742,693968,T
612894013,1836,67,178092,1751,1566,791,1730,693770,F
761453529,3458,119,293930,1751,1342,1979,1260,693420,T
814145084,1910,104,154710,1751,1666,791,2064,693614,F
690777339,3545,437,354500,1751,9775,1187,1435,693875,T
897382577,1840,118,143520,1751,6064,1187,1449,693704,F
713405428,3654,459,339822,1751,8732,1979,1468,693919,T
585031550,1770,96,61950,1751,1439,791,2476,693402,F
682649831,4544,294,231744,1751,1714,1979,1606,693743,T
695335586,1685,109,144910,1751,4580,1187,1427,693440,F
858205143,3278,94,301576,1751,6549,1583,1448,693662,T
555439260,1894,80,113640,1751,1516,791,799,693438,F
186066651,1913,93,72694,1751,10916,1187,1912,693221,F
480029522,3309,78,211776,1751,2860,1583,1024,693605,T
402629232,3199,102,220731,1751,8187,1583,1611,693757,T
564729778,1885,81,141375,1751,17235,1187,2050,693636,F
160190378,3587,50,211633,1751,5239,395,1141,693859,T
831861228,1790,95,139620,1751,1530,395,859,693493,F
945464845,1769,63,136213,1751,15594,791,2313,693520,F
771401239,4430,283,221500,1751,1373,1583,2060,693466,T
658442220,1712,80,106144,1751,8506,1187,1168,693708,F
077103694,4476,313,98472,1751,4337,791,1620,693466,T
123660136,3528,448,127008,1751,5597,1979,1611,693366,T
564276086,1844,127,40568,1751,5239,1979,1698,693125,F
305081062,3648,465,145920,1751,4961,1187,1805,693899,T
877346627,1712,78,148944,1751,1658,395,2470,693812,F
688691835,3620,463,336660,1751,3226,1583,1092,693478,T
129447560,1680,108,146160,1751,3046,791,2094,693857,F
138211049,3652,65,197208,1751,6615,791,1456,693406,T
068068936,1674,86,127224,1751,12357,1979,2018,693178,F
695342758,1695,90,62715,1751,2990,1583,1361,694053,F
377107512,3643,466,284154,1751,3411,1583,1979,693447,T
979811136,3574,439,135812,1751,59542,1187,1588,694077,T
347480064,1736,75,131936,1751,6421,791,1299,693340,F
774206310,4654,320,274586,1751,2751,1979,1547,693897,T
822365343,1687,109,42175,1751,1633,1583,1372,693247,F
506167747,1921,85,78761,1751,1789,1187,1646,693817,F
959751212,3710,486,255990,1751,1478,1187,1644,693854,T
387969536,4425,39,88500,1751,43664,1583,2165,693371,T
400124313,1750,59,113750,1751,13366,1187,2344,693326,F
091285816,3709,78,263339,1751,1637,395,1245,693161,T
082598152,1801,92,84647,1751,1333,1187,1335,693787,F
007341694,1654,97,54582,1751,1834,791,1326,693882,F
661402668,4442,316,142144,1751,6421,395,920,693864,T
420906669,3294,140,65880,1751,2258,1583,744,693783,T
706233567,1714,107,130264,1751,2399,1583,1632,693984,F
339847068,4524,315,248820,1751,2548,1187,1600,693324,T
271083406,1715,68,130340,1751,4887,1583,1048,693458,F
367208097,3457,451,169393,1751,5847,395,1880,694094,T
775412441,1778,90,60452,1751,1498,1583,957,693225,F
276807299,3439,71,251047,1751,1746,395,1782,693639,T
639772263,1639,93,149149,1751,3341,395,2040,693946,F
613923223,1709,79,124757,1751,1336,791,1335,693123,F
615132982,3581,31,196955,1751,3465,1187,1980,693207,T
124526387,1876,117,88172,1751,3483,1187,1497,693607,F
410717216,4672,332,238272,1751,2509,395,1612,693695,T
769884913,4487,339,399343,1751,21127,1187,1026,693689,T
311033497,1757,90,100149,1751,1692,1979,2083,693200,F
525869224,3227,80,177485,1751,3004,1583,2064,693672,T
707259691,1652,112,41300,1751,8085,791,1596,693824,F
076089641,1714,87,99412,1751,1770,395,1023,694100,F
945839514,3691,455,217769,1751,1399,1583,2024,693418,T
971401484,4478,299,438844,1751,14554,1583,1524,693604,T
476735792,1751,102,64787,1751,1855,1583,1968,694048,F
652919330,3193,128,124527,1751,4225,1979,2307,693699,T
841558643,1693,79,101580,1751,1760,1187,989,693656,F
497618591,3430,452,229810,1751,1555,1979,2516,693200,T
579631127,1636,86,111248,1751,1855,395,1700,694028,F
192641002,4463,291,334725,1751,3807,1583,1898,694018,T
275912870,1761,109,139119,1751,2923,1583,1395,693710,F
392788871,4470,283,143040,1751,11101,1187,1214,694038,T
584182666,1929,96,190971,1751,3060,395,1164,693654,F
100726027,3278,98,137676,1751,2462,1187,1879,693758,T
870608673,1899,110,58869,1751,3447,395,1327,693497,F
071469394,3663,28,260073,1751,2811,395,1648,693142,T
000723971,1776,60,60384,1751,2059,395,1609,693734,F
841688555,3646,79,320848,1751,1972,791,1823,693188,T
993510528,1791,122,98505,1751,3376,1187,1005,693601,F
