userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
402467297,4851,16,873180,1167,15781,445,4922,437110,F
443086140,1847,39,273356,1139,4485,2225,2859,436654,T
066578047,1303,36,136815,1016,5462,445,4713,436899,T
940637054,1309,1,250019,1070,17044,445,5473,437116,T
206716951,4536,185,335664,1434,8194,2225,5434,436619,T
420975820,1922,15,215264,2582,4438,1335,6304,437129,T
067407353,4610,173,327310,2078,9684,445,2671,436713,T
842794784,1841,22,134393,3580,17044,1780,6060,437066,T
091631412,2011,42,400189,949,4347,445,5927,437010,T
942926572,4450,151,1094700,1828,22426,1780,6159,437111,T
609130735,4851,16,451143,4897,4631,445,3034,436528,T
024264793,4473,185,241542,1505,5012,445,5341,436410,T
045100510,4552,154,191184,2407,4842,2225,4273,436168,T
118813939,4815,43,409275,3022,9684,890,3376,436779,T
001757733,4877,39,770566,1670,4347,445,5351,436526,T
974592119,1831,19,358876,1133,15217,1780,4023,436559,T
121903483,1468,1,199648,855,53262,1335,5381,437096,T
626178175,4518,159,890046,914,7747,445,5471,436459,T
021311220,4776,27,740280,2290,23672,1780,4687,436911,T
728365014,1991,27,234938,1124,5260,1780,3590,436967,T
848269847,1436,12,196732,1034,7475,1335,2860,436266,T
433653121,4486,168,690844,2048,11516,2225,3338,436697,T
422716927,1378,16,104728,1505,23672,1335,4103,437031,T
583395631,1392,35,68208,1357,53262,890,3050,437145,T
533608456,1881,36,152361,1260,53262,2225,3991,436957,T
754152781,4436,157,833968,1527,26631,1780,6303,436754,T
520132531,1956,29,203424,916,7747,2225,3983,436448,T
031253584,4524,161,719316,1775,6359,1780,4665,436862,T
043665659,4940,27,434720,4392,7346,1780,5907,436744,T
797337617,4965,35,580905,857,42610,445,5639,436940,F
519291722,1298,11,116820,5837,60871,2225,3210,436873,T
580395363,4434,159,607458,2254,9066,1780,4247,436344,T
671196020,4850,28,436500,2614,15781,1780,5316,436208,T
097824687,4617,184,300105,2088,7890,445,3062,436439,T
631888862,1333,1,51987,2898,4954,445,2972,436781,T
794089924,4836,22,362700,1235,7222,890,3336,436175,F
454128642,4589,171,307463,4392,5681,2225,5619,436998,T
274566141,4951,48,415884,1651,10652,445,3270,437104,T
409423190,2647,43,58234,2714,7222,890,2923,436783,T
959797236,2735,37,289910,1021,5681,890,3390,436536,T
896297770,4624,148,286688,873,21305,2225,5680,436505,T
907860374,1521,19,180999,683,2262,270,1371,184628,F
520160314,4778,46,57336,1860,5133,890,3174,436738,T
116758834,1315,8,31560,1434,8695,1335,4279,436448,T
845802248,4916,41,54076,1311,4533,1335,4676,436477,F
945817375,1418,18,80826,979,7346,890,5367,436757,T
457190432,1467,26,90954,2290,85220,1335,4384,436586,T
112948415,4915,33,1125535,914,7346,445,4201,436165,F
395921164,1455,8,190605,1584,15781,1335,5484,436325,T
669407786,4828,29,260712,1275,9468,1780,2674,436570,F
142940537,4568,155,187288,1387,5133,2225,4280,436617,T
570375332,4782,51,956400,2207,4734,890,2955,436289,T
581732288,4925,34,566375,1790,30435,890,4889,436870,T
937977396,1840,43,106720,1014,7101,2225,6010,436169,T
632814840,4945,45,257140,1620,5606,445,5621,436687,T
522208585,4481,179,457062,1495,15781,1780,2666,436505,T
743806237,4467,182,272487,2078,20290,1780,4489,436376,T
951450483,4451,169,1086044,2784,22426,1335,3207,436933,T
110425388,4889,33,53779,1449,38736,445,3333,437128,F
845310458,1926,24,346680,2566,42610,2225,3226,436614,T
681043593,1355,1,33875,1299,7101,445,5505,436511,T
020829700,4534,168,453400,3065,4631,1780,3627,436759,T
398769024,1429,3,17148,3065,22426,1780,6256,437107,T
221156798,1346,5,335154,1357,10925,890,5929,436385,T
958991575,2005,40,166415,1425,5918,1780,5868,436282,T
960003436,4546,167,863740,2679,4842,445,4686,436553,T
571098198,1386,34,327096,1118,4304,890,4686,437110,T
475561567,4501,186,679651,1361,6266,890,3305,436311,T
393193266,4448,155,1080864,873,4347,890,2875,436425,T
334208459,4558,148,984528,1084,4787,1335,5354,436893,T
354623747,1377,9,156978,2421,8522,445,5508,436864,T
299857993,4851,18,606375,2938,4392,1335,4579,436965,T
900401654,4622,171,106306,1036,7346,445,5735,437110,T
240945109,2605,43,359490,906,10652,890,5638,436937,T
109620748,1954,38,23448,2598,12174,1780,3978,436139,T
424747351,4834,37,77344,3252,4631,445,5366,436855,T
628185998,1468,27,342044,1893,4392,890,2802,436815,T
474738698,4504,185,1080960,2598,10925,890,4290,436953,T
571279827,4967,28,1097707,1638,6763,445,6198,436339,T
004450335,2776,37,177664,1036,10392,890,5689,437134,T
476841739,4477,169,586487,857,5072,890,2627,436173,T
689279622,1894,44,371224,1370,6087,1780,2631,436221,T
167959065,1443,18,15873,897,4581,445,4831,436286,T
116758175,1289,3,293892,1275,4787,1780,3278,436886,T
780373901,4811,26,1024743,2000,13315,890,5491,436221,T
300716029,4857,21,670266,3873,6657,890,3037,436888,T
019508177,4562,167,223538,3381,4581,445,6128,436655,T
742092642,2781,50,247509,910,9263,1335,3573,436327,T
544004935,1947,18,91509,1224,30435,2225,4130,436917,T
458280686,4790,41,661020,2000,16388,445,4736,436501,T
879592930,4486,162,870284,869,6456,445,2953,436284,T
825599811,4493,159,152762,1464,4392,1780,3170,436630,T
088851904,2750,64,371250,1148,6456,445,4575,437136,T
444699379,4455,157,423225,1797,5837,1335,3368,436208,T
460240967,4874,34,297314,2202,4017,552,2673,304250,T
925525757,1346,18,161520,1365,26631,1335,6108,436527,T
249026272,1857,38,284121,1813,4438,2225,4692,437030,T
646048865,1837,40,220440,3252,8522,1780,5594,437002,T
044565230,1413,18,154017,2367,4261,890,6146,436654,T
667295454,4454,153,173706,1029,5758,2225,5837,436926,T
358292200,1888,30,358720,1677,7890,2225,5382,436602,T
803092391,4967,18,913928,1275,5681,890,5902,436995,F
628652023,1977,34,353883,1242,5462,2225,4173,436751,T
362882033,4802,26,960400,857,4842,445,3402,436302,F
581681949,1284,25,206724,3580,4954,445,3298,436157,T
525964170,1409,11,46497,3641,4304,1335,2637,436413,T
910943962,1301,31,76759,1469,7747,1335,4553,436702,T
839463412,4873,45,1023330,2803,25064,2225,2777,436862,T
549738325,4777,17,1074825,2230,10925,2225,2969,436558,T
718519253,4488,150,489192,936,7346,1335,4720,436731,T
933037954,2014,48,437038,1339,38736,2225,4749,436507,T
718119643,1439,23,220167,959,6985,445,2967,436839,T
074587628,2787,46,220173,2898,6657,890,3590,436301,T
267305490,4603,153,1049484,860,20290,890,2893,436223,T
546031887,1293,1,53013,1106,13315,1335,2864,436738,T
568198077,4907,16,1172773,4533,6456,1780,3133,436518,T
016236102,4624,167,915552,3873,18526,890,3511,437066,T
754614875,1335,34,168210,2130,13315,890,3405,436750,T
120605722,2726,36,280778,1089,11836,890,4928,436210,T
182008226,2765,36,295855,1052,4485,890,3319,436512,T
895527091,4458,172,579540,1052,26631,445,3962,437020,T
200693852,2700,59,361800,1078,4954,890,3325,436290,T
276501581,4517,177,627863,1820,14203,1335,4801,436144,T
325108080,4869,33,243450,3277,4734,1780,4608,436550,T
445796270,1363,8,96773,1495,28406,1335,4867,437102,T
136424837,1292,19,288116,1684,10652,890,5479,436961,T
210159788,4602,187,450996,2058,5758,445,3382,436198,T
279389070,1860,28,332940,1196,4438,1780,3216,436325,T
299743321,4806,34,941976,2393,4347,1335,4999,437059,T
235450928,4858,23,1190210,2207,7101,890,3594,436388,T
451759300,4584,153,531744,2393,4631,1780,4914,437027,T
599175421,4586,185,366880,893,4533,445,3264,436545,T
715139615,1333,28,130634,1098,4787,890,3955,436625,T
537689227,2650,61,204050,1538,6555,445,4437,437007,T
047295785,4897,43,930430,4897,6175,1780,5575,437086,T
924252049,1980,25,348480,4392,5681,2225,5300,436703,T
369561797,4782,52,521238,1760,5196,890,5714,436697,T
904122660,1297,14,232163,2463,5326,445,6047,436503,T
228942922,1470,2,199920,2521,11516,890,4730,436698,T
302627666,2710,31,138210,979,5326,445,4230,436256,T
382831410,1388,5,79116,1180,5393,445,4188,436516,T
704751048,4934,31,853582,3611,13315,890,3143,436663,T
961541421,1977,27,450756,1173,12174,1780,3346,436508,T
944216674,4434,163,846894,930,85220,2225,4923,436599,T
685938035,4960,35,74400,1645,8877,2225,2997,437136,T
765798689,4559,165,1002980,2506,21305,445,4397,436356,T
168265632,1351,30,17563,993,8039,1335,2765,436842,T
016098808,1378,38,173628,912,5533,445,3966,436673,T
923066632,1925,29,209825,1260,5462,1780,3211,436956,T
982450591,1411,24,128401,2840,15217,1780,2833,437132,T
328266264,1462,38,67252,1089,53262,890,4496,436431,T
950214888,1408,20,211200,2048,5606,445,4587,437067,T
688112948,1393,30,339892,5260,4842,445,3048,436377,T
769675026,4899,22,416415,1315,30435,890,2810,436252,F
007992335,4593,178,73488,1521,6555,2225,4781,436298,T
509544907,1911,37,342069,934,9468,1335,4760,436241,T
228386662,2693,49,56553,1820,4734,1335,3114,436460,T
337781120,4774,41,1064602,961,6555,445,3518,436408,F
337160842,2674,57,483994,1828,5133,890,4684,436582,T
474614203,1951,33,171688,2536,7890,1335,5679,437087,T
167680344,4625,186,656750,3087,22426,1780,2710,436357,T
810079605,4965,53,511395,934,8877,445,3255,436496,F
800768604,4881,32,1166559,2315,4787,445,5567,436169,T
048392360,4483,156,313810,1121,13745,445,5863,436717,T
603022997,1996,38,163672,932,19368,2225,2732,436470,T
723841671,4934,47,897988,1972,5462,1335,2745,436306,T
600328021,4858,25,1020180,1469,5462,890,4895,436592,T
265888600,2603,57,424289,897,6555,890,2835,436501,T
717397723,2759,59,135191,1112,6359,890,5429,436536,T
957490563,4627,181,462700,2614,4392,1335,5726,436313,T
165433845,1852,54,192608,1670,13745,2225,5757,436463,T
679381037,1334,19,248124,1374,10392,1335,5599,436624,T
772541619,1345,30,172160,1638,4581,445,4661,436533,T
398067831,4478,181,179120,1019,5326,445,3352,436628,T
394377955,1853,25,324275,1397,6087,1335,5659,436539,T
065301291,1445,8,37570,2918,47344,1780,6292,436176,T
874268892,2599,47,265098,946,9263,890,6148,436257,T
028872635,1902,27,98904,2959,25064,1780,5609,436753,T
602257520,1374,21,298158,2784,26631,445,6220,436485,T
068124233,1416,9,83544,2407,6001,445,4645,436992,T
442137262,1327,37,313172,1210,4304,890,4892,436532,T
812207635,4592,149,817376,3464,9468,1780,4938,436638,T
533756464,4580,176,219840,2354,5393,1780,2778,436397,T
963487685,4871,19,852425,912,5260,445,5967,437098,F
867082091,582,1,31428,953,6359,1335,4055,436523,T
524045172,4436,181,110900,1026,5326,1335,4525,436993,T
677757660,1870,52,428230,1095,15781,1780,3344,437090,T
188401007,4482,175,995004,1732,5012,890,4785,436639,T
468101958,4471,168,724302,1852,5918,445,5765,436179,T
329764760,4917,39,270435,1664,71017,890,3264,436431,T
749018448,1858,44,198806,1775,4533,1780,6202,436165,T
973652104,4571,149,54852,2434,5681,1780,4650,436377,T
992445500,4541,164,849167,4261,5533,1335,4822,436581,T
202650948,1825,30,333975,1242,7101,1780,3574,436872,T
201445296,4575,152,205875,2152,21305,2225,3530,436985,T
581789666,1857,16,196842,2918,15781,1780,4028,436173,T
