userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
626531906,3823,64,569627,6695,7365,835,4268,539679,T
399507644,3801,84,805812,1130,27135,1253,3409,540288,F
945510152,4057,20,989908,2420,5427,417,7040,540046,T
225366534,3834,74,425574,5427,24551,417,7212,539376,T
322085260,3870,46,893970,1233,8055,835,4193,540046,T
951252728,2654,118,350328,4157,10522,417,5092,539639,T
757903400,3668,98,498848,1626,19095,417,3903,539754,F
398357539,3668,81,575876,2980,5858,417,7404,539670,T
373129175,3944,9,165648,1765,5793,1671,5885,539956,T
786411690,3734,77,645982,3507,14321,1671,3521,540056,T
774885544,4034,13,746290,3032,6444,835,4311,539358,T
185718104,1347,27,44451,2832,5484,835,4978,539821,T
826603848,3983,15,609399,1534,17186,417,7022,540207,T
387453672,2607,132,143385,1616,5315,835,5905,539908,T
867932208,3871,24,321293,1895,5793,1671,3470,539696,T
572337417,3918,45,795354,2281,6967,1253,7436,539664,T
301529413,1350,4,263250,1060,16111,2089,3402,540236,T
677678676,3646,74,87504,1701,39660,835,3666,539623,F
885589608,2729,116,373873,3105,8055,417,5841,540264,T
674941543,3825,37,332775,1916,11457,417,4155,539372,T
526738857,4012,33,529584,1525,10969,835,4236,539289,T
935902736,3952,35,462384,1975,12889,1671,4973,539859,T
866957058,3895,25,755630,1196,6967,2089,7669,539388,T
050240914,4032,19,512064,2354,13220,835,5234,539693,T
718603882,3994,17,678980,1213,24551,2089,3551,539618,T
239751697,3887,26,940654,1938,9206,835,3657,539443,T
888785738,4050,11,955800,1276,12575,1671,4103,539520,T
301772090,3871,17,878717,1356,7472,2089,7091,539856,T
066310747,1314,12,227322,2104,85930,835,5259,539524,T
003712937,3873,34,42603,1452,9727,417,5395,539319,T
154461703,3709,68,634239,2786,10522,417,5085,539954,T
844861902,3967,28,952080,1239,5604,1253,5082,539370,T
614053286,4017,8,514176,6783,17186,2089,6824,539467,T
868892729,2692,136,51148,1374,7811,835,7652,539359,T
423177592,3697,35,125698,4522,6526,417,3686,539343,T
805626519,3996,39,847152,1393,7932,835,5705,540224,T
577360534,3754,84,671966,1260,20623,417,3594,539565,F
215606153,3914,11,258324,4157,8889,1253,5542,539664,T
269346629,3878,23,903574,1498,21482,1253,7612,540182,T
525759586,3984,35,669312,1485,13220,2089,4983,539428,T
133096230,4064,39,597408,1641,10522,2089,5893,539577,T
634266456,4003,16,556417,1171,5207,2089,7052,539340,T
069369024,3977,14,898802,2742,85930,1253,7487,539626,T
500163193,2585,129,496320,1213,5995,417,3864,539862,T
678080547,3811,90,701224,1529,8889,835,3877,539745,F
938283988,3953,10,668057,1248,64447,1671,7645,540193,T
618430190,4017,21,228969,1215,11457,1671,6816,540204,T
095661208,3804,74,475500,2880,27135,835,3813,539410,T
196474977,3970,8,309660,2685,7365,417,6869,539489,T
478000307,1411,16,275145,2045,10109,835,3745,539648,T
500325100,1318,19,104122,2271,28643,417,5047,539367,T
681561915,3940,13,496440,1056,27135,417,7237,539418,T
179444156,3925,10,612300,1809,6695,1253,6646,540253,T
953827825,4041,23,686970,6065,5926,1671,3756,539331,T
423508613,4043,43,266838,1065,7582,417,5895,539766,T
596595038,3715,76,118880,1503,51558,417,6007,539311,F
778783081,3655,79,559215,2193,17186,2089,3603,539460,T
405955603,4062,45,406200,1285,17778,835,7538,539678,T
570879118,3882,27,597828,1233,5793,835,5589,539518,T
177305499,3773,97,652729,1113,46870,1253,4220,539859,F
770667707,3714,38,453108,1111,6526,835,3400,539738,T
923037783,2628,137,89352,1902,6065,417,4992,540016,T
686107091,1391,1,219778,1581,9374,417,6981,539439,T
379948401,4020,21,968820,3326,8055,1253,3801,539615,T
118158531,3663,97,65934,3050,21482,1253,5770,539989,T
426165635,3933,25,613548,1397,5315,1253,3495,539436,T
230479197,3740,14,665720,1796,5484,417,3573,539619,T
257977106,4035,34,367185,3905,8889,2089,4964,539540,T
995022941,3719,64,405371,2332,11208,1253,3361,539718,T
600026408,4025,46,861350,1138,64447,417,7280,540069,T
661265205,3728,67,149120,1416,39660,417,3372,540115,F
075544605,3939,38,51207,1657,15623,1671,7142,540223,T
376419751,1413,27,158256,3326,9045,835,5888,539481,T
308762730,4043,28,913718,1543,9045,1253,3352,540091,T
263278635,3736,71,515568,5054,7811,2089,3474,539659,T
545242732,1475,15,75225,1150,6526,417,5978,540282,T
432292772,3893,18,280296,1071,20623,2089,3877,540108,T
665349338,1417,10,130364,3876,7582,835,7283,539746,T
669004194,3755,90,773530,5793,8183,835,5751,540100,T
875988924,3885,12,229215,1382,7062,2089,5414,540051,T
953409591,3753,28,206415,1567,36827,417,3799,540138,T
942023422,4042,47,105092,2515,73654,1671,3954,539532,T
409821070,2751,129,676746,3305,6365,417,5857,540037,T
847043028,3643,66,295083,1828,10741,835,5209,539470,T
983951593,1394,1,204918,1821,5793,417,4243,540212,T
049205410,3721,101,863272,3709,51558,417,6760,540253,T
647254622,3981,42,943497,1227,22416,417,7093,539521,T
281971954,4017,22,321360,2166,12275,835,7498,539903,T
871264053,4011,38,144396,1187,7811,1671,7580,539396,T
747828445,3683,100,279908,1069,5665,2089,3885,540214,F
631431470,1357,1,100418,2617,6365,835,5584,539488,T
465250310,1421,1,221676,1067,7932,417,7570,539379,T
679936581,2752,111,49536,1315,5926,417,5116,539842,T
639363312,3685,84,733315,5995,5370,1253,3727,539739,T
656967991,3835,83,230100,1099,23435,417,4033,539997,F
490924865,3796,95,470704,3263,6695,835,5191,539783,T
237377408,3925,23,702575,5665,6874,417,6844,539303,T
026912856,1405,11,311910,1382,13567,835,5479,539501,T
692569811,3920,25,932960,1067,6610,2089,5340,539660,T
566725249,3830,103,482580,1273,6783,1671,3420,540283,F
956033921,1340,10,136680,4818,12575,835,4188,539885,T
987002743,1450,1,291450,1092,6444,835,4979,539434,T
526277140,3607,28,761077,7365,30328,835,3886,539946,T
234867933,2597,147,244118,1464,5604,835,6897,539862,T
666502953,4003,25,540405,5665,16111,2089,5721,540139,T
559130791,3957,8,644991,1401,6695,1253,7099,540065,T
142257515,1309,15,107338,1185,27135,835,5545,539782,T
756627762,2728,135,150040,1874,5604,835,5615,539588,T
418455605,3721,70,487451,1938,8738,417,5151,540179,T
852475580,3978,43,672282,1931,5995,417,5500,539507,T
958126764,2649,124,31788,3437,5427,417,7422,540100,T
942360860,3682,82,220920,1230,5604,417,7354,539906,F
115250847,3795,85,793155,2409,7261,835,5377,540038,T
687702588,3932,40,365676,2029,15623,1253,5008,539335,T
260303085,3948,15,303996,3326,6444,1253,5571,539741,T
093234088,2705,137,29755,1047,5926,417,5446,539790,T
932995474,4060,17,937860,1043,6695,1671,3329,539602,T
069913456,3776,78,124608,1741,23435,835,3937,539395,F
160866813,2658,123,651210,1322,9727,417,3825,539446,T
127124454,1406,16,239020,1360,9727,417,5212,539784,T
506995242,2672,127,237808,2286,3213,213,1164,244269,F
793878170,3939,39,157560,1626,11717,1253,3883,539660,T
090344646,3923,7,333455,2657,46870,1671,4003,539329,T
464820966,3956,39,296700,2431,39660,1253,5893,539711,T
329738767,3911,17,688336,2502,10109,1671,3422,540062,T
661850660,1386,1,192654,1374,6444,417,5461,540136,T
616864350,3956,21,894056,1335,12889,2089,4275,539866,T
890034533,3911,14,578828,1616,32223,835,5779,539741,T
969795223,3721,81,230702,1099,7932,417,7439,539951,F
737244490,3967,38,670423,1263,8055,417,5207,540007,T
355899038,3870,11,592110,1260,13567,1253,3608,539517,T
919140799,3721,90,461404,7062,7472,417,3688,539541,T
536244669,3836,75,959000,3531,15623,417,5619,539967,T
165729623,1379,23,107562,2078,34372,1253,3401,540132,T
517336824,3909,47,359628,1741,19830,2089,7205,539516,T
284381336,3792,99,750816,2817,5427,2089,3915,539598,T
835523857,3943,44,682139,1308,8593,1253,7456,540215,T
056509423,4007,24,536938,1490,103116,1671,4257,539881,T
143241089,3915,47,837810,1221,23435,417,5809,539560,T
755750466,3779,65,355226,2354,11208,835,5310,539918,T
294509801,4051,12,587395,2685,10741,2089,4978,540270,T
368190441,1307,8,65350,1305,64447,1253,3657,539551,T
806842067,2721,143,149655,1621,18413,417,3706,539768,T
315256943,3715,10,683560,3369,7062,417,4128,539628,T
012739447,3980,46,338300,4818,5604,1671,5599,540231,T
833377061,3906,38,558558,1616,7932,1253,5654,540092,T
208194896,3888,31,723168,1135,8593,417,6743,539751,T
138874478,4048,11,684112,1332,5484,1253,5666,539870,T
289415023,3966,16,412464,2409,32223,1671,3807,539490,T
684595917,3798,100,881136,2527,15164,835,5551,539926,T
230409050,1395,9,121365,1169,21482,835,7003,539998,T
642783162,2625,131,417375,3087,5665,417,6838,539555,T
