userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
240857579,2701,165,178266,1292,1436,2089,3316,540068,T
625103959,3900,130,245700,1292,36827,417,4093,539962,F
959963239,3746,46,217268,1292,2193,417,5575,539636,T
941640640,3842,91,126786,1292,3414,1253,3443,539288,F
137424511,3763,69,267173,1292,3656,417,4127,539411,T
418899769,3672,93,356184,1292,8452,417,5410,540090,F
052546507,3710,69,222600,1292,1257,1253,3580,539985,F
249279440,1368,1,91656,1292,1041,835,5570,539605,T
024201697,3951,39,201501,1292,3305,1671,7249,540237,T
599394936,3755,91,214035,1292,4091,417,5858,540211,F
488264237,3989,65,335076,1292,1236,1671,5127,539643,T
589921698,3759,98,259371,1292,6783,835,5837,539937,F
543587183,1467,1,101223,1292,4406,835,3854,539893,T
482276185,3768,104,173328,1292,2006,1253,3690,539865,F
211056494,1458,1,77274,1292,2757,1253,7509,539729,T
375067501,3742,127,97292,1292,2037,835,3773,539834,F
377777628,3696,118,280896,1292,1263,417,5605,539617,F
851598043,1567,35,32907,1292,1591,417,3667,539278,T
334670415,3920,36,141120,1292,1567,1671,5594,539317,T
154296914,3654,107,73080,1292,1260,417,7476,539562,F
537227484,3877,23,259759,1292,1360,1253,7652,539306,T
311737875,3733,92,350902,1292,5370,835,7401,539961,F
130858957,4033,44,84693,1292,1215,1253,7619,539846,T
790669163,3655,86,113305,1292,5427,417,5874,540059,F
590731155,2754,144,140454,1292,1448,417,7353,539481,T
824313222,3739,75,201906,1292,6695,1253,3876,539983,F
827394735,3709,120,248503,1292,3068,835,5946,539993,F
588953697,2748,119,236328,1292,1931,417,6968,540063,T
650743879,2574,108,159588,1292,6287,417,3689,539546,T
917593768,3720,129,357120,1292,1983,835,3433,539544,F
114142653,3715,109,74300,1292,2409,835,5633,539720,F
027474876,4086,65,114408,1292,3709,417,5789,540001,T
659942760,4070,11,284900,1292,1809,1671,7336,540040,T
010555717,3857,113,208278,1292,1187,1671,3839,539653,F
094817278,4086,75,253332,1292,5261,2089,4224,539825,T
107126783,3876,75,333336,1292,1452,417,3598,539752,F
594356126,2802,120,232566,1292,3222,417,7074,540077,T
183024796,3652,112,317724,1292,5926,417,4132,539529,F
975448396,1332,13,125208,1292,1701,2089,3713,540083,T
910322503,3941,129,386218,1292,8315,1671,3811,539802,F
319991266,3884,14,81564,1292,5005,1253,5239,539604,T
255456568,3686,73,169556,1292,1332,417,3714,539434,F
977306537,1349,31,82289,1292,85930,417,4111,539387,T
212225318,3853,73,173385,1292,21482,835,3314,539505,F
103147228,4062,65,272154,1292,4157,1671,3503,539515,T
