userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
861270231,2035,19,321530,1127,3746,2127,4951,310083,T
361147730,3044,103,66968,645,26228,2659,4865,310227,T
954787151,2999,32,512829,1472,3316,531,9500,310471,T
112312908,210,1,33600,856,10685,531,7190,310696,T
341523730,2307,387,544452,2487,8014,2127,5045,310549,T
747871126,3049,97,210381,619,26228,1063,7260,310606,T
526472369,2037,29,478695,2308,4306,2127,4762,310602,T
229470369,2041,13,251043,786,28851,2127,6858,309799,T
408467763,1861,1,316370,998,3434,2659,4952,309949,T
939160428,339,7,59664,910,3069,1063,6857,310265,T
367229098,3159,101,461214,1826,3136,1063,8931,310038,T
127354048,2210,369,265200,1826,3476,1063,9324,310570,T
520038800,2337,382,530499,688,5152,2659,4277,310220,T
977617504,2279,378,330455,1593,13738,2659,7205,309917,T
777989409,3023,77,374852,1367,5657,2659,7050,310341,T
463073398,2237,380,467533,3846,3476,531,8812,309821,T
318786200,2839,20,286739,2090,4653,1063,9338,310468,T
690329820,2188,383,76580,636,4508,2127,9253,309905,T
869545048,2207,367,121385,799,6138,1595,5128,310255,T
983363332,2197,394,309777,660,10304,1063,7215,309702,T
262659107,3196,96,383520,747,9948,531,5209,310373,T
942936960,3160,102,148520,686,12021,531,9062,310393,T
115743915,4682,25,505656,1759,32056,1595,9028,310603,T
257128900,2385,123,59625,952,4729,531,6508,310122,T
683766294,2340,376,542880,660,3652,1595,4943,310109,T
159379350,3060,76,419220,1898,2974,1595,8847,310519,T
040454553,2280,366,136800,1084,4890,1595,5118,310409,T
042301358,3144,84,443304,672,4121,531,5108,310389,T
757419591,3037,73,327996,790,5548,1595,4699,309717,T
606947183,3067,87,383375,2236,4438,2659,6770,310693,T
621808147,2250,359,117000,710,2944,1595,6834,310232,T
318338570,2998,106,545636,620,10304,531,7209,309991,T
578395827,1969,10,474529,734,3698,2659,8698,310133,T
208028269,2909,28,471258,730,4890,1595,8724,310430,F
647153999,2330,391,172420,2289,4890,2659,7372,309760,T
110285056,3178,93,549794,736,3005,1063,9476,310394,T
443846321,2186,357,448130,866,7212,2659,8790,309746,T
162570371,199,6,7761,2105,3434,1063,6513,310430,T
859382570,2249,363,287872,810,3898,2659,4441,310177,T
281506602,2829,42,523365,715,4371,1595,4815,310612,F
858419098,1893,29,353991,628,15184,2659,4240,310366,T
748251926,2959,15,662816,3170,15184,1595,6735,310037,T
119995753,320,7,68480,2031,3136,1063,8796,309740,T
931004311,3142,77,377040,581,6869,2127,6584,310637,T
459101973,3058,100,119262,930,13738,2127,8755,310270,T
875152754,227,24,22927,815,5152,1063,6706,309864,T
043718581,3079,96,705091,623,5342,1063,9318,310089,T
190845105,4047,53,975327,1172,6557,1595,5083,310334,F
626477334,2228,374,314148,607,13738,2659,9192,310043,T
979820403,2990,18,735540,696,8742,1595,9093,309728,F
751156810,3166,97,569880,958,10304,531,6427,310176,T
913744008,1847,20,42481,933,3434,2659,4599,310601,T
621480827,3122,100,118636,2856,6138,531,6796,309701,T
085517287,3100,83,644800,981,24042,2659,6599,310588,T
207205347,2998,17,728514,1192,2944,1595,8874,310123,T
086062640,2317,365,505106,2060,4653,1595,8654,310046,T
904138710,1988,9,210728,978,10685,2659,6948,310263,T
107381697,3026,99,299574,1568,3698,1063,9391,310004,T
829414414,2215,382,230360,2271,10685,1595,6469,310232,T
527033648,3018,6,398376,1407,4974,531,5130,310403,T
064187046,3121,95,780250,1323,24042,2659,6756,309854,T
075008187,3070,101,528040,1005,19234,531,5155,309716,T
928789756,3151,87,699522,1101,4579,1595,8539,310291,T
546435316,2840,30,363520,2308,3354,531,8942,310154,T
079123038,4062,52,690540,3136,22193,2127,4343,309729,T
836793377,1872,22,144144,591,5888,1595,4308,310233,T
497834421,209,1,12958,1019,6411,1063,5114,309936,T
785273061,2268,355,290304,1407,36064,2127,7319,309714,T
210373916,2893,34,422378,2308,3746,531,6428,310015,T
849686407,2864,34,604304,1049,3278,2127,7241,309789,T
308007432,3170,83,339190,1373,3069,1595,6783,310207,T
812797640,2022,26,442818,1227,4508,2127,6544,310658,T
189446563,4123,28,766878,2622,26228,2659,4826,309844,T
542714972,2285,368,326755,1630,20608,2659,8864,310659,T
075925473,3149,95,116513,708,19234,2659,6649,309954,T
796323008,1942,17,100984,588,2974,1595,8838,309867,T
746568145,3000,100,498000,700,9016,2127,4481,310115,T
640435454,2309,385,314024,745,7397,1595,4487,310653,T
382203470,1913,8,38260,1192,3746,2127,9273,310628,T
616230347,2316,390,500256,971,20608,2659,4913,310497,T
741555031,3156,85,429216,838,4438,531,9376,309936,T
215513639,2911,16,707373,1187,6709,2127,7061,310293,T
432841801,2975,26,478975,1097,3952,1063,8944,310515,T
771528745,2351,358,336193,3952,4242,2127,6988,310595,T
886900737,3190,91,264770,658,3796,531,4793,310597,T
482651616,3171,90,142695,781,4371,2127,7004,310276,T
616160147,3189,73,274254,700,3898,1063,4346,310691,T
872721399,2218,387,277250,1449,8014,531,6949,310691,T
800092687,3160,111,255960,624,3434,1595,4987,309993,T
603508021,2209,390,461681,2017,48085,1595,6421,309978,T
761253873,4106,52,500932,2090,13114,2127,5179,310480,T
342198612,243,4,7776,1770,5245,531,9243,310535,T
712919291,2325,373,420825,691,5657,2127,6407,310251,T
743316867,2014,1,100700,1084,3241,2659,8988,309943,T
350698353,3102,86,666930,1487,12021,1063,4346,310375,T
441367623,2267,391,471536,1131,6869,2659,8811,310057,T
235016456,4084,62,976076,1849,4579,2127,5237,310249,T
631610140,2159,359,205105,3796,3698,531,6924,310165,T
543478905,3010,73,117390,794,36064,1063,8813,310309,T
160518336,3170,82,282130,683,9617,2127,4210,309920,T
367920333,2171,359,479791,819,12544,1063,6454,310605,T
929048071,3058,97,327206,708,24042,1063,4934,310642,T
269529315,1973,1,165732,749,5443,1595,4854,309945,T
145194382,1888,2,288864,1526,6272,2659,6771,309788,T
989002362,4018,53,952266,712,12021,2659,5117,310265,F
234066825,2332,387,151580,1367,3952,2659,9070,310256,T
613121363,2220,390,397380,876,6138,1063,6835,309867,T
915944657,2263,382,307768,666,7212,2659,4755,310066,T
396883961,2169,370,461997,4063,3652,2659,8726,310183,T
544545657,2926,22,520828,1463,6127,723,3172,529110,T
483659880,4664,26,937464,1400,28851,531,6547,309899,T
195748198,2354,380,515526,861,2914,2127,4965,310376,T
790190299,2352,362,77616,2137,8742,531,7203,309980,T
569799584,2919,25,703479,2671,4579,2127,8634,310551,T
506715226,4130,45,838390,675,3952,1595,9213,310681,F
608096664,3185,71,245245,1080,6869,1595,4399,310263,T
355190654,2004,8,80160,991,3278,1595,4395,310139,T
815705243,2003,1,338507,1949,5342,1595,9208,310279,T
920248038,2337,392,345876,3561,4121,1063,8927,309879,T
639845960,3994,25,459310,1727,6010,2659,7318,309901,T
085333589,2921,17,157734,1697,3796,531,4249,310592,T
048451502,3166,81,91814,2345,4306,1595,7146,310635,T
409800721,3132,95,701568,819,6272,1595,6905,310672,T
472920226,4109,24,916307,994,3561,1595,6932,310218,F
135084321,2262,383,495378,1387,6557,1063,8588,310419,T
041275983,2260,361,560480,728,4508,1595,4340,309853,T
626238818,2242,359,139004,1001,8485,2127,8620,310696,T
697815260,3168,83,655776,586,3354,1595,9472,309802,T
779738503,2244,357,424116,812,4371,2127,6438,309709,T
180136743,2848,21,498400,763,3652,1595,4375,310248,F
335920278,2852,13,618884,1299,3952,1063,4341,310358,T
910383551,3992,25,570856,3170,3278,2659,7007,310032,T
299208322,3007,79,264616,2046,3394,531,5197,310588,T
762080482,2834,42,351416,2646,15184,531,8564,310685,T
232659593,2930,33,691480,801,10304,531,8601,310159,F
497082105,2325,392,311550,1780,13738,1595,4254,310131,T
637330708,2838,32,630036,1648,10685,531,7349,310555,T
119938397,2980,30,700300,609,5342,1595,7215,310304,F
273029542,2335,394,319895,1611,3518,1063,7372,310168,T
446936319,2995,25,449250,1464,8485,1063,6637,309741,T
761850740,2242,386,24662,1697,5657,2127,4564,310086,T
061314936,2977,13,312585,2153,5342,1595,4427,310504,T
096045174,1954,6,255974,2384,4063,2127,6745,310213,T
194998368,224,1,39648,761,4508,531,8911,310575,T
540995104,3009,80,192576,1780,3846,2659,8529,310334,T
769338844,3109,77,286028,2137,16028,2659,6563,310062,T
896533465,2999,2,743752,861,8742,1595,4207,310379,T
810257764,3060,102,651780,866,36064,1595,5231,310027,T
893971335,3072,93,322560,2202,7036,531,8765,310326,T
819381743,3085,105,558385,961,9016,1595,6676,309808,T
503513719,2334,361,140040,2153,3036,531,6499,310356,T
064463662,4609,35,1041634,771,41216,1063,6931,310254,T
121246536,3054,79,745176,654,3136,2127,4883,310399,T
828188298,2855,21,590985,1293,4306,2659,4495,310063,T
852684814,2239,365,62692,1317,8014,2659,6507,310494,T
177751992,3114,76,280260,617,3005,531,6944,310193,T
534410764,2198,361,301126,608,5245,2659,6458,310544,T
563088394,3129,78,184611,784,14425,531,4597,310703,T
541996943,4723,11,231427,625,41216,531,5192,309854,T
139633746,3132,103,682776,890,11096,531,4581,310009,T
990219698,3038,82,285572,1354,5245,1595,8660,310217,T
383003590,1880,6,88360,1792,3354,1595,5182,310171,T
359188528,2281,375,255472,2169,4121,2127,9346,310280,T
410820775,2986,31,456858,1407,3606,2659,4851,309927,T
549496692,2933,31,363692,1008,5152,531,8841,310034,T
877196751,3113,86,211684,882,24042,1595,6737,310237,T
277412554,2914,25,576972,1526,2974,2659,5152,309770,T
281436398,2829,18,452640,1707,4181,1063,4789,310025,T
631731546,184,1,39560,1227,2914,531,4434,310340,T
214709702,4020,37,655260,942,5245,2659,4272,309880,F
592197808,3179,71,731170,843,4974,2127,4876,310055,T
094668622,2881,33,507056,587,4579,531,6719,309982,F
829452007,4150,28,913000,2721,3205,2659,6643,310003,T
782029462,2956,8,443400,775,11540,531,5001,310441,F
783461991,2221,392,151028,2105,2944,1063,7020,310542,T
729296720,247,1,11609,1861,3102,1063,4379,310303,T
152351613,2297,379,275640,1265,3846,1595,6502,310107,T
666077767,1949,1,25337,613,5548,2659,4471,310393,T
674332296,3020,8,510380,3952,3394,1063,4282,310681,T
144561137,2255,364,313445,775,5443,2659,9067,310497,T
589126188,2211,393,203412,728,3005,2659,8793,310608,T
059784715,3984,32,896400,714,4063,2127,6584,310437,F
934511243,225,1,17100,1212,3241,531,4547,310468,T
945101761,1996,11,471056,1510,3316,2659,4759,310435,T
875462827,3174,71,714150,1207,20608,1063,7193,310484,T
985537821,3021,89,398772,1227,16971,2127,4465,309862,T
564162987,2328,360,265392,874,4579,1595,6497,310667,T
768207654,4080,42,966960,2097,9968,2334,5172,979273,T
384878855,2882,35,659978,719,7212,2127,8519,310022,F
989741608,3159,99,736047,2671,15184,1595,8722,310114,T
858975226,1842,12,31314,670,9617,2659,7067,309709,T
085726419,3994,54,822764,667,3069,2659,8978,309791,F
648382997,249,5,50796,786,13114,531,6783,310283,T
871769678,4764,39,528804,921,32056,1063,6813,309977,T
305677793,2221,355,328708,918,26228,1595,4721,309731,T
880213553,2173,379,182532,3394,22193,2127,9262,310679,T
663913624,3062,107,97984,674,8014,1595,4266,310497,T
191789593,1877,26,71326,1276,9016,2127,6839,309853,T
160299391,3986,38,944682,1464,5245,2127,4261,310465,T
554227088,3002,102,45030,1005,24042,531,6413,310070,T
880780094,2946,20,509658,812,3278,1595,7344,310210,F
878838649,2287,357,214978,672,20608,2127,6659,310323,T
088656884,3123,72,484065,971,9016,2659,6870,310507,T
160851118,2870,21,298480,1885,11540,531,6990,310331,T
746199260,3042,83,565812,1158,15184,2127,7171,310630,T
448016587,3189,106,698391,1270,4181,1063,4848,310024,T
414726657,4040,43,541360,3354,3170,2659,9412,310656,T
335243338,3194,93,166088,3746,4438,2127,8581,309979,T
406707208,2226,366,536466,1311,4242,1595,9327,309780,T
479434019,1889,20,315463,1317,3476,2127,4588,309702,T
611149056,3153,106,44142,796,3561,1595,8797,310618,T
942623353,1920,5,305280,964,3394,1595,9441,310047,T
510081005,2210,366,320450,801,4508,1595,4495,310046,T
456057429,1942,11,440834,1037,5770,2659,6729,309812,T
563922206,3118,97,140310,606,3698,1595,7274,310557,T
982554577,2322,364,536382,1360,5061,1595,4608,309832,T
074686348,2311,357,536152,1259,5342,2659,5231,310481,T
242049659,4725,36,236250,1187,32056,531,6357,310422,T
004883501,3164,79,325892,1097,3796,1595,4582,309694,T
965125615,2333,393,310289,691,2914,1063,6697,309951,T
617403882,1936,18,451088,812,3561,2659,9444,310086,T
