userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
705141396,2543,161,155123,584,1217,531,5133,310648,T
221352428,2891,6,268863,584,1367,531,9064,310184,F
694709390,3120,84,84240,584,636,531,4672,310371,T
176034412,2836,10,246732,584,3898,531,4399,310452,F
414605051,3117,119,274296,584,5548,531,6626,309958,T
210804228,2968,18,278992,584,1168,531,6552,309721,F
748923566,400,20,32800,584,1380,531,6907,309939,T
041535560,3029,11,251407,584,1187,531,4376,309924,F
346170120,191,18,5921,584,695,531,5152,309733,T
888533361,3005,22,297495,584,3069,531,6549,310062,F
291357608,3255,86,185535,584,705,531,7362,310435,T
110464034,2902,9,284396,584,833,531,8787,310346,F
716129468,3036,131,300564,584,609,1063,7005,310119,T
499735192,2842,15,269990,584,1012,531,7170,310340,F
121966989,2569,136,169554,584,1072,531,6982,310488,T
055517691,2826,24,262818,584,715,531,4554,310352,F
598931922,2441,368,112286,584,771,1595,4693,310476,T
419344603,2857,5,274272,584,1414,531,4642,310028,F
816308249,3275,93,160475,584,1348,1063,9179,310604,T
247333732,2893,22,283514,584,741,531,6460,310079,F
165319706,2435,418,204540,584,9617,1595,7240,309787,T
571780640,2918,14,277210,584,634,531,4407,310489,F
497818559,2238,370,96234,584,851,1595,4329,310667,T
021378934,2986,2,292628,584,1387,531,6517,310543,F
510195995,3150,92,88200,584,1052,1595,9139,310019,T
911176099,2965,7,296500,584,667,531,4214,309725,F
265760117,3175,120,231775,584,767,1063,7120,310266,T
760098048,2934,16,284598,584,1962,531,8816,310460,F
856731445,2387,382,236313,584,2003,531,9501,310492,T
137553595,3119,12,296305,584,829,531,4552,309817,F
293720984,2444,356,232180,584,597,1063,7238,309695,T
