userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
448090772,176,1,26752,588,12704,485,3091,182185,T
295339625,230,1,25300,365,2436,485,4551,181949,T
396163404,256,1,31232,786,1852,2426,3621,182822,T
000414414,2052,57,135432,387,3784,970,6597,182334,T
056455736,108,12,4968,1631,1933,1941,2916,182322,T
529115962,4835,8,236915,577,9881,485,5346,182431,T
982788412,4745,32,949000,611,9881,970,6013,181979,T
099615364,4898,37,1062866,753,11116,1941,3871,182774,T
792655952,2119,40,245804,409,2779,970,5287,182363,T
028761401,1976,47,106704,499,7733,970,3626,182464,T
627432383,4854,41,776640,1028,14821,2426,4847,182894,T
724098280,4830,17,685860,600,3014,1941,6723,182325,T
313235902,2109,59,225663,1912,9361,485,4550,182029,T
175517067,4757,42,204551,492,11116,1456,3876,182067,T
898843768,1988,23,361816,428,2403,970,2864,182364,T
896850899,4903,37,706032,889,25408,485,4915,182280,T
146068405,120,1,29400,434,3293,1941,4919,182935,T
055841532,3585,51,562845,2371,9881,1941,5004,182426,T
781549851,231,1,55671,494,2340,1941,6004,182900,T
672298396,103,1,1442,700,7410,970,3669,182076,T
049953476,2032,57,83312,573,3557,485,6813,182423,T
596389511,2101,60,39919,416,35571,2426,3289,182654,T
660057487,4809,8,485709,542,1833,970,4795,182085,T
636949781,2048,61,253952,524,22232,1456,3680,182491,T
511771688,3584,56,749056,1976,13681,1941,4432,182741,T
578492514,230,1,11040,786,9881,2426,6551,182201,T
635383654,2067,41,24804,72,272,1070,3028,25696,F
866877153,143,3,27313,1616,1778,1941,3790,182848,T
195097334,2118,39,461724,433,6352,1941,3024,182550,T
237486217,4214,22,450898,1170,11116,1941,6398,182016,T
378985340,4747,23,284820,747,5081,2426,6628,182643,T
257972861,176,14,28688,936,3557,485,4711,182404,T
443780520,2065,53,516250,496,11857,970,3648,182228,T
231479803,3557,41,850123,2117,4680,970,4653,182704,T
239739169,166,1,4482,823,14821,970,3219,182377,T
986659074,4875,32,346125,1209,4446,2426,6608,182257,T
820647415,218,9,6540,406,2117,1941,2965,182494,T
451749697,94,1,4418,403,4807,485,4491,182389,T
137673734,2022,53,268926,407,4940,1456,2987,182603,T
203348638,2002,37,140140,535,1796,970,6287,181957,T
778911562,206,1,32960,1147,3420,2426,3675,182864,T
665611647,72,1,8208,405,14821,485,4688,182371,T
327391821,3699,30,647325,2117,2340,970,6823,182056,T
106804730,4891,7,317915,783,2117,485,4683,182814,T
032513643,4756,18,960712,1616,2092,1941,6296,182090,T
481864848,232,8,57304,459,2021,1456,3600,182111,T
123519458,2003,46,244366,471,7114,485,3139,182304,T
