userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
481261555,2476,1,458060,1803,10707,396,6302,549816,T
532236193,4505,112,707285,2261,7187,1587,4781,549443,T
532002563,1729,20,114114,3669,7949,396,8490,549289,T
443146253,4660,94,843460,1410,6030,396,4077,549548,T
214643703,2563,31,428021,6726,52468,1983,4429,549210,T
881832061,1695,47,30510,1314,30863,396,6340,549176,F
316726445,2449,28,558372,1748,5962,793,6164,548907,T
458533964,1629,43,206883,7495,58298,793,4111,549131,T
664114137,1755,25,187785,1093,10707,793,4474,549056,F
058994083,2479,13,116513,2251,12201,1983,7887,549322,T
819594666,2546,24,455734,1077,104936,1983,6643,549619,T
902461141,1782,32,48114,2663,7389,396,4160,549365,T
921842548,2539,7,581431,2510,13807,1587,4147,549341,T
487075112,2618,1,89012,2636,15431,793,8199,549089,T
688216261,2558,12,429744,3407,16925,1587,8680,549843,T
338703347,1691,40,246886,1585,5895,396,3980,549180,F
547752897,2618,1,167552,3032,7604,396,8047,549656,T
226487400,2567,20,590410,1880,7831,1190,6740,548966,T
282812022,3927,36,663663,2867,11924,793,6102,549371,T
552175602,4642,114,1007314,7090,87447,793,6585,549776,T
062173968,4513,121,839418,6398,23849,396,4590,549034,T
723962450,2450,10,44100,3451,8744,793,8438,549199,T
658649558,2492,1,309008,2981,8198,1587,4121,549441,T
574989019,2448,11,548352,3341,12201,793,3974,548888,T
699420442,4513,104,956756,1388,104936,1587,4588,549648,T
573160432,2569,11,613991,1173,12797,1190,8034,549364,T
545323926,2460,8,386220,2010,6398,1983,8271,549002,T
766620127,4666,117,1115174,5829,32792,1587,4491,549713,T
451588748,2483,9,561158,4067,11924,396,6159,549607,T
449218009,2498,24,282274,1520,5829,793,6587,548931,T
658250357,2641,30,134691,1395,6246,1983,4299,549208,T
533552003,4577,90,379891,1921,5829,396,8495,549382,T
643083321,4489,100,812509,4131,16396,1587,6050,549142,T
329364668,4529,122,271740,1538,7831,396,8614,549816,T
349415511,4558,102,1034666,1160,9716,396,8850,549795,T
663521593,2478,1,210630,1529,16396,396,8932,549367,T
193981223,2581,12,358759,3341,16925,1190,8577,549018,T
297208006,2592,30,101088,1318,65585,1190,6775,549147,T
710178272,3920,38,493920,1088,20987,396,3918,549198,T
995854432,2476,7,576908,1355,13807,1190,4833,549025,T
952377181,4502,97,972432,1936,7090,1190,8787,549351,T
211735627,1823,27,178654,4484,13117,396,4623,549302,T
000696317,1717,8,130492,2311,5895,1190,4798,549151,T
800232059,2575,31,533025,1130,6398,1587,6086,549792,T
534828975,4492,103,696260,3407,5522,1587,4057,549533,T
512079357,2603,7,106723,2429,8892,1983,6448,549288,T
553444585,4621,121,203324,1406,6100,396,6213,548880,T
429684570,2485,1,178920,1341,29149,1190,8304,549126,T
269699708,3801,27,581553,2204,65585,793,4384,548955,T
341909899,4556,114,956760,1395,40360,1587,4460,549600,T
825490941,4645,119,195090,2732,5409,1587,6243,549096,T
973174371,2598,21,470238,5246,7949,1587,4130,549642,T
