userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
420666218,2585,62,160270,1384,12201,396,8866,548970,T
934868103,1728,57,93312,1384,1950,793,6723,548880,F
072213549,2687,37,204212,1384,1192,1587,6209,549541,T
762547790,1741,54,163654,1384,4562,793,4721,548872,F
736778125,2664,42,239760,1384,1499,1190,8876,548916,T
048032969,1839,24,137925,1384,1660,396,6430,549078,F
622977112,2746,63,109840,1384,2776,396,8905,549188,T
485812351,1749,30,52470,1384,3618,396,7907,549264,F
805276986,1864,25,96928,1384,1264,396,3969,549876,F
402925288,2622,8,62928,1384,1355,1190,6014,548893,T
750119133,4636,142,389424,1384,1267,793,4052,549521,T
080862163,1884,70,107388,1384,1153,396,6722,549040,F
403197199,2662,49,220946,1384,1629,1587,8237,549878,T
209743065,1912,45,59272,1384,2281,793,5901,549642,F
061234452,2568,45,228552,1384,4164,1587,6479,548895,T
598103548,1638,66,67158,1384,32792,793,4804,549289,F
285828831,4700,127,399500,1384,2663,1190,6383,549823,T
902880795,1649,54,56066,1384,1068,793,6705,549779,F
362514352,4651,124,148832,1384,7187,396,4138,549277,T
497993936,1816,57,99880,1384,1399,396,8620,549838,F
248279941,4693,115,361361,1384,87447,793,6918,549283,T
938934961,1688,36,116472,1384,2571,1190,4042,549435,F
287651933,4511,134,221039,1384,10287,1190,4516,549186,T
768570176,1673,37,95361,1384,1223,396,3945,549566,F
667648607,2656,1,169984,1384,1197,1190,8139,549862,T
236735254,1898,57,155636,1384,6903,793,6137,549684,F
373522574,2571,59,185112,1384,1860,793,6763,549421,T
714529725,1685,41,121320,1384,1566,1190,3938,549322,F
816784561,2467,26,167756,1384,30863,1983,4379,549758,T
833396043,1812,49,57984,1384,2882,1190,4953,549775,F
614337854,1850,63,57350,1384,1072,396,8462,548955,F
219223641,2671,42,101498,1384,1237,1587,6010,548922,T
676206034,2470,53,207480,1384,5895,1190,8171,549744,T
927604686,1867,49,179232,1384,1369,396,6379,549673,F
066775015,2623,49,188856,1384,2395,793,5924,549282,T
624348452,1638,9,117936,1384,2082,396,4860,549109,F
437413804,2460,40,221400,1384,3497,793,8105,549653,T
791819526,1750,70,169750,1384,15899,793,4698,549702,F
027385774,4716,120,216936,1384,4523,396,8312,549674,T
203992143,1902,66,66570,1384,2223,1190,3966,549831,F
742037427,1731,10,88281,1384,2251,1190,4341,549446,F
717244410,2503,37,217761,1384,5246,793,8324,549114,T
111423823,2476,55,155988,1384,7831,1190,8194,549836,T
277194313,1803,68,84741,1384,4684,1190,4844,549371,F
