userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
845363582,4250,465,357000,8866,9359,2228,7130,868432,T
445091735,1269,75,295677,3396,24066,1336,9605,868041,T
559995886,4164,482,79116,2116,36623,2228,4953,868194,T
561969219,4800,79,1176000,1726,19589,1782,7448,868574,T
586773831,1313,84,301990,3539,40111,1336,9244,867993,T
081782756,946,1,69058,3074,18718,445,4515,867897,T
068430583,102,1,9588,2020,17922,1336,9791,868088,T
855688723,4119,460,1009155,6632,14276,2228,5242,867817,T
646496240,3874,27,379652,4841,15041,445,7253,867713,T
220666157,1283,86,146262,2789,31197,891,6882,868288,T
015292133,1014,1,246402,4813,20055,891,4996,867838,T
439264123,4861,64,223606,4786,168468,1336,9419,867729,T
973001998,1298,57,229746,2127,64795,1782,4683,868013,T
133408988,215,7,31820,2148,10799,891,9291,868370,T
728942642,4912,58,397872,8423,13161,891,8904,867997,T
960118074,4188,450,749652,2770,14039,1782,7258,868521,T
413785682,4845,43,930240,5849,13370,1782,4860,868588,T
198058900,4161,453,70737,2441,8866,2228,9357,867769,T
654155594,4953,46,282321,4954,17922,1336,4440,868135,T
444314846,4106,470,394176,4653,46796,1336,4609,868099,T
072906620,4155,449,1026285,7138,19144,1336,6872,868005,T
894723141,1145,73,264495,4275,84234,2228,4706,867826,T
925933121,193,1,22195,3954,140390,1336,4897,867820,T
248599684,1269,55,228420,2020,12033,1336,4533,867765,T
316142324,4146,476,891390,4504,17922,1782,9107,868240,T
382862019,167,1,16700,12033,10939,1782,4637,868258,T
599905646,1138,56,52348,10027,13370,1336,5180,868095,T
563188046,4087,472,1017663,2020,15315,891,4924,867709,T
756262426,4944,82,603168,3954,10529,445,8888,867709,T
467958793,4248,453,777384,1823,27172,1782,5326,868455,T
922185073,4171,450,546401,7019,31197,445,7054,868222,T
633515856,4233,470,393669,3190,168468,1782,7573,868046,T
570491908,4184,474,297064,2734,30083,1782,9871,868134,T
785867505,4121,451,498641,2187,105292,445,5381,868687,T
962517217,4839,81,716172,2965,13808,891,6953,868452,T
179750571,3882,33,896742,3678,14777,445,7372,868382,T
608177470,4234,473,596994,2544,9359,1336,9510,868482,T
358309812,3903,29,468360,2826,17922,891,5272,867812,F
809300376,4922,44,270710,6632,10399,891,7520,868674,T
216093936,4846,60,314990,2105,16846,1336,8968,867900,T
632653881,1298,88,112926,4211,9909,891,4433,867994,T
124567144,4904,46,117696,2817,10148,2228,9358,868127,T
413605618,1239,72,214347,3396,12387,445,4730,868084,T
024297124,171,13,14706,3202,10939,1782,5223,868375,T
679731443,891,20,58806,1876,13370,445,6737,868577,T
362044495,4118,460,428272,1954,14039,2228,5383,867860,T
906760044,1152,56,24192,1823,15598,1336,9217,868508,T
004479645,4085,456,919125,1949,64795,891,9420,868309,T
823323446,4071,457,297183,4387,8961,891,7370,868588,T
241028814,80,15,13920,2826,105292,891,9661,867850,T
147672888,4192,447,192832,1715,10799,445,6887,867759,T
140464225,4877,49,1107079,9155,13586,891,9868,868451,T
044280997,3905,21,753665,3008,9057,445,4906,868533,T
600473559,4100,480,524800,2270,40111,891,9194,868506,T
288281818,4225,454,608400,1819,12387,1782,6749,868159,T
720562470,4455,51,1024650,4030,10272,891,9527,868383,F
029726518,65,1,2600,7454,22765,1782,4426,868385,T
937156058,4851,55,232848,1803,36623,1336,5148,868388,T
571178841,4918,43,1096714,4577,11863,1336,5121,868420,T
864159731,4089,480,134937,3085,11382,891,9894,868629,T
047828474,1219,86,121900,9464,22765,1782,7255,868462,T
463689137,4900,77,705600,1762,44333,1336,7219,868145,T
217212990,1247,76,266858,4297,24066,891,9912,868677,T
223296414,885,13,14160,10662,9464,891,5267,868661,T
055480536,3963,26,269484,2665,14777,891,9039,868090,F
078463273,4105,445,443340,7727,70195,2228,9690,868432,T
927416606,4895,47,230065,1871,12207,1782,9480,868617,T
864509391,4770,44,562860,1765,16198,891,9465,867916,T
661628097,4175,444,805775,2301,36623,891,6919,868349,T
427312626,955,1,56345,3329,20055,891,4432,868489,T
580775425,1193,78,244565,3424,17190,891,6965,867696,T
465316946,4118,480,74124,5890,46796,1336,4912,868657,T
864578788,4097,468,1007862,2568,11231,1336,7326,868653,T
695230123,4122,464,313272,1799,46796,1782,4913,868119,T
243637641,46,9,9430,1843,46796,1336,7367,868003,T
114645966,910,29,20020,3166,12387,445,6656,868574,T
041144736,3836,19,928312,1691,10529,445,4697,867957,F
842997839,4142,473,260946,2826,11699,445,9404,868192,T
627980499,4230,464,833310,4254,10662,1336,9858,867950,T
784989619,1320,77,319440,3143,17922,1782,9343,868274,T
682089909,4801,58,508906,2640,10799,2228,7450,867990,T
473611200,4366,237,279424,8961,19589,445,4814,868643,T
697815351,141,1,32571,3743,12033,1782,7624,868048,T
659583165,938,25,34706,5809,32397,891,5140,868277,T
128696052,55,11,6160,2441,8774,2228,4954,868331,T
918631979,4853,65,621184,6793,64795,1336,8869,868541,T
004129843,1279,86,89530,2665,24066,891,4943,867884,T
345989815,4967,61,442063,2743,11382,1782,7571,868001,T
339827775,1319,64,225549,1880,10399,1782,9233,868513,T
885258822,164,1,5412,1792,15041,1336,9298,868424,T
411916748,999,13,25974,1827,46796,445,7282,868428,T
599655740,4918,63,1195074,4069,9155,1782,4533,868032,T
317735464,1293,67,246963,2568,13161,1336,9617,867858,T
963179450,116,1,14616,1712,12387,2228,4993,868416,T
678420088,4838,50,788594,7799,9155,2228,4605,867961,T
007511242,4141,472,853046,1855,11538,1336,5064,868632,T
155077418,4253,479,731516,4602,44333,891,7683,868302,T
038518225,4175,475,254675,2282,15598,1336,9840,867997,T
092672448,1157,62,92560,1788,13370,1336,9846,868375,T
748932688,1214,84,111688,2187,20544,1336,4532,868516,T
939468628,4214,453,248626,3342,21058,891,9084,868202,T
364014766,1064,1,56392,2914,13161,445,4980,868250,T
653465408,934,26,40162,5331,16846,891,7419,867881,T
836275984,54,1,13338,3040,9057,1336,7019,868490,T
653394769,1191,52,211998,2116,17548,1782,9045,868531,T
917464648,1251,66,252702,2228,11538,1782,9465,867778,T
967222086,4228,452,105700,2176,42117,1782,7332,868535,T
732280307,4898,75,788578,2665,11863,1336,9509,868539,T
882825779,4242,471,72114,3178,15315,445,4656,867932,T
646202917,4911,60,938001,2607,15315,2228,4565,868185,T
120780599,4849,58,882518,2127,46796,1336,4792,867781,T
843495735,4270,463,452620,1691,10939,445,4766,868656,T
770745030,4965,42,729855,2386,23398,1782,5320,868015,T
815376562,4929,52,778782,2059,14039,2228,9743,868675,T
599010774,4908,80,230676,3615,16198,891,7676,867932,T
845171427,4161,464,378651,2743,15041,1782,5047,868439,T
378193206,4095,469,257985,1729,20055,1782,4748,868403,T
176736783,1272,64,35616,2205,36623,1782,5039,868112,T
373538747,4214,466,391902,4528,49549,1336,4421,868210,T
091315396,3841,13,756677,3074,12207,891,8911,868232,T
817650803,4075,451,150775,5264,13808,891,4803,868513,T
656905609,4804,65,417948,3040,140390,891,7472,867811,T
450247880,4774,67,105028,3828,32397,2228,6731,867717,T
575811225,1269,83,211923,2945,76576,891,6674,868141,T
411982708,4203,462,731322,3954,10939,891,7580,868654,T
733176338,4828,65,700060,2826,19144,1336,5321,868118,T
984217432,4204,475,54652,1884,15893,1782,4616,868258,T
108601851,4855,74,898175,3040,15893,891,6936,868329,T
817344890,37,21,2701,8508,11231,2228,4686,868116,T
602850819,4384,219,227968,2780,4955,85,552,236471,T
694639916,925,4,157250,12033,21598,445,9185,868277,T
771001571,4887,80,723276,8683,9155,891,6813,867691,T
763016939,983,2,120909,7588,10272,891,4781,867808,T
630783862,4800,53,460800,2326,14276,1782,7375,868378,T
892010498,1277,69,282217,2448,11863,445,5095,868365,T
451509398,1257,73,240087,2044,29046,2228,9186,868627,T
350760908,4141,467,666701,2780,10272,1782,9806,868569,T
012780394,107,1,24503,10148,9794,891,9092,868443,T
958876286,130,2,13780,30,149,1938,6619,14539,T
182519241,1153,79,154502,5399,9909,1336,6990,868421,T
458004298,4888,49,767416,7520,56156,1336,5239,867765,T
961064261,4148,443,796416,1855,15041,445,4650,868526,T
459976409,4151,443,763784,2904,8961,1782,8900,868329,T
173462462,1216,53,74176,4653,8774,1336,4925,867790,T
564860003,156,1,15756,3329,76576,1782,9378,868659,T
