userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
580639593,154,1,4928,1949,3743,1782,9911,867844,T
703940727,4311,225,198306,1949,5297,445,9120,868292,F
756173720,283,22,26602,1949,3382,1782,9851,868555,T
746290275,3855,52,173475,1949,9794,445,4762,868104,F
601016491,4284,487,89964,1949,2657,891,5202,868011,T
407392117,3895,23,183065,1949,5331,445,9130,868213,F
889489753,4031,46,382945,1949,7799,445,7562,868068,F
231217223,53,46,2968,1949,2674,1336,9735,867904,T
233941150,4363,496,388307,1949,23398,2228,6787,868234,T
248604477,4554,204,255024,1949,1880,445,4911,867927,F
447584473,4378,235,424666,1949,3452,445,5404,868220,F
861261693,120,15,5280,1949,6685,1782,9174,868333,T
521120332,1276,57,80388,1949,4232,1782,5362,868090,T
319652519,3907,7,375072,1949,1991,445,9291,868651,F
005267484,3802,30,216714,1949,20544,891,4541,868495,F
575482091,5022,66,205902,1949,3369,445,6919,868572,T
444452762,177,47,6549,1949,8178,2228,9191,868480,T
350629219,3994,49,383424,1949,11538,445,5236,868647,F
630905341,907,1,83444,1949,1701,891,4573,868220,T
763910467,4028,15,334324,1949,4170,445,9799,868550,F
216410296,899,12,85405,1949,1769,445,9418,867945,T
003213472,3912,64,281664,1949,3710,445,7546,867687,F
725152153,4547,250,140957,1949,9359,445,8914,867811,F
423397946,4888,48,293280,1949,1740,1782,5319,868065,T
547531318,4188,498,263844,1949,2246,445,4420,868578,T
852500803,3862,28,251030,1949,13161,445,9816,868044,F
402406024,167,51,15865,1949,24066,2228,5068,867678,T
597355419,4346,248,282490,1949,1981,891,4832,868410,F
257810705,3943,20,145891,1949,5769,445,9017,867950,F
055146679,1297,74,102463,1949,1847,891,9717,867876,T
157726527,4991,53,359352,1949,3727,891,9833,867993,T
647346815,4467,250,214416,1949,1876,891,5030,868601,F
187775262,4346,494,182532,1949,2521,891,9212,868644,T
449645846,3789,19,102303,1949,15598,891,4425,868197,F
076156767,4314,448,280410,1949,7799,1336,7455,867881,T
113105637,4014,19,357246,1949,2282,445,4681,868157,F
082878007,4294,498,120232,1949,4813,1336,7205,867957,T
926218565,4451,206,137981,1949,4925,445,7385,868081,F
381161312,4100,445,307500,1949,2691,445,9005,868066,T
724687285,4334,252,177694,1949,3178,891,5064,868532,F
530259890,4884,71,434676,1949,28078,445,9332,868557,T
799641141,4045,12,258880,1949,4129,445,9461,868665,F
095724159,31,5,2852,1949,3202,2228,5014,867879,T
864729312,3956,15,332304,1949,1835,891,4595,868484,F
629775204,128,33,5120,1949,4089,1336,5114,868676,T
289329477,4501,217,117026,1949,4602,445,6829,868411,F
191549471,213,19,19170,1949,6430,1336,8962,867831,T
549981521,4023,31,148851,1949,2914,445,4920,867688,F
933219133,4919,77,142651,1949,9155,891,7147,867914,T
208245495,4395,221,246120,1949,2743,891,4693,868147,F
775544073,4891,106,449972,1949,3040,891,4807,868109,T
078620548,4578,229,105294,1949,7872,445,4658,868449,F
224044693,4967,90,233449,1949,7019,891,6732,868400,T
384295030,3886,9,384714,1949,1888,445,5433,868074,F
845781250,4501,223,180040,1949,1871,445,4641,867857,F
169001001,162,6,11826,1949,2492,2228,5042,868447,T
051204236,4244,443,394692,1949,9909,891,7662,868424,T
663919813,3942,16,149796,1949,2914,445,9156,867780,F
656238869,269,36,6994,1949,3030,1336,9125,868480,T
495586646,3849,42,381051,1949,1708,445,9807,868227,F
824657413,1215,62,59535,1949,4954,891,6903,868200,T
271407444,4048,51,186208,1949,2568,445,5375,868362,F
028350958,4861,106,199301,1949,7138,1782,9334,867713,T
296072504,4355,224,174200,1949,2346,445,9377,868330,F
979405185,4318,468,207264,1949,2743,2228,4481,868686,T
633584724,4473,230,339948,1949,3936,445,8921,868667,F
816998587,4107,500,316239,1949,1831,2228,9507,868376,T
864003097,3981,52,378195,1949,24774,445,7512,868647,F
313605980,4166,496,199968,1949,1708,2228,4818,868595,T
906291767,4066,39,256158,1949,1751,445,7093,867868,F
490875214,199,1,15124,1949,3030,891,6958,868143,T
710674314,3878,30,360654,1949,4732,891,4961,868107,F
178379413,1139,82,60367,1949,1923,1336,7395,868204,T
798863766,4453,225,178120,1949,1851,445,4760,867798,F
339882857,1202,72,79332,1949,6685,891,5039,867680,T
055223184,4459,200,182819,1949,2307,445,9485,868637,F
945737907,4324,484,332948,1949,5849,1782,7020,868142,T
454900020,3814,54,301306,1949,2529,445,5256,868584,F
201023658,103,17,4841,1949,2965,891,9225,868358,T
190317753,3867,65,320961,1949,2252,445,9617,868511,F
189655516,4803,68,480300,1949,3108,1782,9300,868382,T
483874492,4045,67,161800,1949,2560,445,5182,867811,F
737189268,1113,9,94605,1949,3008,1336,9338,867810,T
365703402,4297,210,111722,1949,1780,445,9901,868143,F
682532946,95,4,9215,1949,4869,1336,6787,868021,T
223295389,3890,15,295640,1949,15315,445,9576,867718,F
519806059,1124,33,106780,1949,4758,891,4645,867838,T
782075370,4446,260,382356,1949,2010,445,6867,868272,F
864157290,1283,55,103923,1949,2413,1336,4485,868366,T
856948823,4441,199,266460,1949,4456,445,5446,867835,F
731708528,1344,66,98112,1949,2020,1782,4682,868578,T
688265339,4391,228,403972,1949,8683,445,6800,868663,F
375864527,4236,488,144024,1949,4410,1336,5230,867805,T
367525483,3859,21,150501,1949,3615,445,9105,867906,F
636868997,4073,70,366570,1949,1945,445,4413,868583,F
414053849,277,41,6094,1949,4049,1782,4732,868197,T
251865821,4082,483,195936,1949,8022,1782,7680,868622,T
274465147,3806,22,350152,1949,4679,445,7411,867875,F
502232517,3896,54,167528,1949,1823,445,5429,868167,F
594710497,172,32,14620,1949,1736,1782,9272,868554,T
