userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
907751586,3217,50,254143,2416,15355,798,2852,1186424,T
544166185,3252,80,416256,4454,15355,798,3829,1186247,T
997349111,4822,943,1094594,5504,36470,1597,4113,1185636,T
057846619,3209,82,612919,3740,12415,1597,2702,1186452,T
343427759,4503,61,504336,6865,13112,1997,3911,1186483,T
008771462,3259,84,267238,15355,14060,798,3360,1185657,T
256603604,3362,73,632056,2903,15156,399,2446,1186564,T
231030940,4693,936,680485,10907,30711,1198,2272,1186150,T
718003260,3220,61,241500,6593,17162,1198,2235,1185713,T
231091408,4449,91,1107801,5531,12967,1198,3122,1185985,F
898867555,4687,952,426517,5030,29924,399,2539,1186358,T
115572557,3310,63,516360,13730,24313,399,2911,1186415,T
794379503,4691,967,867835,3023,43224,399,2253,1186175,T
511470665,3366,65,605880,3269,83360,798,2576,1186338,T
539403749,3261,65,375015,6447,13414,1597,3916,1185894,T
680355031,4853,972,587213,2372,13893,1997,2007,1186519,T
089856937,4693,939,192413,6707,13112,1198,3208,1186174,T
017667657,4773,959,319791,2628,21219,399,3523,1186014,T
829657498,3194,69,453548,5531,11788,399,4130,1185871,T
746980312,4833,975,275481,3483,19132,1997,4186,1186004,T
145738555,4480,99,53760,5504,29176,399,3373,1185903,F
060777655,4861,967,947895,2493,14408,1597,1783,1185895,T
810060578,4394,89,355914,3635,68650,798,2412,1186134,F
526204739,4334,89,143022,2832,14772,1597,4017,1186152,T
647281246,3366,50,410652,2616,19450,399,3583,1185917,T
721598794,2536,26,142016,2628,29924,1997,3676,1186015,T
257205687,3309,53,512895,2605,11908,399,3260,1186498,T
408914682,4685,960,56220,5749,55573,1198,2008,1185943,T
083762148,3285,73,699705,2772,40243,1997,3374,1185716,T
353353265,4803,951,518724,7030,24313,1198,3764,1186008,T
772252538,1904,54,85680,3372,41680,399,3247,1186214,T
468645370,4353,107,1014249,7433,13414,1997,2007,1186101,T
858879787,4851,957,1125432,2338,194508,798,2586,1185988,T
687448479,2526,33,154086,3128,16913,1997,3697,1186038,T
698674227,4411,88,383757,5749,32418,1198,2032,1185599,F
289237726,4685,938,791765,8104,12031,1997,3211,1185608,T
819113710,4735,941,852300,2553,13112,1597,4019,1186442,T
845362701,4407,74,1022424,3071,12415,1198,2650,1185785,F
504143400,3258,85,185706,8518,11670,1997,3484,1186322,T
574421307,3225,75,557925,3392,43224,798,2273,1186380,T
997906674,4473,104,617274,9645,61423,798,2292,1185795,T
963021410,4370,90,139840,6668,17954,399,1655,1186302,T
351956206,4713,950,268641,3801,27140,399,2462,1186523,T
214476823,3362,76,504300,3602,22019,1997,2199,1186261,T
003966016,3321,78,454977,3039,13414,1198,2654,1185928,T
409885056,4776,957,224472,11908,34325,399,3151,1185632,T
851406882,4827,967,854379,3197,12415,1997,3898,1186364,T
315145027,4852,970,606500,5453,77803,1997,2360,1186445,T
074809381,4813,960,245463,3353,12824,798,1565,1186304,T
088667651,4295,89,652840,2605,37646,399,1644,1186016,F
770189556,4700,972,51700,2376,55573,1198,2569,1186569,T
238845109,3304,78,631064,3047,14408,1997,2074,1185894,T
862249643,3229,76,510182,3579,19780,1997,3011,1186340,T
696898955,4756,961,917908,5610,166721,1997,3288,1186228,T
048001372,3200,49,563200,3031,24313,798,1701,1185641,T
489826896,4488,81,184008,5583,16209,1597,2284,1186500,T
127139450,3275,83,167025,14588,25934,1597,1602,1186085,T
280614285,1948,65,165580,3929,25934,399,1577,1186387,T
