userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
153613896,4420,79,216580,2969,3278,1597,3659,1186579,T
169305503,4481,117,448100,2969,68650,798,1820,1186314,F
718969098,4439,101,186438,2969,2947,1597,3474,1185623,T
641864667,4341,97,199686,2969,61423,399,3884,1185962,F
854148418,4868,936,189852,2969,2954,798,2362,1185942,T
594222845,4452,98,382872,2969,55573,399,2998,1186518,F
925779587,3375,108,87750,2969,4420,1597,4025,1185650,T
739240675,4348,128,404364,2969,37646,399,4091,1185930,F
041073405,4970,1004,308140,2969,2436,798,3745,1186426,T
427901272,4425,94,433650,2969,48627,399,2599,1185917,F
862302669,4687,987,126549,2969,97254,1198,3969,1185613,T
061620530,4345,110,178145,2969,97254,399,2889,1185845,F
075749995,2054,74,141726,2969,8336,399,2558,1185916,T
557312865,4504,102,306272,2969,83360,399,2859,1185575,F
507605416,3394,114,251156,2969,3007,399,2248,1185859,T
507551850,4371,79,109275,2969,46682,399,1714,1186031,F
660167384,3199,99,73577,2969,11554,1198,2671,1185720,T
035541694,4523,109,370886,2969,36470,399,2382,1185897,F
654496769,4731,961,179778,2969,7204,1997,3748,1185787,T
790612592,4423,116,389224,2969,41680,399,2323,1185630,F
433941541,4740,1000,142200,2969,15987,1997,1651,1186272,T
403571704,4550,88,304850,2969,37646,399,3308,1185571,F
020240636,2746,17,244394,2969,5665,1997,3944,1186468,T
210892813,4352,98,369920,2969,41680,399,1821,1186458,F
829615834,4864,1004,330752,2969,3296,1198,2080,1186029,T
638054062,4332,129,242592,2969,58352,399,2795,1186173,F
162389592,4731,995,293322,2969,2499,1997,2566,1186471,T
845114436,4588,120,371628,2969,72940,798,2035,1185867,F
435719086,4387,90,438700,2969,18823,1997,3370,1186386,T
549304104,4370,126,174800,2969,37646,399,1827,1186284,F
888104855,1854,72,114948,2969,2939,798,2429,1185686,T
732180884,4487,97,403830,2969,35365,399,4187,1186098,F
931936847,4391,121,210768,2969,77803,1597,2232,1186411,T
655408820,4526,118,253456,2969,233410,399,2411,1186255,F
297894632,1959,38,137130,2969,2652,399,1768,1186344,T
489023124,4436,133,323828,2969,97254,798,1703,1185650,F
508071525,4798,1005,95960,2969,2733,1198,2228,1186478,T
470158115,4544,134,218112,2969,33344,399,3687,1185662,F
526694787,4810,968,379990,2969,9566,1198,2480,1186353,T
062073446,4441,81,199845,2969,58352,399,3018,1186038,F
660772395,4973,967,283461,2969,8581,798,3011,1185944,T
027044874,4453,105,387411,2969,55573,399,2845,1186073,F
610403963,3308,108,178632,2969,4471,1198,3408,1185634,T
202759390,4326,83,177366,2969,33344,399,3328,1185740,F
198655687,3332,54,163268,2969,36470,1198,2758,1186062,T
