userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
518055895,4986,8,1037088,709,5901,529,1901,324009,T
522748064,3998,38,511744,1074,16719,2118,2128,323733,T
178851661,4865,9,812455,609,3582,529,2051,323867,T
913874378,1448,8,65160,1041,3039,1589,1599,324004,T
410657848,5006,35,1046254,1131,4630,1059,2059,323521,T
048766425,1465,16,316440,980,6403,2118,2128,323144,T
761685056,4826,39,907288,1559,11146,2118,2128,323353,T
547147072,3981,116,421986,1233,4425,1059,3112,323998,T
563291163,4448,39,538208,699,3167,2118,2128,323512,T
990667690,1405,1,115210,1337,8134,1589,1831,323677,T
220078875,4910,9,1129300,785,6687,1589,1845,323547,T
785394763,4997,35,589646,1094,4012,2118,2931,324028,T
443856452,1434,8,107550,3959,18809,529,1884,323530,T
198558035,4057,140,519296,709,37619,2118,3042,323321,T
658636775,1413,25,26847,796,33439,2118,2622,323682,T
972681124,2100,24,220500,1626,15047,2118,2128,323757,T
723661396,4812,47,668868,761,14331,2648,2657,323731,T
840278598,1322,1,215486,2407,4012,2648,2658,323886,T
667722430,4000,129,396000,1468,9708,1059,1524,323208,T
370732271,4841,8,1127953,3670,6403,2118,2515,323806,T
339569706,1401,17,210150,2134,42994,1589,1599,323663,T
422442228,4541,18,86279,1023,4361,1059,1128,323804,T
685830410,4085,133,808830,1644,10377,1589,2791,323508,T
938467917,4038,123,468408,650,6019,1589,1599,323610,T
192787089,1327,15,222936,718,6839,1589,1599,323784,T
757398414,2137,39,294906,1439,5374,1589,2367,323972,T
170251563,4080,123,497760,1086,9119,1059,1939,323287,T
089683321,1391,9,75114,1016,6839,1589,3086,323482,T
578892005,1300,1,293800,1074,4361,2648,2658,323091,T
904012759,4083,127,526707,737,6269,529,2928,323970,T
469975792,4025,108,986125,1439,10377,2648,2658,323785,T
839949636,4069,113,703937,1102,3236,2118,2544,323430,T
500084074,2251,39,470459,893,20063,529,1512,323342,F
130373644,3999,128,163959,961,3670,1589,1599,323435,T
895611787,4832,23,425216,2427,6019,1589,1599,323822,T
226500158,1404,4,283608,1535,7340,2118,2128,323768,T
951230428,4135,139,194345,706,6269,2118,2354,323093,T
929537273,2078,39,214034,2351,4361,2118,2882,323374,T
668485748,1386,26,158004,887,3858,2118,2128,323070,T
526073773,4553,22,368793,750,5678,2118,2232,323435,T
664122977,4934,47,878252,652,20063,529,1704,323951,T
691070592,4081,140,669284,822,3236,2648,2658,323787,T
351148579,4810,12,836940,1393,4067,1589,2214,323771,T
153230945,4548,45,281976,833,4854,1059,1642,323962,T
637227346,4004,28,880880,1037,10031,2648,3058,323491,T
831102694,4098,141,53274,688,7523,1059,2162,323404,T
461377638,1432,17,143200,2617,4559,1589,1599,323085,T
599374097,4966,22,655512,2104,6269,2648,2658,323992,T
505024227,4005,123,712890,1709,13085,1589,1804,323654,T
301515292,2073,22,151329,1504,3858,1059,1942,323233,T
287956819,5000,10,625000,1034,4067,2118,2693,323606,T
656480785,4041,126,630396,996,11146,1589,2220,323207,T
912745310,1483,1,183892,2761,8359,2118,2128,323486,T
263420936,1339,11,141934,1013,4702,1059,1858,323840,T
109962414,5008,25,240384,2786,9119,529,1811,323436,T
652504995,4131,118,681615,677,6019,1059,2274,323912,T
504372821,4832,47,1024384,943,12038,2648,2658,323134,T
723718551,2069,22,372420,2572,7716,2118,2796,323139,T
282496899,1436,1,31592,1504,25079,529,1818,323452,T
116735838,2059,43,298555,2529,8598,529,1853,323639,T
088978283,1394,10,342924,1446,4238,529,2003,323297,T
496522475,1317,5,325299,943,4012,1589,1599,323324,T
990413781,1397,1,79629,1157,14331,1589,2335,323329,T
969972375,1326,7,251940,850,42994,2118,2128,323431,T
909682008,3998,128,963518,967,25079,1589,2584,323940,T
539175565,1358,30,48888,1144,17703,1589,2696,323553,T
232089378,4932,16,725004,765,8598,1059,3024,323321,T
172802479,4538,22,422034,928,4854,1059,2018,323618,T
394917718,4043,111,299182,737,3071,529,2232,323681,T
523735180,4068,123,939708,1770,3761,1589,1599,323065,T
895357475,1366,7,106548,1374,5279,2648,2658,323884,T
878470564,5002,20,925370,752,20063,2118,2128,323273,T
060529134,4016,135,433728,1609,8134,2118,2128,323691,T
247389771,4121,124,811837,2617,4425,2648,2658,323350,T
316363931,2088,33,522000,615,18809,529,2139,323595,F
959457361,1335,6,157530,2572,7340,2118,2849,323356,T
083763094,4053,125,1001091,964,3626,2648,2658,323550,T
009932177,1338,1,331824,606,4122,1589,2417,323827,T
155401109,4052,43,364680,3761,7919,2648,2997,323158,T
963485612,1343,9,22831,1086,37619,1059,1241,324059,T
209940720,4140,124,960480,1037,37619,2648,2658,323729,T
298058597,1360,17,80240,628,6839,1059,1820,323702,T
001187542,1297,12,211411,644,3071,1059,1215,323380,T
458688966,4572,30,214884,1280,5015,2648,2658,323979,T
035121482,2121,22,139986,1979,3236,1589,2014,323233,T
332128945,1329,1,253839,1063,33439,2648,2658,323252,T
469573172,4029,110,92667,752,6403,529,2004,323507,T
278594098,1484,5,142464,741,8851,1059,1781,323209,T
173975099,4517,23,112925,901,20063,529,2509,323247,T
157916071,2131,29,398497,4299,3419,1059,3094,323197,T
864761605,4149,108,892035,3540,9404,1589,2010,323278,T
142054230,3895,40,969855,2466,4299,1059,3054,323676,T
399329266,1362,1,262866,2979,3009,529,3100,323550,T
990328426,4899,22,1205154,1916,4854,2118,2128,323142,T
921524980,3969,124,87318,3959,12038,1589,2252,323911,T
441615868,4467,26,674517,664,3307,1059,1805,323797,T
507072695,4964,12,397120,1086,37619,529,1982,323708,T
085116527,4016,136,381520,852,16719,1059,1382,323630,T
207184158,4051,124,591446,2180,3761,1059,1379,323764,T
505550054,1291,14,101989,977,12038,1589,2312,323649,T
205027648,1480,1,125800,1349,5678,2648,2658,323249,T
191676214,4080,140,909840,1189,5678,2648,2658,323612,T
977157230,1391,12,294892,2061,4012,2118,2128,323581,T
854335666,4438,29,93198,730,3307,2648,2658,323191,T
825164070,4490,23,588190,606,4491,1589,2229,323143,T
005613348,4888,29,659880,3167,4122,529,1510,323445,T
774232125,1347,6,103719,673,3908,529,2653,323460,T
799741542,3961,32,194089,3858,10748,2648,3107,323926,T
822838647,1297,1,226975,640,16719,1589,1599,323449,T
281684014,4863,12,671094,1916,18809,1589,1878,324032,T
491754337,2083,24,435347,2369,8134,2118,2557,323522,T
526782610,2241,40,150147,1739,3134,1589,3095,323634,T
886544880,4164,119,612108,3959,21497,1589,1599,323429,T
475050958,4023,146,768393,783,3809,1059,1767,323653,T
432984232,4994,31,1058728,1135,13679,529,1095,323536,T
912056454,1417,20,38259,1233,10031,1059,2250,323069,T
289323499,1418,21,175832,662,8134,529,2559,323768,T
888853733,2169,18,392589,1374,3715,529,2637,323180,T
617319562,1379,23,117215,937,5015,529,2310,323944,T
617252210,2073,13,404235,2315,14331,529,1424,323508,T
602814316,4881,24,571077,1857,3626,1059,1502,323815,T
203608227,4111,116,571429,2061,3071,2648,2658,323777,T
391384749,4864,14,700416,4012,3858,1059,3047,323427,T
423121019,4084,141,808632,1453,4179,2118,2128,323918,T
248927081,4127,116,45397,983,10748,2118,2394,323841,T
975537391,4165,125,683060,601,13085,2648,2983,323881,T
243034077,4105,119,123150,983,5573,1059,2285,323348,T
586885661,3975,107,369675,1139,3670,1589,1599,323662,T
982779546,1335,3,248310,737,4238,529,1194,323524,T
940521742,2108,48,172856,2735,6839,1059,2097,323360,T
036506783,2159,29,505206,1941,7919,1059,1784,323444,T
539216364,3989,133,327098,682,4012,529,2333,323917,T
314488482,3970,129,579620,817,37619,1589,1859,324049,T
956815549,4019,116,180855,1223,27359,529,2535,324061,T
507193646,2217,33,46557,779,6542,1589,1599,323516,F
626302644,1450,1,362500,926,6142,2118,2128,323318,T
350371333,2057,44,117249,2466,20063,1589,1703,323413,T
719421318,2137,38,269262,1559,3167,1059,1894,323795,T
216064374,4026,124,833382,850,4361,1589,2232,323911,T
789921546,4950,28,1202850,2427,3343,2118,2409,323507,T
649768296,2124,38,318600,1218,12038,2118,2128,324029,F
998803285,4056,112,40560,1355,4122,1589,1599,323522,T
215014330,2183,40,222666,2006,16719,2648,2658,323132,T
207815244,4080,121,159120,815,7523,1059,1798,323146,T
676743113,4121,141,708812,619,4179,2118,2215,323519,T
238362838,4827,43,593721,706,10748,1059,1474,323168,T
540003720,4082,138,118378,1106,8359,529,3045,323395,T
634689518,2191,43,278257,3582,60191,1589,1693,323452,T
809226389,4163,119,765992,895,5787,2118,2128,323590,T
261042232,4865,16,919485,2297,4361,2118,2128,323940,T
708995376,5006,36,1111332,817,3809,529,2007,323098,T
201524559,4110,147,57540,973,3009,2118,2128,323296,T
675426940,4148,111,170068,1248,4238,529,2011,323062,T
155868395,4495,37,274195,852,3071,1059,1592,324039,T
232401853,1390,14,132050,1504,4777,529,2143,323481,T
535672774,4976,33,154256,1559,15839,1589,2777,323357,T
943087175,4141,146,629432,3761,5901,529,2351,323293,T
414999408,4942,42,672112,1248,3626,529,1863,323741,T
204686964,4895,16,1072005,628,7716,2648,2658,323192,T
592829784,4150,120,672300,1355,3343,2648,2658,323155,T
193293540,2178,14,424710,1102,3582,1589,1853,323529,F
441903528,4964,40,670140,3959,12038,1589,2331,323858,T
792705150,2182,19,346938,914,3009,529,1597,323780,F
363352576,4971,46,681027,644,15047,1059,2190,323568,T
006396953,3992,42,415168,1301,37742,1048,4618,454553,F
611214577,2198,24,189028,1131,13679,1589,1651,323887,F
050102879,1483,1,249144,2297,20063,1059,1832,323058,T
871902736,2130,30,385530,806,9119,2118,2128,323170,F
414523922,5002,19,120048,2427,8851,2118,2128,323831,T
133629837,1427,22,64215,741,6019,2648,2658,323780,T
886525573,4010,131,693730,693,50159,1059,1866,323205,T
927028427,1484,1,77168,838,3236,1589,2446,323401,T
831187505,4571,35,169127,723,4299,1589,1814,323851,T
942862760,4916,36,599752,667,10377,1589,1599,323107,T
080065809,4074,136,329994,2979,6542,2118,2128,323291,T
165652265,4012,142,220660,2165,3626,2118,2455,323371,T
164239183,1301,1,176936,708,3715,2118,2557,323212,T
636983374,1324,1,259504,739,3343,529,1560,323589,T
153537039,4544,32,113600,1048,15047,1589,2662,323651,T
286966221,2083,48,406185,1078,6839,1059,2581,323241,F
944378891,1426,1,151156,1175,5901,1059,2771,323465,T
006509252,4126,146,1010870,2196,7165,1059,1770,323611,T
254497655,4947,37,633216,769,8851,529,3093,323241,T
207433318,1353,9,330132,820,14331,529,1804,323528,T
051121509,4856,42,1034328,636,9119,2648,2658,323306,T
751097726,4099,116,418098,688,3343,2648,2658,323611,T
305050114,4418,17,212064,1020,33439,529,1373,323941,T
611711624,3973,145,675410,864,7716,2648,2658,323265,T
799499645,2216,36,372288,787,3071,1059,1128,323330,F
709250524,2196,40,454572,2006,4559,529,1774,323901,T
657067711,1441,1,201740,980,10377,2648,2658,323476,T
257295877,2078,21,168318,2893,6839,529,2082,323845,T
943328383,1299,3,109116,847,4559,2118,2893,323538,T
854337836,4813,48,572747,779,10377,1059,1771,323769,T
786392244,4541,8,59033,3271,6142,1589,1599,323696,T
482036285,1420,1,82360,917,3009,2118,2128,323473,T
853404578,4843,13,1210750,2594,5015,1059,1728,323522,T
201233693,4137,109,1013565,2245,11575,1059,1796,323653,T
548733243,1368,17,132696,869,3271,2648,2658,323167,T
978178433,4094,120,663228,3715,13679,2118,2680,323441,T
965430386,1289,23,237176,1308,25079,1589,1599,323623,T
260763562,1462,2,282166,701,10748,2648,2658,323858,T
623825090,1457,1,278287,1583,3102,529,2272,323177,T
260223335,3988,116,275172,1090,6687,1589,2549,323942,T
678960526,1421,31,133574,761,5787,1589,2504,323346,T
541484893,4990,9,958080,2006,4122,529,2400,323702,T
617867397,3973,134,949547,655,6687,1589,2495,323978,T
529912622,2084,33,489740,2594,4777,2118,2165,323181,T
783427830,4030,132,253890,1157,60191,2118,2128,323918,T
323297452,4101,122,926826,2229,3540,2648,2658,323704,T
182953669,4890,23,464550,989,4425,2118,2128,323510,T
626187360,4992,14,738816,604,13679,1589,1599,323859,T
437049036,1347,10,36369,822,6019,1589,2030,323379,T
296953918,4954,47,1223638,775,10377,529,2476,324056,T
632388007,3976,109,552664,767,21497,2648,2658,323861,T
778500389,4050,136,874800,783,3102,1589,2281,323378,T
449836013,4955,38,545050,655,13085,2118,2128,323354,T
093326491,1323,1,146853,719,7716,1589,2629,323516,T
849924490,1475,13,126850,3009,37619,2648,2658,324016,T
867912210,4084,141,216452,1892,11146,2118,2717,324014,T
895856511,4856,26,903216,665,8598,529,1226,323734,T
