userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
920460136,2306,59,117606,611,21497,1589,1094,323390,F
105151020,1349,1,80940,611,13679,1589,2372,323752,T
464976221,4513,22,112825,611,2061,1589,2233,323409,T
801294285,2267,39,145088,611,695,2648,1190,324054,F
813241390,1302,44,118482,611,824,1059,1558,323416,T
230437152,2350,38,136300,611,789,2648,1262,323664,F
462978207,3997,165,291781,611,1527,1059,1951,323614,T
341116765,2259,79,81324,611,906,2648,1539,323856,F
490072089,4403,56,154105,611,2950,1589,1213,323756,T
220802720,2329,60,79186,611,1813,2118,1532,323395,F
473554925,1580,46,158000,611,7919,2118,1591,323625,T
885273540,2291,71,96222,611,14331,1589,1062,323863,F
970868755,4488,43,166056,611,1519,2118,1583,323191,T
088561883,2310,63,164010,611,895,2648,1072,324027,F
645049389,4199,132,167960,611,1052,529,2652,323692,T
542218498,2331,43,79254,611,670,1589,1280,323320,F
962359439,4114,147,143990,611,1144,529,1470,323490,T
931829485,2076,40,87192,611,1662,529,1268,323801,F
219580922,4257,110,387387,611,1846,1059,1751,323187,T
091344105,2319,46,180882,611,2507,1059,1232,323403,F
101234610,4417,29,225267,611,769,2648,2374,323930,T
957746747,2102,64,126120,611,1275,529,1039,323759,F
980273592,4571,46,365680,611,674,1059,2158,323263,T
531969924,2228,75,164872,611,3499,1589,1398,323273,F
759922396,4158,108,187110,611,611,529,3085,323589,T
464519841,2204,79,123424,611,2711,1589,1353,323647,F
516130127,1303,37,104240,611,1157,1589,2789,323215,T
237186686,2083,72,85403,611,8359,1059,1464,323201,F
143661805,1410,1,38070,611,777,1589,1627,323848,T
348676459,2123,60,137995,611,920,529,1020,323143,F
697326121,4226,135,215526,611,655,2118,1591,323416,T
726909084,2086,32,50064,611,1153,529,1291,323320,F
216845870,3979,117,167118,611,8359,2118,1716,323659,T
942929338,2333,80,200638,611,949,1059,1227,323173,F
046611856,1554,60,122766,611,690,1589,2678,323716,T
522711158,2340,72,203580,611,629,529,1413,323518,F
233543564,1471,49,95615,611,1729,2648,2631,323454,T
201118449,2317,39,169141,611,949,2118,1428,323811,F
296070212,1383,1,113406,611,864,529,2434,323699,T
916809549,2127,46,89334,611,1027,529,1302,323485,F
921143366,1369,40,90354,611,4122,2648,2782,323483,T
565796926,2128,34,106400,611,2134,529,1118,323305,F
883411098,1551,60,38775,611,3271,1589,1549,323678,T
326589111,2248,74,69688,611,2572,2648,1329,323613,F
296774437,3976,108,242536,611,746,1059,1947,323194,T
926264780,2193,40,162282,611,1770,529,1090,323815,F
846968433,4184,152,158992,611,1098,1059,2276,323412,T
450523172,2095,68,144555,611,1361,529,1054,323899,F
335237690,4223,107,152028,611,928,2648,2880,323158,T
229952915,2120,45,99640,611,920,529,1554,324019,F
220910669,4165,119,408170,611,2262,2118,2067,323299,T
871504720,2095,33,167600,611,1892,529,1494,323552,F
741605099,1413,55,40977,611,758,1059,2416,323903,T
639172421,2316,71,148224,611,641,1589,1306,323606,F
132951331,1555,29,71530,611,750,2118,2920,323377,T
761198682,2095,68,85895,611,934,529,1441,324020,F
006237024,4660,60,447360,611,4630,1589,1393,323392,T
827455315,2263,72,88257,611,2104,1589,1421,323865,F
984812839,4578,23,297570,611,3715,2118,1051,323155,T
406241728,2191,44,127078,611,909,2648,1191,323604,F
254220251,4104,127,357048,611,781,529,2785,323776,T
267838329,2136,55,74760,611,636,529,1290,323322,F
256775634,1340,22,129980,611,1086,2648,2989,323455,T
864983781,2238,38,156660,611,1199,1589,1506,323800,F
259046621,1566,25,31320,611,4299,1059,1698,323422,T
379240571,2332,46,184228,611,708,529,1210,323689,F
606423623,1367,60,95690,611,15839,2648,1535,323673,T
377987231,2180,75,137340,611,1892,2118,1342,323776,F
096814383,1550,1,127100,611,1941,529,1596,323830,T
173701525,2129,39,195868,611,1184,529,1030,323711,F
003524659,1527,17,77877,611,8359,2648,2551,323196,T
337548157,2208,42,123648,611,33439,2648,1631,323709,F
805031664,4687,7,332777,611,857,1059,1205,323709,T
035690553,2144,66,190816,611,16719,2118,1508,324009,F
574149120,4058,163,89276,611,1013,1589,2643,323370,T
732055063,2331,40,172494,611,1016,1589,1298,324039,F
776159760,3968,173,206336,611,765,1059,2295,323549,T
625326786,2277,27,70587,611,815,529,1451,323602,F
101389902,1448,13,76744,611,652,2118,1580,323445,T
446232965,2310,74,191730,611,665,1059,1532,323246,F
230032619,4208,154,420800,611,603,1059,1265,323552,T
665196876,2279,72,123066,611,1016,529,1341,323277,F
733693706,1519,1,92659,611,973,1059,1943,323455,T
157429473,2154,65,180936,611,833,1589,1041,323361,F
319358807,1426,24,68448,611,1609,529,2297,323265,T
228261538,2259,56,45180,611,2297,2648,1167,323315,F
951036926,4539,42,317730,611,1114,2118,1249,323851,T
117985950,2115,40,63450,611,4702,1059,1084,323511,F
712037376,4589,15,146848,611,664,2118,1622,323097,T
895018208,2189,47,65670,611,5787,1589,1621,323842,F
844590600,3977,23,194873,611,60191,2648,2354,323314,T
787892513,2247,55,164031,611,5787,529,1640,323328,F
735385955,1301,35,101478,611,3459,1059,2277,323473,T
394272791,2217,56,181794,611,611,1059,1303,323925,F
870337253,4097,108,217141,611,4777,1589,1962,323905,T
068633933,2179,73,104592,611,5901,1589,1588,323834,F
273010344,4630,20,463000,611,4067,2648,2007,323933,T
891995823,2092,70,94140,611,4630,1059,1421,323493,F
925508513,1548,44,123840,611,822,529,2192,323301,T
880513970,2262,65,128934,611,10748,1059,1661,323612,F
