userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
444368528,4560,40,893760,1706,12450,1304,4862,453494,T
072924455,1634,30,81700,894,12827,434,6473,453371,T
756928532,2522,53,136188,1017,7558,434,8939,453014,T
965536498,1103,1,161038,1306,10853,1739,4745,452683,T
740634365,3968,289,321408,1322,21165,434,9543,452688,F
079085520,4514,12,591334,874,6614,1304,9580,453127,T
893740113,1041,7,82239,3281,11139,1304,6547,453442,T
861503282,4521,38,122067,1864,9844,1739,4727,453262,T
370113262,2518,39,339930,1052,9006,869,8910,453116,T
468880285,4393,29,281152,1343,6827,869,4770,452650,T
813462960,1518,31,221628,1647,4865,869,5313,452798,T
737958171,4338,85,655038,3498,52912,869,9023,453389,T
953257166,2536,41,628928,2095,23516,1739,5043,452786,T
866813943,2425,54,50925,962,4319,1304,8786,452849,T
885252029,4489,40,920245,979,5644,1304,6773,453263,T
268107983,4013,286,469521,2246,33537,224,957,505298,T
949064028,1018,1,190366,885,4363,869,9505,453279,T
581455886,4774,82,1021636,5291,4503,1304,4839,452888,T
126209816,2489,36,550069,991,16932,434,7010,452705,T
122331411,2535,40,32955,883,5798,1304,6731,453091,T
069383184,1572,47,138336,860,6939,434,4946,453195,T
388178910,4765,78,995885,1585,4756,434,4433,453515,T
436288054,2469,45,158016,953,4551,2173,9612,452591,T
449869954,3969,270,936684,2338,8638,1739,4605,453023,T
091011791,1664,40,366080,3813,5798,1304,5131,452853,T
257045462,3998,269,727636,860,11139,1304,4681,453533,F
349138634,1614,45,196908,848,8638,434,6905,452821,T
724351051,1165,20,198050,1017,5497,869,9193,452885,T
044524627,4030,267,40300,1090,6413,434,7350,452764,F
818149004,4460,38,611020,880,4980,1304,7487,452956,T
267414367,1086,1,14118,1058,5720,1739,8863,452576,T
175758984,1171,3,59721,1241,12450,869,4828,452747,T
112229296,3974,290,401374,1037,17637,434,8904,452888,F
232306366,2459,42,435243,1801,4409,1304,6575,453454,T
432017501,1067,24,168586,1134,5100,434,9568,453459,T
012062368,1653,47,396720,3158,6939,1739,4493,452949,T
969667019,1068,9,36312,3746,5039,1739,5320,453414,T
646128034,2504,40,463240,986,32561,2173,7150,452774,T
010678299,1559,52,310241,3002,4551,1304,6892,453113,T
224262901,4299,109,550272,1734,10582,2173,8744,453428,T
494264554,4461,30,196284,4810,11440,1304,6543,453537,T
805041729,4429,115,597915,908,22278,2173,9377,452630,F
529614160,4013,269,662145,2679,10582,1739,5290,452637,T
438251777,4036,289,665940,986,12450,869,6651,453535,F
331229050,4059,304,742797,865,19240,869,4436,452594,F
835151110,4081,276,473396,1793,8638,434,4382,453021,T
