userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
728318930,1789,70,128808,1042,1040,434,5282,453527,T
326561136,3918,278,325194,1042,1397,434,6857,453115,F
587242343,1709,86,66651,1042,2227,434,7236,452790,T
671788424,4060,323,194880,1042,936,434,6584,452735,F
057395436,1225,35,41650,1042,962,869,7316,452710,T
683043026,4189,331,83780,1042,2170,434,9018,453536,F
527375515,1216,50,80256,1042,2939,1304,4461,452666,T
922235700,4006,334,136204,1042,16280,434,9485,452815,F
441250712,4491,72,193113,1042,1090,869,7345,452645,T
282544927,3929,292,290746,1042,30235,869,4846,453521,F
344627242,4531,56,231081,1042,2204,1304,4322,452625,T
920462135,4088,331,114464,1042,1369,434,9304,453278,F
611981091,4529,75,407610,1042,1037,869,4481,452995,T
785032916,4035,335,193680,1042,1052,434,6472,453365,F
003731707,2664,85,237096,1042,1673,1304,9010,453493,T
864411828,3964,273,162524,1042,5644,434,7470,452694,F
081489557,2584,78,237728,1042,1063,1739,5253,453243,T
468858026,4149,279,232344,1042,5798,434,4639,453316,F
964480747,1162,1,39508,1042,3333,434,6865,453125,T
028418472,4186,287,401856,1042,1093,434,9504,453050,F
943680584,1085,1,42315,1042,6614,1304,7284,453533,T
393610575,4108,328,205400,1042,1640,434,4905,453146,F
385035275,1697,24,142548,1042,2939,434,5277,452977,T
816052615,4096,278,122880,1042,1579,434,5073,452885,F
150697842,1117,1,79307,1042,5039,1739,7257,452769,T
845125584,4024,307,144864,1042,47033,434,4724,453426,F
965038047,4499,39,125972,1042,2391,434,8914,453084,T
473026079,4151,266,195097,1042,22278,434,8923,452772,F
052279134,2536,76,213024,1042,4150,1739,4492,453216,T
964184025,4091,300,253642,1042,1430,434,4601,452672,F
310218781,1241,32,50881,1042,1156,434,4617,452622,T
697382142,4048,284,388608,1042,2227,434,4891,453147,F
345181674,1215,2,35235,1042,13228,1739,4392,452585,T
894992348,4210,270,84200,1042,1000,434,9376,452962,F
117821038,4073,327,114044,1042,3746,434,5097,452656,F
802847979,4582,16,137460,1042,1306,869,6511,452887,T
308609126,2650,61,257050,1042,5497,869,8899,452837,T
616836168,4009,331,304684,1042,52912,1304,9014,453438,F
424266024,1192,50,54832,1042,1042,1304,7087,453420,T
897722682,3971,310,83391,1042,19240,869,4553,453107,F
874705246,4186,276,267904,1042,1185,434,7408,453012,F
309931775,1072,42,26800,1042,1042,869,9325,453516,T
329668488,4535,72,340125,1042,2766,1304,9626,452681,T
384904621,4110,310,123300,1042,2148,434,8704,452615,F
603960393,1193,52,100212,1042,1444,869,4326,452616,T
881886054,4152,296,128712,1042,2015,434,9246,453435,F
481575339,1077,55,50619,1042,2432,434,9539,453206,T
894459614,4154,285,245086,1042,28220,434,5189,453107,F
406837754,4106,303,123180,1042,16932,434,6611,452843,F
780844284,1220,37,108580,1042,928,1304,8697,453461,T
375779995,4474,47,138694,1042,1318,1304,9123,452571,T
442206724,3994,288,135796,1042,2596,434,4706,452711,F
618791401,1189,1,54694,1042,1111,869,6746,452711,T
762035676,3954,322,118620,1042,1528,434,8678,452649,F
358386061,2427,17,191733,1042,2216,1304,7098,452667,T
675117167,4126,269,292946,1042,24900,869,9309,453177,F
378673771,4530,81,117780,1042,930,1739,4476,453423,T
035056502,4034,278,258176,1042,47033,1304,9372,452612,F
412181197,3935,328,326605,1042,2015,434,4637,452755,F
719244806,2567,57,69309,1042,7426,2173,4523,453321,T
729578083,1030,29,38110,1042,5879,1304,8886,452718,T
