userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
361708634,2114,18,88788,4700,47008,1882,5875,670839,T
577914767,2234,14,384248,2246,50624,2353,5975,670906,T
359135918,2853,38,459333,1440,7076,470,3961,670047,F
676952894,2153,1,505955,1459,43874,1412,8094,670021,T
699421587,2156,9,286748,4700,6927,470,8242,670445,T
683842891,4393,28,320689,3290,6784,1882,4048,670406,T
966455354,4520,27,804560,2367,59829,941,6528,670673,T
091679680,4432,54,296944,3576,17318,1882,6444,670263,T
412671688,4477,44,658119,1424,10446,1882,8524,670237,T
054078330,4432,59,939584,3018,9678,2353,6033,670429,T
733979366,4547,39,272820,1512,14957,470,8343,670229,T
367861366,2186,25,406596,1376,23504,1882,3921,670962,T
287094141,2776,47,480248,1601,12656,470,6564,670163,F
193194810,2140,6,318860,4477,29914,2353,5847,670049,T
968951180,2927,24,556130,3616,6784,470,6559,669980,T
086987452,4394,48,580008,1941,6715,1412,6447,670433,T
960895100,4527,29,339525,4387,38712,1412,6165,670213,T
444266171,2089,1,77293,1475,23504,1882,4006,670964,T
980073314,2209,18,143585,2095,14957,941,8478,670019,T
093296181,4489,59,157115,2964,50624,2353,4701,670886,T
722570179,2122,6,411668,1427,8124,2353,4151,670316,T
492754036,2208,18,267168,2261,14306,1882,8029,670964,T
233624969,2923,42,610907,2238,12187,941,4119,669980,F
003814427,2280,15,127680,1570,8659,470,7618,670666,T
600359137,4412,62,922108,1526,43874,941,7943,670010,T
440994981,4516,62,144512,1502,18281,941,3784,670481,T
054096104,2115,27,156510,1582,9140,470,7670,670036,T
610625964,4540,50,935240,1424,29914,2353,3777,670018,T
709827579,2929,35,553581,2043,21229,1412,3738,670064,F
702532959,2204,31,539980,1700,10968,941,3792,670768,T
163150399,2906,37,374874,3427,12187,470,6572,670112,T
229474986,2148,19,105252,1649,21229,941,4099,670418,T
507504960,4547,31,500170,1382,7232,2353,8048,670234,T
033626392,2146,33,113738,4570,26324,941,4576,670972,T
939637242,2181,28,348960,6328,7312,1412,7596,670854,T
431255509,2192,5,184128,2419,59829,1412,4364,670644,T
407897486,2357,12,261627,2725,3397,98,415,268654,F
376667320,2922,50,701280,3538,10124,941,4734,670574,T
431836647,2160,32,86400,1683,11752,1412,5723,670729,T
882031647,4398,49,831222,8025,27421,470,6430,670726,T
612008666,4526,24,959512,2253,9015,1882,7876,670202,T
163475992,2171,1,80327,1641,13431,2353,7829,670943,T
538890077,4552,53,364160,4700,18281,2353,3749,670895,T
465944131,2157,10,483168,1947,6647,470,3994,670723,T
229920721,4461,25,481788,8893,6927,2353,5853,670548,T
301751896,4543,59,685993,2765,6581,1882,4120,670351,T
280296128,4405,57,488955,6715,50624,941,4346,670246,T
183461807,4549,50,536782,2800,17318,2353,6395,670283,T
839911011,2927,47,412707,7312,13710,941,4684,670259,T
092182696,4520,56,723200,1509,15305,2353,5885,670591,T
840750030,2796,54,173352,2393,23504,941,6228,670792,F
465754986,4429,43,221450,2143,7564,1882,8119,670683,T
061730146,2214,1,460512,2836,11154,470,5823,670475,T
330041047,4464,28,807984,2150,9537,470,7911,670922,T
081048402,2266,1,99704,1885,27421,1412,4201,670480,T
566861870,4432,37,966176,5982,17787,470,8369,670757,T
320189177,4401,33,585333,2157,29914,1882,4261,670108,T
879715972,4506,42,243324,1605,34637,1882,6094,670578,T
626868991,2249,7,445302,6328,18803,1882,7501,670720,T
068335587,2283,23,333318,1838,13431,941,7787,670881,T
531280379,4419,55,870543,4768,9015,1882,5631,670883,T
662877965,4379,31,875800,2246,9140,941,4395,670523,T
866520780,2272,22,502112,2122,11154,1412,3859,670210,T
226316189,2197,1,70304,1519,9269,941,8269,670336,T
151856902,2099,18,111247,1982,12656,2353,4126,670704,T
868018308,4394,60,281216,1318,10283,1412,5759,670629,T
071302949,4434,30,168492,1907,29914,2353,8360,670075,T
406414242,2789,50,429506,4273,10968,941,4720,670472,T
450703061,2195,30,76825,1456,59829,1882,4422,670646,T
147626513,2115,1,346860,2037,9678,470,6258,670228,T
773464265,2259,14,198792,3290,17787,2353,6582,670854,T
473855730,2930,44,410200,7564,9537,470,8210,670222,T
601980577,4525,43,877850,1891,11154,941,8460,670696,T
100942344,4486,50,915144,1783,82264,2353,4525,670066,T
958141876,4437,61,1047132,2886,16051,1412,8350,670807,T
728187867,4505,35,873970,1700,17787,2353,5865,670822,T
125149459,4557,28,811146,1918,12656,470,6294,670488,T
236526022,2163,25,86520,1430,17787,1412,3789,670591,T
054488802,4383,42,464598,1818,8330,2353,5897,670861,T
872533332,2229,1,254106,2333,26324,2353,6039,670170,T
190835042,2123,16,435215,2208,7232,2353,6525,670688,T
583798683,4393,25,865421,3133,9971,2353,5771,670078,T
923250027,4523,40,416116,1859,29914,2353,7788,670015,T
665092873,2281,13,148265,1478,8025,2353,6417,670305,T
399846304,587,6,9392,22,100,458,1958,10088,T
683826330,2836,37,286436,8437,7564,941,4536,670105,T
839761380,4414,47,887214,5824,7742,2353,3760,670290,T
519587314,4394,56,426218,3576,7652,1882,4622,670963,T
952082680,2155,23,21550,2899,7564,1412,6207,670364,T
540469130,4518,53,76806,2836,6581,470,8488,670527,T
627935929,4412,36,670624,1485,8025,941,6337,670191,T
180501205,2146,6,21460,3782,11965,1882,4642,670797,T
577985378,2879,23,253352,5824,31339,470,4426,670873,T
105689042,2840,57,272640,6150,7478,1412,3770,670674,T
112924714,2268,12,276696,7652,17787,2353,7885,670162,T
811855570,2144,1,520992,3005,7001,941,7792,670133,T
595935726,4382,37,530222,5484,6927,2353,5712,670357,T
023220319,4380,57,245280,2753,12187,941,4747,670115,T
081022888,4469,36,898269,1597,11346,2353,4702,670711,T
267447560,4452,50,373968,1823,11545,941,7972,670625,T
168703323,4538,39,367578,2899,7929,2353,6551,670775,T
467104739,2134,32,317966,2253,9971,470,7590,670579,T
580115253,2104,14,96784,3636,34637,2353,7644,670909,T
