userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
205153354,2090,4,198550,1424,9971,1882,7708,670043,T
156114842,3014,55,177826,1424,1813,470,6547,670698,F
386242534,4404,51,365532,1424,7929,470,7618,670196,T
359261500,2950,79,185850,1424,1823,470,3718,670324,F
636729568,4550,37,295750,1424,5484,1412,7568,670845,T
989012153,2927,68,81956,1424,3018,470,6224,670073,F
473456479,2147,19,66557,1424,11154,1412,8319,670518,T
131902127,2839,51,76653,1424,1589,470,6366,670474,F
887667781,2165,16,145055,1424,9678,1412,4273,670439,T
189177027,2857,87,225703,1424,1523,470,4642,670371,F
362099884,4476,78,277512,1424,3005,941,7601,670884,T
046970122,2906,48,124958,1424,2464,470,4406,670142,F
079535819,4422,91,340494,1424,1433,470,6300,670285,T
924999996,2754,81,154224,1424,2730,470,3764,670348,F
630251959,2337,6,186960,1424,8437,941,5974,670556,T
156321980,2932,49,161260,1424,3656,470,4140,670558,F
884948067,4459,76,410228,1424,16452,2353,6077,670911,T
563788484,2873,56,198237,1424,5982,470,6360,670898,F
052710090,2340,19,142740,1424,2611,470,7643,670235,T
320542584,2774,68,202502,1424,1359,470,4649,670227,F
488885960,2361,1,177075,1424,5673,1412,4021,670813,T
195804195,2861,64,120162,1424,1838,470,4461,670081,F
210096909,2178,38,106722,1424,5394,2353,4551,670913,T
953930301,2926,49,111188,1424,2611,470,4180,670797,F
561913997,2315,30,189830,1424,1653,1412,5622,670314,T
296192053,3016,53,126672,1424,3392,470,4352,670966,F
563902992,4612,41,175256,1424,1764,2353,7779,670675,T
158463949,2761,54,251251,1424,2765,470,4053,670027,F
334754273,2371,25,142260,1424,2116,941,4643,670327,T
587163250,2933,69,258104,1424,1523,470,4321,670337,F
673557774,2315,45,222240,1424,3374,941,6269,670401,T
447496633,2853,36,225387,1424,7478,470,6026,670217,F
410873873,2147,34,165319,1424,1670,941,4228,670195,T
115619389,3034,72,91020,1424,3241,470,3828,670291,F
196089439,2161,1,183685,1424,8893,1882,3865,670934,T
280200273,2916,50,288684,1424,1913,470,5790,670409,F
922687734,4432,48,398880,1424,2653,1412,3754,670215,T
647206054,2812,62,185592,1424,1788,470,6578,670365,F
673246551,3014,82,60280,1424,3241,470,6091,670029,F
236680461,2113,23,44373,1424,4507,470,7860,670104,T
943041874,4653,70,283833,1424,1321,1412,4585,670965,T
979108810,2896,71,214304,1424,5929,470,4503,670413,F
555571672,2289,4,64092,1424,1519,941,5749,670108,T
120157071,2884,84,57680,1424,5929,470,6501,670226,F
856366028,4560,59,437760,1424,1345,470,8098,670328,T
198111807,3016,32,193024,1424,1958,470,4272,670196,F
781528745,4383,80,201618,1424,2208,470,5755,670157,T
008986736,2828,83,104636,1424,5530,470,3824,670678,F
824711681,2794,64,206756,1424,1394,470,3872,670657,F
935417115,4431,87,93051,1424,1687,2353,8054,670410,T
988894135,4518,46,140058,1424,2977,2353,8477,670528,T
242831193,2761,45,198792,1424,2601,470,5817,670567,F
902426278,2258,30,65482,1424,1418,470,4086,670772,T
444214469,3049,36,280508,1424,2069,470,5611,670614,F
478068766,4544,55,249920,1424,2157,941,4495,670358,T
676849565,2902,39,232160,1424,1563,470,4148,670486,F
928165887,2249,1,209157,1424,6647,941,4607,670807,T
582908344,2816,35,267520,1424,41132,470,6167,670195,F
693038399,4533,86,126924,1424,2753,470,4381,670859,T
448843874,2864,83,103104,1424,2031,470,6391,670979,F
635457236,2320,21,64960,1424,1365,1882,7515,670161,T
144604083,2923,45,99382,1424,2136,470,4541,670875,F
152412680,4430,47,438570,1424,1605,470,4273,670987,T
075800808,2919,48,90489,1424,2541,470,3987,670712,F
211541193,4610,62,331920,1424,6208,2353,6278,670949,T
009020153,2784,43,100224,1424,27421,470,6324,670607,F
240831774,2136,16,46992,1424,5982,1412,5678,670240,T
310136882,2762,52,146386,1424,7001,470,6383,670899,F
458145218,2118,46,171558,1424,1848,2353,4149,670114,T
380342705,2765,53,69125,1424,2675,470,4347,670760,F
280149991,4535,85,276635,1424,4734,941,4370,670331,T
225014474,2754,66,132192,1424,1620,470,4386,670197,F
469385431,2253,1,223047,1424,1421,470,3748,670881,T
644987000,2943,65,244269,1424,1421,470,3912,670128,F
981396460,4550,90,423150,1424,11346,1412,7789,670973,T
844052302,2935,88,82180,1424,16874,470,3836,670145,F
631057200,4574,51,137220,1424,2350,2353,8395,670676,T
981158027,2753,66,143156,1424,3164,470,6165,670556,F
359103446,4502,56,369164,1424,1788,2353,7986,670342,T
375185059,2918,50,189670,1424,2031,470,5623,670906,F
364804153,4429,81,301172,1424,2333,2353,8439,670881,T
854214436,2991,69,239280,1424,3258,470,4421,669991,F
058464878,2154,41,109854,1424,2873,941,6441,670535,T
224936820,2764,40,223884,1424,4037,470,3921,670028,F
007601027,2143,14,143581,1424,1713,2353,8134,670800,T
231799432,2849,47,113960,1424,1472,470,6624,670331,F
439785206,4647,67,278820,1424,1516,941,3851,670323,T
313908786,2895,65,266340,1424,2621,470,6605,670315,F
450150918,4601,64,363479,1424,1418,470,4639,670785,T
986614571,3013,78,298287,1424,1657,470,4417,670559,F
188935073,4454,58,320688,1424,12904,2353,6222,670004,T
752763739,2979,72,104265,1424,3005,470,6204,670229,F
629330751,4489,31,359120,1424,3274,2353,4659,670390,T
486204860,3045,75,115710,1424,3046,470,4421,670260,F
515563276,4492,80,134760,1424,4446,2353,6051,670579,T
752124942,2753,81,57813,1424,1620,470,6094,669979,F
398063799,2130,62,213000,1424,4062,941,4032,670207,T
566519392,3015,33,217080,1424,5929,470,4295,670251,F
038458395,4605,59,225645,1424,2401,1412,4333,670710,T
909086255,2847,44,222066,1424,3226,470,4047,670844,F
