userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
316230957,186,1,37386,2588,101229,2010,8348,1095944,T
305319413,187,1,33847,1898,11247,2010,10381,1095648,T
838220218,189,10,39690,2169,35040,2010,8385,1095840,T
754390929,117,11,11583,1870,10472,1508,8197,1095457,T
992952949,4363,43,728621,3253,13015,502,5825,1096255,T
791888433,4219,17,71723,6326,39611,502,8294,1095695,T
324655834,3872,68,274912,12311,11680,2010,5299,1095724,F
723795030,218,12,27686,6155,26030,1508,5976,1096324,T
076042729,164,1,28536,1878,17864,2010,10486,1095554,T
048560049,4569,35,150777,12653,41412,2010,10918,1095955,T
353231463,137,1,19043,7592,13203,2010,10349,1096410,T
231859075,4503,25,261174,2336,9490,2513,10476,1095700,T
002794442,4458,23,811356,2455,14016,2010,5783,1095895,T
213250853,2316,47,268656,2735,12480,502,8005,1095855,T
508908486,2241,13,248751,4978,45553,1005,10949,1095941,F
611284339,175,1,43225,2595,14461,1508,5910,1096012,T
758837109,265,1,5300,2123,10593,502,11034,1095518,T
393394611,2122,35,375594,2099,16269,502,5166,1096140,T
127230848,4471,18,992562,7529,39611,2513,7638,1095683,T
707727507,244,8,6344,5694,14935,2010,10840,1096148,T
276809255,116,1,24824,5296,14694,1508,8022,1096141,T
031641478,162,1,9882,2838,25307,1005,5948,1096097,T
941759847,221,1,26741,5061,11247,502,7908,1095511,T
270740602,4572,25,740664,8676,11987,1508,7568,1095626,T
626924684,146,1,5402,3796,10236,1508,8220,1095453,T
340315783,4233,40,507960,2065,14461,502,7634,1095842,T
570053425,210,1,50610,2190,16871,2513,11031,1096065,T
794432294,163,1,27058,9590,13597,2513,8390,1095755,T
641064338,145,20,13775,4745,13597,1005,7660,1096012,T
947296028,3993,57,147741,2595,10353,2010,7622,1095790,F
252965391,3970,67,774150,3961,11680,1005,10651,1095695,T
634836128,289,1,19363,4277,12831,2513,7519,1096170,T
941200229,184,1,28888,2874,10353,2513,7596,1096242,T
739696357,277,14,15512,3586,36442,1005,5424,1096005,T
582485821,2196,21,483120,3152,20706,1005,10533,1095961,F
173423923,3856,79,782768,2011,10353,2010,10841,1095761,F
152137749,4533,24,294645,5206,27608,1005,10850,1096075,T
742404042,2335,41,126090,1905,30368,502,5055,1096435,T
304799171,2262,63,27144,2559,31416,502,10134,1096299,T
254259287,2338,46,121576,5840,70081,1005,8218,1096188,T
601642536,4250,19,510000,7008,22776,1005,5610,1096158,T
961438157,4436,35,794044,6902,15708,2010,10035,1095618,T
