userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
136609699,3990,104,295260,2179,1822,2513,5768,1096090,F
282681983,2315,106,208350,2179,5296,502,5406,1095906,T
448813762,2252,44,51796,2179,19805,1005,5881,1096109,T
564537542,2157,11,62553,2179,6902,1005,7876,1095572,F
188312301,105,12,3045,2179,3517,1508,5844,1095728,T
181586019,3967,81,194383,2179,2640,2010,10391,1096301,F
164922427,2259,13,81324,2179,4898,502,10229,1095999,T
842963648,3954,116,288642,2179,3504,2513,8043,1096390,F
582400074,3821,71,252186,2179,4103,1508,7889,1095878,T
473002843,3889,79,264452,2179,20245,2513,7537,1096021,F
111060036,2253,27,83361,2179,2360,502,10286,1095523,T
522941126,3867,115,224286,2179,2038,2010,10536,1096206,F
665032475,4003,69,212159,2179,3688,1508,7770,1096434,T
733858989,4052,89,267432,2179,2324,2513,10113,1095466,F
355727157,283,23,14716,2179,2864,1508,10311,1095613,T
639217080,3875,96,232500,2179,2089,2010,10135,1095967,F
579513043,3991,54,319280,2179,9902,1005,5539,1096277,T
613697100,4035,74,334905,2179,2384,2513,5241,1095721,F
046405067,3859,62,142783,2179,2752,2010,5068,1095995,F
315986245,220,1,16940,2179,2735,1508,7924,1095508,T
930600792,2323,89,69690,2179,28470,502,10117,1096254,T
593952013,4036,76,258304,2179,2360,2513,5385,1095670,F
445437625,2318,43,208620,2179,14016,1005,10243,1095543,T
713082656,4002,111,80040,2179,2051,2010,7691,1095759,F
649986734,283,45,16131,2179,4696,502,7873,1096267,T
164299805,3835,113,383500,2179,5694,2010,5276,1095896,F
892244073,187,16,7106,2179,2449,2010,8488,1096116,T
092634477,2146,11,113738,2179,4696,1005,8498,1096273,F
376098822,4694,45,183066,2179,6114,502,10013,1095452,T
908376321,2347,11,58675,2179,8282,1005,7592,1095544,F
701482248,3945,58,236700,2179,5176,2513,7703,1096445,F
520214124,181,1,9774,2179,4338,1005,8056,1095720,T
288891287,4053,49,340452,2179,5658,1005,5811,1095719,T
915101937,3875,94,155000,2179,2164,2010,10518,1095909,F
761317459,3836,86,141932,2179,2348,2513,8034,1096040,F
493509653,353,24,18003,2179,2300,1508,10497,1095527,T
342801382,3856,117,196656,2179,2610,2010,5703,1096064,F
482787010,4481,21,300227,2179,10976,2513,5870,1096152,T
214280185,2357,14,124921,2179,2061,1005,7760,1096394,F
244417460,177,1,8319,2179,6240,502,8122,1095942,T
965274500,3822,84,133770,2179,2436,2513,8355,1095454,F
014737719,4622,28,374382,2179,4359,2513,8351,1095541,T
350602064,2114,15,103586,2179,6461,502,8493,1096259,T
622540304,3870,64,259290,2179,2744,2513,7924,1095711,F
061264755,3907,67,289118,2179,3163,1508,7593,1095468,T
029357218,4064,92,406400,2179,6554,2010,8341,1095758,F
386960501,3999,118,267933,2179,8282,2010,10348,1096142,F
489324226,3957,51,336345,2179,1874,502,10863,1096396,T
145764595,4677,52,271266,2179,7288,2010,10338,1095758,T
418558586,3809,107,274248,2179,7173,2513,7941,1095464,F
383237694,313,1,7199,2179,3174,2010,11032,1096089,T
419913224,4085,110,379905,2179,2573,2010,5947,1096266,F
931369798,4012,79,220660,2179,11247,502,7535,1095773,T
266536726,2107,8,86387,2179,3047,1005,5588,1095494,F
086995986,287,1,16359,2179,2489,502,7897,1096089,T
130604970,2373,30,99666,2179,3036,1005,7906,1095541,F
773149914,3980,74,342280,2179,2094,502,8375,1096372,T
496151659,3992,94,131736,2179,20706,2010,5382,1095487,F
360890098,104,48,4784,2179,2070,1005,5437,1096119,T
560147342,4022,86,289584,2179,4103,2010,5142,1096339,F
321374347,4233,56,186252,2179,12653,502,5084,1095660,T
778266767,3871,63,309680,2179,2874,2513,7831,1096173,F
427582227,4684,48,281040,2179,2266,1508,10460,1095736,T
835950512,4095,115,409500,2179,3141,2010,5663,1095486,F
357171735,4039,70,169638,2179,2318,502,5844,1095659,T
833345457,2370,32,144570,2179,4872,1005,5260,1095727,F
248890152,380,30,9880,2179,6240,1508,5970,1095873,T
986356848,3966,84,103116,2179,2029,2513,7940,1096222,F
436596867,152,48,10792,2179,8760,502,5790,1096380,T
674472140,3916,106,344608,2179,10353,2010,5447,1095928,F
411810506,395,1,17380,2179,50614,2010,5313,1095920,T
775744918,3848,74,192400,2179,5266,2513,5431,1095536,F
690978119,3983,63,282793,2179,1844,1508,10264,1095715,T
509906006,3870,51,216720,2179,2312,2010,5554,1095733,F
948237246,3842,112,357306,2179,2397,502,10647,1096191,T
404308865,2368,20,170496,2179,10353,1005,8534,1096305,F
920251257,4619,80,217093,2179,182212,1508,5843,1096375,T
531420432,4100,118,229600,2179,2260,2010,8450,1096040,F
433564506,3827,91,313814,2179,9692,502,5324,1096007,T
802905759,3914,98,340518,2179,2233,2513,7986,1095690,F
733486487,4669,27,219443,2179,3026,1005,8316,1095618,T
773975087,3840,63,345600,2179,3733,2513,5282,1095623,F
740721987,380,1,12920,2179,2496,502,10312,1095816,T
616432657,3873,74,247872,2179,2324,2513,10298,1096230,F
422717059,3966,67,107082,2179,1963,1005,10762,1095586,T
943113999,3826,102,202778,2179,13015,2010,6010,1095868,F
727073284,215,10,16770,2179,1905,502,10129,1096323,T
132533966,3842,107,349622,2179,3242,2513,5440,1096322,F
878792481,4513,73,352014,2179,4217,2513,11017,1095470,T
951249437,2156,24,183260,2179,5521,1005,7645,1096113,F
750181068,247,1,21242,2179,33743,502,10646,1096326,T
035544017,3919,92,348791,2179,2061,2513,5051,1096220,F
055620397,4031,59,350697,2179,4257,1005,7492,1096174,T
916575891,4096,111,200704,2179,9020,2010,10279,1095552,F
092307091,3967,68,146779,2179,4422,1508,8323,1095898,T
722746407,3859,63,301002,2179,10846,2513,8330,1096335,F
548128002,2227,51,53448,2179,8932,502,7562,1095637,T
983615477,3969,60,265923,2179,4401,2513,8273,1095678,F
874497943,2468,88,51828,2179,3312,502,10252,1096068,T
543381398,4079,72,289609,2179,2752,2513,7531,1096361,F
