userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
903847638,4410,479,904050,3628,7867,1522,7985,765572,T
419588369,2179,22,263659,3718,10381,380,7867,764900,T
864626831,2672,32,320640,3263,10381,1903,6651,765455,F
864094044,4223,26,907945,2154,9461,1522,4707,765078,T
609991090,630,44,59220,1610,124573,380,8534,765611,T
351824078,4224,36,1009536,10381,16609,1903,6073,765483,T
078166475,4162,37,857372,3088,17382,380,5845,765212,T
949645821,4235,39,749595,6733,24111,1522,4271,765519,T
995741588,4463,474,98186,3646,93430,1142,4022,765443,T
831565542,4165,35,174930,1823,83049,1903,6188,765304,T
678346202,377,1,84448,3852,7951,1903,6503,765376,T
644706632,4410,503,1005480,2059,106777,1142,7826,765420,T
349481505,2636,13,345316,3509,10381,380,8321,765416,T
673865461,4301,468,984929,2737,57495,1903,6271,764699,T
333897973,2149,18,186963,7785,13589,380,8345,765248,T
061544800,4413,499,264780,3278,13841,1903,6011,765344,T
841759887,4234,11,664738,2542,24111,1142,8022,764765,T
297970118,566,1,92258,1550,27683,1522,4675,765097,T
142592786,4370,494,218500,3872,15253,1142,4737,764831,T
544814212,388,1,46172,1882,9582,1522,4292,765494,T
786901060,4364,493,52368,3737,13841,1903,8485,765542,T
849400026,477,1,34344,3718,7867,761,5755,764829,T
094703626,523,1,85772,5119,8213,1142,5698,765101,T
172996648,415,3,17015,2737,12457,1142,8086,765349,T
739543410,4180,30,430540,2688,124573,1142,4210,765345,T
113358327,455,41,27300,2047,8304,761,5662,765246,F
506247559,4162,34,607652,2942,43967,1903,6578,764735,T
407439347,4166,3,629066,4295,23357,1522,8462,765003,T
499029739,2727,26,152712,1801,16248,1142,7630,765036,T
643935236,4175,41,651300,1672,39339,1903,5970,765311,T
477981652,2811,14,615609,5839,7785,761,7631,764747,T
750065271,4180,4,852720,2350,8591,761,5907,764756,T
329287544,477,1,50562,3542,9582,1903,4036,765667,T
520881536,2752,18,429312,9005,16609,1903,4030,765255,F
597169121,518,11,8288,2989,83049,1142,8472,765162,T
809406856,2072,13,263144,3307,10991,380,4434,764876,T
573102351,4301,486,460207,3321,11864,761,5863,765554,T
763921664,4223,38,726356,4917,24914,1903,6305,764945,T
491802196,4228,36,152208,2380,43967,1903,6462,765004,T
799676736,4361,478,388129,1534,14373,761,8337,765483,T
454066216,482,1,82422,1506,8898,1903,4441,765660,T
441879890,538,60,32818,2042,67949,380,4266,764953,T
333808853,559,28,10062,9343,9115,380,8599,765428,T
348996522,555,1,103785,5338,11864,1142,7736,765047,T
973270445,4284,39,805392,3593,20201,1522,5864,764808,T
170489891,494,33,44954,1936,10527,380,3803,765244,T
305945734,4182,35,635664,6985,27683,1142,7917,764824,T
784349818,4257,7,336303,2820,62286,1522,8402,764757,T
422143725,4360,482,1072560,4791,8898,1142,8322,764967,T
128373246,2162,32,464830,2450,11499,380,4170,764917,T
119040629,4121,23,589303,2036,12253,1903,6293,765565,T
579775102,2748,13,145644,5084,8304,1142,4101,764833,T
656224786,4280,494,457960,1946,11499,1142,6542,764760,T
259505898,467,56,22883,1544,9461,761,5733,765454,F
087514479,2081,26,416200,1541,8398,380,4552,765322,T
984447320,548,12,7672,5416,9343,1903,8572,765335,T
686592075,4412,490,388256,1710,8304,1903,6623,765186,T
419635800,2811,43,42165,4502,19669,761,4078,765585,T
865090515,2640,36,142560,1503,23357,1522,7768,765636,F
651120358,2138,18,530224,2442,37372,380,7890,765495,T
609363060,4048,55,894608,3292,10527,380,5660,764787,F
480981834,467,1,104141,1710,8793,1522,6544,764903,T
243289795,4260,36,962760,6388,10238,1522,6349,765554,T
587310292,4197,27,558201,2737,10991,1903,3944,765011,T
672809888,2142,13,233478,1600,13841,380,3914,765576,T
184490975,468,22,86580,2172,9834,1903,8024,765374,T
618440923,2728,36,327360,1691,31143,1903,4625,764763,F
410161429,4257,11,919512,4106,106777,1142,4599,764966,T
335901190,4215,27,63225,5979,10381,1522,6180,765518,T
370550728,4227,34,642504,3833,19165,1903,7726,765286,T
794542320,540,42,116640,2292,12055,761,6181,764872,F
700451397,4143,17,120147,2003,15903,1522,7720,765531,T
369837586,2726,34,537022,1818,29897,1142,4198,765216,T
741184744,4176,40,484416,2231,18686,761,6402,764905,T
326243779,459,1,56457,1750,12253,761,8306,765205,T
442227707,2639,45,416962,5577,8037,761,7831,765414,T
817993705,2211,26,424512,5577,7474,380,7803,765016,T
252166348,4156,12,552748,3593,14102,1522,7985,765032,T
169350762,4229,30,228366,4371,57495,1522,6341,765513,T
319528145,4333,472,554624,4885,22649,380,5994,765596,T
124561605,4308,32,758208,1679,35592,1142,7807,764837,T
087456408,462,12,4620,2989,15571,1522,6055,764910,T
797743522,616,52,72688,1600,8898,380,4011,765139,T
384665847,4192,33,1035424,5979,39339,1903,6592,764804,T
964467990,4263,23,588294,1730,11864,380,5701,765556,T
918575279,2690,21,285140,1792,7474,1903,8152,765528,F
166447588,584,42,63072,10527,93430,380,5968,765047,T
053081642,396,1,95040,1497,8304,761,7653,765315,T
248268548,4465,495,955510,5338,8213,380,7621,765370,T
041583189,4146,33,439476,2516,8793,1522,5954,764823,T
661701885,4362,503,453648,9227,14948,1903,3846,764788,T
518603938,4464,469,138384,1823,19669,380,8456,765266,T
636379189,4279,501,1044076,4175,37372,380,7816,765526,T
008112145,2679,46,286653,7549,10991,1522,7828,764963,F
280063251,4293,479,948753,3321,7951,1142,7604,765521,T
477614177,4210,27,825160,10100,8037,1142,5942,765204,T
695158991,2265,1,391845,3307,18686,380,6592,765583,T
534426369,4359,503,414105,1818,13589,380,8521,764996,T
398198671,2185,5,24035,4449,8037,380,3906,765414,T
931044184,4424,482,247744,1850,12055,1522,8122,765057,T
431849296,4165,55,512295,5662,12055,380,4799,765556,F
939466013,2075,11,192975,4557,83049,380,4059,765009,T
628997040,2669,25,117436,5932,41524,1522,4077,765169,F
568545244,611,44,123422,1631,14373,380,8305,764798,T
991325090,4290,476,137280,2897,7474,1903,5958,765222,T
738639209,4272,465,192240,9582,12055,1522,7776,765011,T
774778830,4402,489,647094,1775,19669,1142,6541,765012,T
968299983,4381,478,990106,4982,20201,1142,4254,764803,T
698812224,486,63,28188,9227,15253,380,8333,764866,T
998897019,630,53,76230,2191,57495,380,5979,765370,T
523684476,2261,22,499681,2191,12886,380,4668,765100,T
499177423,545,36,135160,4791,53388,761,4363,764937,F
359422370,507,62,42588,4199,12055,761,3975,765456,F
747367893,527,14,43214,1621,19165,1903,5764,765680,T
089489014,4455,489,859815,2758,8398,1142,4558,765166,T
232324936,2814,20,455868,1506,17796,1903,4117,764959,F
524082702,2780,27,161240,2343,7867,761,3865,765136,T
031077943,4308,12,887448,2577,9115,1142,8188,764702,T
473177874,2183,29,515188,2820,23357,1903,4399,765634,T
635495734,387,1,35991,7400,15903,1903,5833,765040,T
309400109,4306,503,370316,3249,7474,761,6665,764742,T
240059800,523,51,52823,5050,14655,380,3836,765523,T
995930101,450,37,69300,6177,8037,761,4249,764915,F
722214361,542,54,79132,4018,29897,380,7804,764811,T
106879219,2139,18,85560,2458,19165,380,4280,764756,T
210555557,2173,29,193397,1931,49829,380,4218,765326,T
271828640,4274,482,948828,2237,17382,1903,6115,764941,T
771087939,4276,480,761128,2989,29897,1903,4622,764881,T
663316620,492,1,14268,2198,10527,1903,6278,765262,T
169532670,4294,501,1060618,1590,17382,380,8505,764862,T
302686965,2632,32,128968,2466,62286,1142,4554,765520,T
660271637,518,24,92204,3321,13113,380,6447,765210,T
662488964,608,37,57760,1525,18230,380,6200,765353,T
776674485,4210,20,719910,2669,74744,761,8019,764980,T
255439914,530,40,69430,2426,21355,761,3762,764949,F
182937495,2701,6,332223,2198,22649,1903,6143,765657,F
493120875,2783,11,317262,1734,7474,380,3889,765379,T
596514008,4393,493,246008,3180,14373,1522,7773,765579,T
016222221,4170,2,725580,1792,9461,1522,5719,764907,T
595410580,4412,473,966228,2047,12253,380,4335,765028,T
361140955,547,1,123075,2831,9582,1903,7842,765030,T
363922858,4302,41,744246,2483,16987,1522,5873,764776,T
201552480,486,10,95256,2989,43967,761,8489,764887,T
696898675,2814,46,379890,4529,12457,1142,5681,764953,T
926163617,449,1,60166,3509,8793,1142,8438,765130,T
029861749,587,37,110356,3525,8591,380,5776,765576,T
744882290,2661,16,311337,2020,12668,1903,6301,765086,F
832455556,4272,465,1008192,1646,21355,380,5830,765110,T
254575044,528,63,54384,8213,7951,761,3899,765027,F
557211800,4446,495,248976,5495,9707,761,6319,764844,T
718137621,2672,19,74816,5226,9115,1142,8410,764758,T
078242629,460,12,23460,5839,7951,1522,8340,765095,T
680678956,4267,21,115209,3646,9343,1522,6204,765666,T
183937748,4400,496,1069200,6334,8037,761,7672,765596,T
900641781,500,5,80000,1500,17382,1522,8252,765275,T
074651381,530,21,19080,3525,19165,1522,7634,765119,T
150912822,2759,28,206925,1805,24914,380,8454,764971,T
641369177,4039,52,933009,7951,8398,380,7961,765388,T
619474602,408,21,28968,4295,46715,761,7996,764970,T
618996680,4292,499,794020,4271,16609,380,8125,764789,T
824791791,4242,9,873852,1687,10100,1142,6423,764805,T
319281960,508,48,126492,7474,11155,380,4026,765606,T
807356776,4255,10,676545,1823,8493,1903,5849,765661,T
442185394,432,22,47088,3038,8691,1142,7796,765319,T
331452674,2672,8,69472,6228,41524,761,4316,765372,T
220649265,4465,492,558125,2919,7951,380,6341,765232,T
030378916,4428,495,1084860,4642,10677,1522,7973,765313,T
382408347,4115,39,1016405,6731,14315,462,1051,1037999,T
184967169,4235,12,652190,1718,32497,1142,4584,765325,T
625707440,458,1,28396,3194,9115,761,6353,765540,T
856330301,2698,6,318364,2820,10677,380,3995,765055,T
350993036,584,60,87016,4320,26694,380,6225,765356,T
323229251,4373,469,599101,1946,8898,1903,8085,765223,T
464039230,2820,29,360960,3063,37372,1522,4545,765589,F
456642956,4244,37,746944,1882,28747,761,8093,765111,T
548060776,4254,23,531750,2977,11324,1142,5753,765263,T
860430205,4412,493,163244,3542,9343,761,8144,765284,T
285601792,562,51,97788,4106,11678,380,8543,765346,T
464683614,2652,38,270504,5016,14948,1522,4374,764848,F
516794654,4312,35,1004696,1767,8493,1522,6116,765318,T
415739694,2644,21,293484,2160,83049,380,6016,765207,T
452533880,4299,6,649149,1901,7474,380,5912,765617,T
572956874,4333,494,576289,4730,7626,1142,6578,764997,T
486806189,2724,35,157992,1563,9227,1903,6218,764824,F
022599304,4155,29,606630,5050,106777,1522,4074,765676,T
901674364,2757,41,369438,2217,9005,1522,8145,764774,F
365191101,4288,490,257280,2550,8304,380,7762,765327,T
095862204,4340,482,169260,2622,8793,1522,6621,764702,T
679305151,4292,482,824064,2659,10100,380,4024,765297,T
506681756,565,1,74015,1854,7549,1903,5857,765573,T
739689013,4176,36,534528,2737,41524,1903,8213,765039,T
008436025,4402,488,787958,3013,62286,380,7849,765473,T
969286902,4399,504,633456,1850,9115,1142,4774,765250,T
684526433,2703,44,300033,5416,14948,1142,8118,765244,T
843053394,516,6,39732,1750,106777,1142,6356,765029,T
249090184,514,19,104856,3681,24111,1142,8200,765409,T
620072324,4225,9,507000,3321,24914,1522,6642,764760,T
284645270,482,33,37114,2154,8398,380,8067,765699,T
