userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
957919952,4332,530,90972,2009,43967,1522,8403,765190,T
200469307,672,65,56448,2009,2799,761,3804,764975,F
939682580,4335,465,251430,2009,4529,1522,7689,765636,T
852225706,2782,25,216996,2009,9965,1522,4480,765486,F
487996493,2667,11,56007,2009,1859,1142,8397,765181,T
791682242,2691,32,215280,2009,3593,1903,5832,765001,F
732052040,2733,64,71058,2009,1500,1903,7828,765513,F
373136266,2711,36,203325,2009,4642,1142,8353,765145,T
039308264,2760,26,99360,2009,1664,1522,6655,765663,F
954390416,2716,70,119504,2009,2863,1142,7751,764977,T
842752948,487,1,23376,2009,3718,761,7784,765184,T
920947664,587,90,22306,2009,15571,761,4228,765666,F
715496208,4571,529,420532,2009,2292,1142,8282,764933,T
226440684,571,59,54816,2009,1734,761,4528,765269,F
687676142,514,48,49858,2009,1607,1522,4478,765399,T
787466233,711,52,27729,2009,1672,761,3889,765113,F
400931375,511,1,42924,2009,2491,1142,4503,765021,T
767088945,2745,59,76860,2009,3997,1903,8298,765249,F
244317466,2692,14,242280,2009,1877,761,5669,765027,T
627725017,2687,68,59114,2009,1754,1522,4768,765598,F
655619893,4143,57,389442,2009,2003,1522,7873,764855,T
344772949,2672,72,176352,2009,3153,1522,7581,765025,F
690757730,456,23,21888,2009,2418,761,5911,764858,T
828205502,2727,74,139077,2009,1854,1522,8238,765582,F
383301977,4325,489,99475,2009,2841,380,8067,765232,T
076168082,2754,59,165240,2009,4557,1903,7822,765115,F
174404622,4445,487,182245,2009,2568,380,8101,765163,T
171620972,2844,73,99540,2009,49829,1903,4040,765423,F
330488245,2715,59,268785,2009,1653,1903,6387,765529,F
771589528,557,32,35648,2009,4175,1142,8504,765577,T
881023522,670,4,54940,2009,2483,1142,5895,765319,T
198173333,2733,24,90189,2009,6614,1522,6160,764978,F
465773549,4538,515,281356,2009,1714,1522,7771,765078,T
607785067,2740,62,194540,2009,7256,1903,8292,765546,F
079954988,584,42,42632,2009,2343,1522,3758,764747,T
028030354,2677,18,139204,2009,1738,1903,4427,765222,F
383511327,4280,494,372360,2009,7705,380,6184,765086,T
