userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
806723881,1856,28,137344,2024,6350,2050,10204,436940,T
969506386,4161,40,274626,3522,83823,512,8143,436734,T
266334974,1782,10,187110,3352,8059,2563,10414,437674,T
710593683,1665,8,266400,1151,7907,2563,10314,437710,T
411463017,1731,32,422364,1305,4817,1538,10969,436824,T
965029523,2499,16,189924,1002,4930,512,7892,437052,T
524890803,462,7,107646,5238,4320,512,5881,437482,T
226491409,4330,40,497950,997,10222,2050,5142,437065,T
604577892,1700,9,277100,1317,8553,2563,5476,437711,T
286293612,4235,63,118580,972,22058,512,5170,436816,T
393399204,4298,63,1018626,1100,7103,1025,5688,437645,T
009916459,4360,74,645280,967,14452,2050,5407,437365,T
553273113,1749,5,288585,865,38101,1538,10719,437501,T
326113904,1664,7,81536,1356,12327,2050,8084,437259,T
680273043,1759,27,35180,1879,8382,512,8178,436891,T
439828241,2559,4,335229,1618,5741,512,8206,437313,T
004172570,2619,6,219996,2703,11642,512,5165,436876,T
912418103,1855,31,103880,858,69853,512,10390,436806,T
823560166,1823,11,266158,1050,5514,2050,8363,437002,T
061780909,2519,18,342584,2422,4873,512,10789,437360,T
317089255,1860,4,379440,1055,4365,2050,7657,436969,T
705011337,1738,4,27808,1177,10477,2563,5189,437323,T
583826121,1787,1,266263,1066,6350,2050,5758,437734,T
071399726,3696,376,558096,1822,12700,512,5339,436899,T
442035592,1672,26,267520,3151,6759,2563,7899,437041,T
506283991,4299,74,988770,1061,11327,512,5978,437695,T
461188839,3569,359,638851,1949,7761,1025,10886,436801,T
488855756,3579,349,515376,3127,5663,1538,8291,437597,T
510653060,4230,78,744480,1656,4365,1538,5138,437600,T
554178054,4232,40,169280,4411,12700,512,10793,437544,T
992362313,367,16,51747,1460,5238,512,10851,437302,T
325093873,318,19,46428,1347,6074,1538,5324,437498,T
864021953,2606,21,33878,2064,4233,1025,5692,437714,T
355602664,1737,26,363033,1108,4458,512,10254,437082,T
612451915,2478,7,317184,1663,17463,1025,5681,437170,T
270471315,4346,53,273798,921,34926,512,7730,437015,T
592578104,1816,17,190680,983,7484,1025,10918,437309,T
369874280,2664,7,183816,1053,10477,512,8336,437525,T
717788710,3649,360,580191,839,6350,1538,5171,436924,F
281796147,3560,356,181560,1339,5663,1025,8497,437449,F
119466923,3510,345,691470,1703,19050,2050,7718,437091,T
505557999,3520,351,408320,1326,7103,512,10403,437164,F
086734187,3639,355,826053,864,13970,1025,7802,436793,F
012042768,2617,22,191041,1061,19958,512,5635,437224,T
253823914,4335,50,130050,2930,4276,1025,10448,437387,T
875536808,2650,35,641300,1343,19050,512,5191,437271,T
578155695,421,4,100619,1239,4233,512,10210,436734,T
035888442,371,1,77910,1491,5373,512,7935,436883,T
403758291,3656,340,884752,2721,4233,2563,5124,436788,T
391526226,1731,7,19041,5514,52389,2050,6107,437470,T
988202994,3646,371,875040,891,5588,2563,5631,437168,F
683055630,1689,30,158766,2851,14968,512,10921,437676,T
671527669,4181,49,100344,981,8218,2563,6125,437672,T
982096937,1750,31,269500,1383,4555,512,11194,437498,T
546944069,4208,80,572288,1524,14968,1025,5758,437386,T
052913033,2530,13,68310,1017,52389,512,8677,437593,T
448034247,1684,19,151560,4233,4233,1538,10933,437475,T
081960169,2664,25,407592,838,6350,512,6026,437237,T
377579594,1675,16,418750,974,5514,1538,7958,437721,T
916082400,1811,22,394798,1142,12327,1025,10713,437106,T
348173344,4231,69,59234,4762,6548,1538,5548,437661,T
710339788,1770,1,106200,3676,6163,2563,11180,437626,T
438738037,4185,56,832815,963,8382,512,8677,437029,T
679287230,3708,354,215064,876,10222,512,8434,437462,F
631384739,4224,49,595584,1236,5514,1538,7746,437333,T
540745559,2575,19,213725,1279,11248,354,1675,226955,F
174717132,2530,29,273240,1854,5373,1025,5711,437548,T
348171336,4211,47,732714,887,4191,1025,8093,437141,T
923126534,3689,346,700910,2381,6759,512,8029,437561,T
889000573,1806,1,409962,850,5373,512,8211,437237,T
734126515,4208,45,593328,1170,11327,1538,10827,437266,T
069007494,351,1,4563,995,11029,1538,5672,437296,T
318407775,3597,365,640266,1343,5305,2050,8247,437080,F
547880356,4928,53,1167936,4873,83823,1025,10553,436903,F
763034163,3535,363,364105,1094,4762,2050,5460,437021,F
252697700,423,16,93060,3059,5238,1538,5115,437038,T
403064809,1826,14,383460,899,12327,512,10595,437594,T
509663500,1850,13,188700,3352,9979,2050,10888,437065,T
722540285,1690,10,25350,1322,6074,1025,5927,437302,T
375701173,4231,75,850431,2315,4320,1538,5410,436935,T
304155230,1847,16,402646,1563,4506,2050,5634,436947,T
449793823,1795,25,425415,5588,20955,1538,5133,436893,T
642275226,3651,351,215409,946,22058,512,11158,437377,F
471804382,3541,369,63738,1091,5174,512,10353,437472,F
027760179,1699,4,397566,1822,6350,2563,10257,436846,T
255748879,4264,68,157768,2436,5588,1538,10978,437494,T
274380676,1730,15,58820,970,59874,2563,5201,437715,T
311040283,3589,358,750101,2494,7907,1025,5674,437597,T
039985377,3676,369,709468,2555,5238,2050,8163,437460,T
666947712,4270,47,1016260,1995,4365,512,8233,437730,T
068746791,3598,367,644042,2540,6985,1538,5437,437730,T
446393645,3594,363,154542,1148,69853,512,5952,437025,F
524906075,343,10,11319,1266,23284,512,10716,437647,T
151837064,2566,14,146262,1343,4233,512,7652,436995,T
023185996,1698,12,351486,1014,16119,1538,10890,436949,T
784375937,1808,33,287472,1047,9313,1538,5554,437052,T
189977926,4168,56,366784,2509,24654,1025,8661,437351,T
270103333,1772,1,182516,1535,9746,2563,10645,437612,T
966364288,4341,76,599058,923,8218,1025,5447,437215,T
301175255,4390,23,952630,6953,19441,140,533,979842,T
671975508,2638,23,648948,5305,27941,512,5479,437006,T
