userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
539352785,4345,103,199870,853,2253,512,8424,437581,T
043112362,3590,403,333870,853,919,512,10694,437081,F
283461729,494,27,26182,853,5663,1538,5513,436880,T
055280394,3640,403,94640,853,6350,512,5144,436898,F
283788600,1806,61,92106,853,961,1538,10611,436935,T
234585759,3655,378,263160,853,2044,1025,10550,437587,F
912475134,1742,32,149812,853,9746,2050,5236,436889,T
888622038,3510,367,182520,853,3991,512,7867,436959,F
950748896,1810,13,179190,853,886,1025,10582,437001,T
325483951,3535,374,349965,853,3274,512,8048,437502,F
707393592,4236,59,275340,853,3709,1025,5090,437002,T
762354592,3518,381,73878,853,1546,512,11247,437245,F
574166630,4170,92,341940,853,1024,1538,8119,437228,T
192188662,3695,368,225395,853,8382,1025,10515,437198,F
870088210,4449,103,235797,853,6074,512,10949,437185,T
496933312,3726,390,342792,853,1587,1025,5823,437187,F
474771052,3772,396,294216,853,869,512,5501,437602,F
890836139,2628,38,199728,853,1496,512,10213,437579,T
705025151,1774,46,145468,853,1183,1538,11155,436887,T
136685755,3619,400,249711,853,6350,512,5518,436736,F
854740889,2672,24,66800,853,3845,512,10790,437676,T
500718604,3679,386,143481,853,1905,512,5663,437473,F
276655089,1713,1,143892,853,2993,1538,10273,437224,T
960136027,3699,353,118368,853,69853,512,11151,437170,F
513623082,360,9,23760,853,3522,1538,5257,437629,T
849005436,3762,386,376200,853,946,1025,5753,437164,F
051068673,4401,48,220050,853,1587,2563,5531,437306,T
598948756,3761,368,289597,853,3175,512,6119,437534,F
945194441,4251,42,263562,853,3435,1538,8004,437701,T
214703227,3731,386,324597,853,919,1025,5982,437636,F
804042485,1814,1,43536,853,4709,2050,10374,436951,T
043177480,3808,391,228480,853,889,512,10591,437190,F
362147600,1719,8,128925,853,1262,2050,5939,437556,T
356049678,3783,374,351819,853,6255,1025,10645,437267,F
079766748,4367,108,200882,853,876,512,10999,437460,T
589052030,3787,345,287812,853,2851,512,6084,436936,F
017085497,3691,377,210387,853,1091,512,10945,437514,F
372621593,1853,1,63002,853,1496,512,10544,437700,T
536210067,4336,98,290512,853,1406,2563,6056,437555,T
262845597,3594,346,352212,853,1862,512,5893,437236,F
340207620,1888,1,39648,853,3522,2563,5334,437232,T
342770902,3541,396,198296,853,1097,512,5274,437155,F
584044150,1728,52,46656,853,2669,1538,8174,437179,T
522407850,3646,363,266158,853,1170,1025,5773,437681,F
135587023,362,1,13394,853,1334,1025,11072,436888,T
553738338,3556,397,277368,853,1475,512,8375,437107,F
669256787,2581,24,113564,853,1724,512,5266,437622,T
955918213,3714,401,207984,853,23284,1025,8110,437096,F
642127897,4428,75,336528,853,2074,2050,5702,437267,T
961962532,3729,350,104412,853,23284,512,8173,436742,F
620827325,4453,76,191479,853,6652,2563,5126,437390,T
107827770,3773,406,271656,853,1309,1025,5188,437465,F
077362988,1931,10,148687,853,26194,512,10771,437425,T
983893785,3539,397,244191,853,3916,1025,10408,437170,F
176319172,541,3,54100,853,1605,1025,5979,437176,T
353408431,3708,359,166860,853,2910,512,8577,436757,F
523467680,3552,410,287712,853,873,1025,7999,437240,F
015420457,4392,66,267912,853,4555,1025,10246,437117,T
381906922,4276,92,115452,853,1039,1538,8383,437160,T
777802047,3695,384,310380,853,1529,512,11093,437534,F
665028727,4292,42,321900,853,6870,1025,10447,437627,T
971901703,3653,379,306852,853,1037,1025,7917,437369,F
669656398,1899,61,100647,853,1285,1538,8228,437030,T
661655798,3526,351,250346,853,1605,512,5363,437608,F
523189176,3653,354,255710,853,13970,1025,5079,437136,F
320349234,1943,25,44689,853,1643,2050,11136,437112,T
819694016,1935,11,145125,853,1563,1538,8574,436849,T
683195616,3517,345,284877,853,4233,1025,10381,437334,F
486470962,479,1,27303,853,909,512,11068,437670,T
433079501,3666,356,95316,853,1552,512,5222,436989,F
660008764,530,31,18550,853,1339,512,5399,437489,T
168497584,3683,367,290957,853,1080,512,10269,436807,F
717329281,4246,75,216546,853,1094,512,5607,436984,T
686403564,3555,367,255960,853,2757,1025,8593,437295,F
323890850,1901,56,152080,853,2775,2563,10823,437057,T
630677791,3615,360,162675,853,7484,1025,5732,436766,F
060258158,1785,43,144585,853,923,2050,7836,437196,T
837899572,3579,346,153897,853,4555,512,8499,436962,F
731979552,1806,17,155316,853,4506,2563,10713,437337,T
430593043,3774,340,109446,853,1326,512,5683,436988,F
273115488,1719,46,168462,853,1197,2563,8393,437627,T
438254551,3754,402,217732,853,1100,512,8198,437033,F
334254353,3669,388,256830,853,869,1025,7908,436779,F
329048038,361,48,27075,853,1480,1538,5669,437695,T
881601533,4262,86,409152,853,3151,2050,5337,437262,T
445520152,3786,406,336954,853,6870,1025,10864,437334,F
503405587,4460,102,209620,853,1262,512,5145,437217,T
989499764,3511,344,308968,853,6350,1025,10284,437585,F
362172188,1698,10,154518,853,1055,1538,5142,436905,T
775117120,3632,369,148912,853,1392,512,8604,437644,F
072694809,3671,403,77091,853,3015,512,8307,437656,F
090796493,4268,55,166452,853,1563,1025,5238,437664,T
161362774,3763,380,161809,853,5903,512,6085,437272,F
117372375,530,1,15900,853,2328,1538,5277,437028,T
173111910,394,6,33884,853,6985,1538,5629,437056,T
637544270,3583,341,218563,853,7352,512,7765,437716,F
141651735,1857,3,61281,853,1731,1025,5704,437710,T
696665494,3602,381,126070,853,867,512,5545,437217,F
385604957,1771,64,111573,853,1986,2050,5737,436931,T
097170895,3726,390,301806,853,1689,1025,10899,437690,F
