userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
365284744,4704,32,1114848,4488,27570,1384,4384,1215045,T
086475555,4833,4,575127,3446,13951,692,4433,1215078,T
317872352,4701,30,56412,13785,12451,1384,6521,1214960,T
922355514,4832,22,705472,3436,15648,692,4904,1214144,T
292367891,1106,203,139356,4369,37353,692,4939,1215081,T
609860574,1167,196,213561,3498,13010,346,5726,1214800,T
131817993,1172,234,144156,4906,231594,692,6456,1214104,T
861228521,981,233,54936,2448,13623,1384,5773,1214223,T
587702396,4856,26,456464,2852,17283,692,4667,1214798,T
130683402,1136,225,202208,2407,23159,346,5495,1214870,T
239755072,4873,24,423951,2718,68115,1038,6171,1214988,T
284118661,4878,32,292680,9982,11937,1730,4747,1214856,T
518644168,4693,20,178334,2902,22705,1038,4768,1214387,T
538833584,1149,229,164307,4650,13010,1384,6065,1214587,T
030271148,1010,220,223210,10527,72373,692,2894,1214565,T
691312732,4800,9,1108800,3456,64331,346,4402,1214933,T
381786269,4741,12,910272,4034,15648,1038,6262,1214234,T
538971433,1014,207,228150,5436,37353,1384,3492,1214167,T
204485131,4860,20,223560,4320,21443,1038,3301,1214666,T
926513057,4876,19,672888,12866,22705,1038,5657,1214526,T
078526575,4686,29,309276,8839,36186,1730,2724,1214899,T
320211946,4829,42,424952,4845,12062,346,3601,1214305,T
245249097,2574,20,422136,4824,46318,346,2722,1214510,T
871410620,1133,211,48719,6655,33084,346,3349,1214472,T
125833552,4879,5,258587,3436,77198,1730,3597,1214696,T
222352149,4820,35,862780,2859,28243,692,4810,1214589,T
742388501,2526,24,227340,3652,12724,346,4769,1214150,T
837474795,1073,224,150220,2763,64331,1038,6198,1214891,T
466926790,4699,11,422910,3163,15648,1038,3276,1214674,T
625974656,2505,45,445890,12586,20315,346,4907,1214672,T
317580688,1117,227,136274,4505,42887,1038,4959,1214545,T
762762797,4806,21,586332,13951,72373,1038,4587,1214546,T
112004900,4773,23,52503,8041,35090,1384,4399,1214928,T
553885621,1134,220,202986,7877,14845,1384,5998,1214184,T
682640458,4765,29,924410,4436,19299,346,3376,1214221,T
186474754,1002,206,249498,3385,14295,692,4645,1214408,T
159253030,4784,35,162656,2363,52635,1730,3476,1214276,T
534187504,4721,42,1095272,15862,12586,1384,5518,1214418,T
497961667,4751,28,603377,4048,42887,1384,5923,1214849,T
485194700,4847,12,479853,10623,22705,1384,5591,1214691,T
758979171,1052,236,258792,5648,82712,346,4346,1214983,T
271418742,1109,234,178549,2339,165424,1730,5503,1214617,F
751691307,1032,213,231168,10157,18093,1730,4569,1215062,F
