userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
291820796,2575,35,249775,3509,3280,346,3167,1214330,T
666012287,1215,254,115425,3509,2573,1730,5630,1214401,F
541359476,4981,49,114563,3509,3735,1038,4695,1214887,T
352516084,1189,198,40426,3509,4488,1730,3517,1214538,F
737031843,4710,41,372090,3509,4135,1384,3011,1214487,T
625516180,1086,222,93396,3509,7192,1730,5986,1214194,F
194824539,999,245,55944,3509,105270,1038,4988,1214560,T
168033561,1255,235,50200,3509,3308,1730,4901,1214823,F
302107378,4951,46,302011,3509,4369,1730,3294,1215085,T
787213921,1279,226,54997,3509,7771,1730,3570,1214295,F
508740580,2711,51,103018,3509,2392,1384,3018,1215060,T
235709970,1161,196,45279,3509,2859,1730,4768,1214698,F
190571179,4880,56,200080,3509,3938,1384,4396,1214457,T
727915156,1047,252,91089,3509,17814,1730,6504,1215111,F
955068590,1134,255,109998,3509,2613,1038,2888,1214969,T
390093636,1204,254,99932,3509,5123,1730,2851,1214879,F
331052305,2590,66,165760,3509,2363,1384,3057,1214119,T
998287659,1180,263,102660,3509,5999,1730,3694,1214494,F
103164367,1120,224,50400,3509,3385,346,3311,1214214,T
670679773,1036,209,90132,3509,15439,1730,3179,1214367,F
198975809,4863,49,199383,3509,2402,1730,4405,1214494,T
117045397,1233,242,61650,3509,5034,1730,3214,1214935,F
694991104,2541,56,203280,3509,3562,346,3587,1215028,T
917321599,1136,238,52256,3509,12586,1730,4190,1214800,F
136068969,2760,68,88320,3509,3687,346,4933,1214237,T
058518234,1059,216,41301,3509,13158,1730,5676,1214387,F
604297420,1176,199,84672,3509,5540,346,5615,1214554,T
154799330,1232,246,81312,3509,18380,1730,6103,1214581,F
958868903,4741,65,407726,3509,5488,1730,5884,1214201,T
702018189,1254,232,27588,3509,13623,1730,5106,1214126,F
000872859,4784,53,220064,3509,3163,692,3574,1214897,T
278233175,1033,250,58881,3509,2880,1730,5687,1215092,F
155041955,1123,253,79733,3509,4804,1384,6459,1214940,T
314358177,1045,204,98230,3509,57898,1730,4328,1214611,F
300165094,4784,14,239200,3509,64331,1730,2881,1214112,T
986998948,1268,231,117924,3509,55141,1730,4824,1214334,F
268028150,1135,212,98745,3509,4613,692,5738,1215083,T
185025904,991,227,54505,3509,24637,1730,4772,1214635,F
251275730,2598,11,153282,3509,17814,346,6263,1214885,T
233718748,1107,263,95202,3509,3965,1730,4464,1214259,F
581624844,4932,35,478404,3509,4006,692,6393,1214568,T
919942380,1152,223,26496,3509,3596,1730,4651,1214442,F
943721425,2666,24,242606,3509,7060,346,3697,1214740,T
915169469,1197,199,65835,3509,4845,1730,2736,1214912,F
915070669,1173,198,29325,3509,3234,692,4586,1214107,T
813198825,1101,257,64959,3509,8706,1730,6319,1214365,F
509015130,986,254,98600,3509,3181,1038,5947,1214942,T
639080445,1113,204,35616,3509,5311,1730,2795,1214667,F
588451993,2767,60,196457,3509,42887,346,4126,1215011,T
859970580,1244,208,27368,3509,2511,1730,5070,1215099,F
043521790,1058,262,93104,3509,18093,1730,6142,1214440,F
514434075,2520,52,98280,3509,46318,346,6264,1214517,T
047218776,1111,261,107767,3509,10247,1384,4565,1214112,T
251601481,1256,211,119320,3509,16542,1730,6229,1214859,F
249301547,1164,239,55872,3509,3289,1384,3541,1214678,T
902908589,1208,245,72480,3509,2320,1730,5733,1215034,F
042270321,2552,59,135256,3509,4824,346,2836,1214517,T
092250145,1094,246,37196,3509,3385,1730,5891,1214988,F
597321106,1126,236,90080,3509,4272,1384,5760,1214753,T
377856514,1027,199,42107,3509,3912,1730,3572,1214789,F
237784490,2784,37,278400,3509,42887,346,5787,1214936,T
867590506,1136,211,98832,3509,10247,1730,5999,1214569,F
243379157,4819,73,192760,3509,6975,1730,5973,1214311,T
577222651,1058,221,95220,3509,2838,1730,6186,1214945,F
058090038,4912,6,427344,3509,5263,692,3675,1214861,T
891719176,1173,238,111435,3509,5360,1730,6320,1214551,F
668696625,1171,232,112416,3509,21848,346,6173,1214756,T
638895890,1033,226,56815,3509,4150,1730,6360,1214807,F
524254824,4975,36,437800,3509,5594,346,3767,1214197,T
276592326,1008,259,39312,3509,3121,1730,2915,1214821,F
117273308,4947,68,108834,3509,3243,346,5021,1214962,T
616469812,1077,201,98007,3509,4669,1730,4698,1214407,F
378179052,1158,216,68322,3509,8839,346,6522,1214607,T
352205042,1262,225,109794,3509,6362,1730,3601,1214402,F
099422230,4934,48,305908,3509,2339,1038,4257,1215091,T
082447645,1238,239,123800,3509,5192,1730,5583,1214165,F
176167563,4877,34,117048,3509,30472,1384,6282,1214464,T
830041031,1102,196,70528,3509,3243,1730,4267,1214657,F
644202269,1034,196,29986,3509,36186,346,5081,1214792,T
584028553,1029,249,20580,3509,2668,1730,3256,1214405,F
920609269,2576,52,103040,3509,2517,346,3712,1214502,T
441241755,1025,204,42025,3509,2474,1730,4216,1214659,F
715042778,2524,71,229684,3509,105270,346,2993,1215013,T
933387299,1012,209,36432,3509,6362,1730,3692,1215030,F
862678341,1171,245,93680,3509,14657,1038,2763,1214818,T
994939196,1247,234,113477,3509,4419,1730,4613,1214154,F
129010879,1128,223,51888,3509,13310,1384,3737,1214105,T
196574562,1135,237,41995,3509,3938,1730,5840,1214637,F
960701933,4945,31,430215,3509,2490,1384,4340,1214432,T
798694887,1195,255,31070,3509,3821,1730,4274,1214404,F
437993889,4750,59,380000,3509,14845,692,4699,1214155,T
011277441,1259,262,79317,3509,13464,1730,6240,1214586,F
473033513,1041,233,102018,3509,3541,1038,2918,1214231,T
750669478,1131,244,38454,3509,2984,1730,2954,1214384,F
437838690,4740,22,464520,3509,3723,346,5076,1215102,T
410426428,1264,200,78368,3509,15862,1730,6176,1214887,F
265148802,1225,234,68600,3509,4257,346,3078,1215071,T
270359488,1266,229,88620,3509,9338,1730,4700,1214753,F
473174023,4800,65,312000,3509,2705,346,5883,1214588,T
769939950,1153,262,108382,3509,2412,1730,4247,1214906,F
