userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
806733294,471,1,104562,931,4648,2163,4351,409955,T
698795489,3384,92,233496,942,4044,865,2663,410262,T
855805611,439,1,32047,3110,5617,2163,3115,410002,T
637554416,2513,30,304073,4444,4932,2163,2931,409802,T
588892035,2614,57,632588,1031,12255,2163,3668,409874,F
357618061,3305,106,363550,4169,8987,865,4224,409858,T
541965772,2548,43,412776,2197,5861,1731,2528,410278,T
318192031,3495,38,859770,1317,7353,1298,2287,409802,T
389484485,1345,1,227305,1385,23789,1298,3964,410111,T
973415156,2494,28,593572,2696,67404,2163,2173,410537,T
612805107,3230,100,74290,942,6522,432,2390,410306,T
759450143,1313,1,97162,1114,7353,1731,4022,410494,T
396098265,2556,37,76680,2186,5055,2163,2173,409959,T
903935185,1327,1,229571,974,4872,432,2837,410222,T
578832323,1410,19,129720,1617,11554,1731,3542,410151,T
334841978,3430,12,394450,4757,8088,865,2958,409674,T
450641352,1387,1,241338,1460,26961,865,2558,410267,T
368568683,1296,7,54432,1287,8425,1298,3455,409874,T
358389885,1286,30,223764,1096,13480,1731,2513,410412,T
153072005,1401,1,63045,2888,5252,432,2504,409704,T
164695388,3527,37,691292,1155,4126,865,2122,410264,T
606988613,3400,1,601800,1434,5861,432,3692,409627,T
957600250,3524,4,211440,2272,4493,865,2939,410039,T
741920766,1297,13,185471,1136,7221,2163,2833,410627,T
192205192,2521,40,511763,2310,4872,1298,3207,410095,T
799894038,3342,105,795396,1664,4444,2163,3459,410352,T
500102894,3240,89,174960,1394,9629,1731,2935,410281,T
590407741,1354,18,272154,1207,22468,1731,1833,410203,T
843838653,4636,38,1131184,3815,5947,2163,3665,410539,T
148866712,472,1,114696,1075,6629,2163,3572,410263,T
659225148,2620,31,159820,974,31109,2163,2242,410155,F
969918667,3281,82,708696,1692,8253,1298,3718,409762,T
008074545,1257,22,152097,1330,8791,1298,3843,410223,T
687425431,3489,27,868761,949,5392,432,2425,409840,T
980472426,2640,39,100320,2543,6972,865,3493,410188,T
347985269,2623,56,199348,5252,5055,2163,2173,409648,T
649512103,4657,45,1150279,853,7489,2163,2684,409627,F
065805363,3214,80,298902,2751,4493,1298,3507,410212,T
992247860,1225,1,69825,1982,6127,2163,2769,410422,T
861232689,1415,1,89145,1664,4395,1731,2619,410348,T
625996850,1264,1,270496,1179,7095,432,4115,409729,T
577540457,3556,14,209804,4044,12255,865,4076,410043,T
416076765,3517,13,246190,1287,17583,865,2642,410054,T
074509950,3300,110,544500,1503,6036,2163,2209,409822,T
986605541,3398,28,808724,1313,7353,865,2794,410164,T
360557623,3521,9,531671,1357,4212,1731,4172,410448,T
494773036,3286,78,699918,1021,31109,1298,2938,409977,T
837375418,453,7,18120,972,5184,2163,3836,410016,T
085060315,1263,1,17682,860,14978,432,4280,410249,T
336702874,2569,59,244055,2063,57774,432,4196,410216,T
520992881,1256,1,259992,4992,40442,865,2856,409923,T
567426049,1412,12,244276,2032,13045,432,3948,410536,T
318393207,1399,1,327366,1644,12255,2163,2173,409907,T
947641602,2481,23,342378,1330,7353,1298,2791,410053,F
411103011,4717,33,976419,3643,7777,2163,4069,409999,T
