userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
998792136,1487,45,90707,947,892,1298,3541,410418,T
292235145,2702,48,156716,947,40442,2163,2591,410540,F
493768687,408,2,30192,947,1271,2163,3778,410482,T
605642328,2713,38,208901,947,21285,1298,3931,410577,F
929476830,377,1,36946,947,1813,2163,2449,410561,T
696856911,2501,31,212585,947,36765,2163,4030,409920,F
930797380,3407,97,81768,947,1225,2163,2773,410561,T
035665677,2474,44,150914,947,33702,1731,2961,410556,F
536845461,3414,121,194598,947,2084,1298,4336,410210,T
932030713,2626,52,207454,947,22468,1731,2627,410060,F
884997542,3404,107,333592,947,8253,1298,2342,410338,T
680269004,2738,36,134162,947,44936,2163,3526,410492,F
875573798,3254,135,279844,947,1296,1298,4083,410490,T
299215235,2755,50,82650,947,57774,2163,2088,409839,F
440328169,3317,111,328383,947,3087,865,2653,410541,T
943542625,2557,36,171319,947,26961,1298,4050,410415,F
826995883,1475,1,119475,947,1470,865,3944,410387,T
756726850,2495,30,194610,947,23789,1731,2727,410452,F
331304912,1263,35,83358,947,1055,1731,2661,409930,T
285197803,2631,27,65775,947,17583,2163,3537,410616,F
327812028,1353,25,104181,947,2848,865,2485,410258,T
969373952,2663,49,237007,947,31109,2163,1974,410613,F
355557121,3220,129,305900,947,3779,432,2712,409883,T
647935315,2474,41,89064,947,25276,1298,2136,410162,F
959816338,1460,15,108040,947,896,865,3015,409629,T
232002589,2656,37,265600,947,28887,2163,2473,410058,F
125031579,3463,79,297818,947,1503,432,3589,409788,T
772669863,2685,51,260445,947,36765,2163,3220,409667,F
174836756,1234,30,99954,947,1275,2163,4344,409850,T
697066155,2622,27,162564,947,20221,1731,2715,409994,F
861449439,3230,96,119510,947,851,1731,2986,410201,T
471017508,2605,24,156300,947,25276,2163,3836,409799,F
953304937,3254,90,240796,947,867,865,4024,409705,T
457426282,2589,39,233010,947,33702,1731,1842,410410,F
810698031,3325,109,305900,947,1221,1731,3320,409911,T
360344202,2657,41,151449,947,26961,865,4139,409902,F
626698280,3481,91,153164,947,1271,1731,2076,410271,T
776980825,2530,33,166980,947,28887,1298,3550,410387,F
417373091,1458,17,141426,947,3926,1731,3279,410124,T
410128696,2510,45,225900,947,50553,432,2680,410113,F
709575597,1465,49,39555,947,1348,1298,3991,410213,T
114055893,2705,39,86560,947,40442,1298,3557,409826,F
121286641,1411,50,134045,947,1963,865,3440,410534,T
547249776,2751,31,211827,947,40442,1731,3342,410074,F
311043061,3434,126,78982,947,873,432,2424,410603,T
