userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
499881328,3663,46,142857,3013,39482,1086,4042,818320,T
784253834,2399,18,230304,3013,2163,271,4488,817440,F
640730232,1762,83,59908,3013,2539,1086,3493,817676,T
579528214,2213,19,163762,3013,4200,814,3399,817514,F
277675638,3620,71,300460,3013,3948,271,5395,818208,T
698823584,2225,21,189125,3013,5600,271,4365,817934,F
258880316,19,39,646,3013,1836,543,6299,817795,T
704055393,2358,41,75456,3013,5408,271,4263,817588,F
895167253,16,45,560,3013,1940,1086,2700,818155,T
423947028,2284,31,164448,3013,2175,543,4437,818055,F
096189753,1739,109,119991,3013,16115,543,4221,817998,T
538924168,2405,21,197210,3013,2957,543,5006,817724,F
872128464,17,12,442,3013,1750,1086,4931,818181,T
228916181,2356,19,61256,3013,1862,543,4331,817588,F
770933342,1861,109,89328,3013,2169,1357,2886,818260,T
170233010,2425,51,232800,3013,2236,271,4577,817660,F
992259200,10,49,460,3013,2452,271,5509,817704,T
547178157,2349,50,126846,3013,2820,271,4823,817993,F
914575237,3737,48,373700,3013,3448,1357,3606,817519,T
403371106,2412,21,139896,3013,13160,271,3526,817703,F
506724230,3552,74,266400,3013,15185,1357,6426,817895,T
864133326,2361,22,96801,3013,2336,543,4283,818155,F
311094695,232,24,12992,3013,2614,1086,5694,818038,T
952563163,2340,27,81900,3013,3778,271,5516,818324,F
088734684,1772,143,131128,3013,5680,271,3540,817703,T
512236343,2394,55,47880,3013,1683,271,4159,818019,F
151179007,2334,7,140040,3013,5299,271,3048,818084,T
642541885,2430,29,235710,3013,1806,543,3624,818287,F
927211646,1699,160,73057,3013,7311,814,3712,818032,T
240121049,2348,14,105660,3013,19259,814,3225,818149,F
883597939,239,7,9799,3013,1645,1357,3415,818003,T
820807142,2372,57,187388,3013,2315,271,5525,818211,F
416260137,3669,78,165105,3013,2288,814,5779,817862,T
011739792,2374,49,173302,3013,1782,271,4075,818002,F
910060811,1736,100,52080,3013,7050,271,4890,817585,T
516513873,2299,26,73568,3013,1645,543,2731,817523,F
836142154,7,47,672,3013,2761,271,4344,817966,T
537911274,2192,27,98640,3013,2761,271,5749,817626,F
264733483,2388,23,169548,3013,46450,271,4153,817427,F
397614283,3576,72,232440,3013,2295,1357,2774,817823,T
617692334,1935,58,174150,3013,3037,1357,4263,818226,T
597723971,2333,14,174975,3013,3403,271,3396,818289,F
590327583,1785,102,137445,3013,1747,1086,4516,817546,T
521468757,2267,15,108816,3013,7896,271,4617,817612,F
263418106,164,1,6560,3013,4844,814,5728,818303,T
497150360,2470,24,212420,3013,2580,543,2957,818074,F
167520644,15,1,420,3013,10255,543,3060,817380,T
886596039,2359,34,108514,3013,3689,271,4875,818030,F
148199494,79,6,6873,3013,2072,814,5406,817951,T
322676082,2254,24,119462,3013,8677,543,3422,817547,F
938521776,78,1,7800,3013,3889,1086,3115,817765,T
728295218,2250,28,222750,3013,11612,543,4755,817473,F
179233049,2002,58,144144,3013,10255,1357,4732,818076,T
999500659,2327,13,181506,3013,9995,814,3057,817699,F
423543553,3659,26,274425,3013,1614,814,3297,817815,T
004761121,2296,57,169904,3013,4049,271,4129,818104,F
180118327,3700,62,162800,3013,29246,1357,2971,817932,T
812041940,2318,31,122854,3013,1758,271,3629,818038,F
432804650,1859,68,107822,3013,5229,814,2933,817635,T
605821842,2381,30,114288,3013,2175,271,3584,818176,F
511368041,77,36,6853,3013,2946,814,6098,817858,T
975631577,2292,23,48132,3013,6749,543,4236,817721,F
643462296,3659,33,289061,3013,2751,814,4974,817731,T
148024567,2327,18,100061,3013,1916,814,2690,818268,F
437837608,3472,38,239568,3013,2145,543,6016,817594,T
242204697,2454,36,230676,3013,4728,271,4962,817484,F
671303179,54,11,3942,3013,1631,1086,4813,818061,T
904544761,2203,40,96932,3013,1925,543,3122,817915,F
757352130,3520,64,119680,3013,1802,543,6064,817553,T
720808248,2379,40,159393,3013,5522,543,3192,817947,F
342824764,2244,48,224400,3013,5264,271,2829,818022,F
719717078,14,45,364,3013,2139,814,4553,817991,T
898117074,35,50,1400,3013,2459,1086,3146,818268,T
231899546,2207,27,134627,3013,6988,543,4129,817610,F
022328534,2462,3,103404,3013,5371,271,3308,817594,T
289100572,2308,49,161560,3013,16115,271,2707,817841,F
202740008,200,36,6800,3013,4291,543,4891,817527,T
203077418,2248,16,74184,3013,3557,543,4626,817941,F
565435994,13,1,845,3013,2157,1086,4594,817840,T
624564967,2384,43,216944,3013,3889,543,2792,817630,F
032650880,3549,45,230685,3013,4008,814,2769,817492,T
168374967,2176,15,115328,3013,1823,543,2878,818117,F
238995728,1688,140,151920,3013,2157,1086,3672,817600,T
643035083,2246,38,190910,3013,4156,271,5458,817620,F
296481814,101,12,4040,3013,6526,814,4666,817500,T
049776731,2347,25,49287,3013,2078,543,3332,817798,F
635087913,3545,62,326140,3013,2072,543,5431,817457,T
984025648,2383,25,204938,3013,2056,271,4916,817697,F
113096122,3493,65,338821,3013,3605,1357,4923,818058,T
173240704,2311,25,228789,3013,4268,543,2794,817912,F
245181579,1524,160,102108,3013,2288,1086,3200,818142,T
649508886,2307,25,108429,3013,29246,271,4269,817785,F
400012761,3568,88,199808,3013,4814,543,6024,818300,T
225447222,2400,46,168000,3013,10671,271,3438,818024,F
306895349,1663,99,96454,3013,1624,271,4364,817882,T
709178827,2470,17,83980,3013,3276,543,3588,818041,F
273530840,3547,69,258931,3013,1999,543,5067,817583,T
459224142,2355,41,103620,3013,2790,271,2977,817783,F
546511784,2427,44,48540,3013,27229,271,4288,817711,F
578992623,1924,85,103896,3013,2407,1086,4762,818275,T
