userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
347975480,2204,15,454024,4926,14343,220,1259,497377,T
175791621,2190,23,413910,2300,6502,1102,1853,497013,T
336677135,2050,14,448950,1840,28687,220,1640,497646,F
021655807,2195,3,28535,1358,44335,1102,1797,497611,F
442897685,4890,86,669930,4354,6173,881,1753,497607,T
720287655,5051,60,944537,1773,5027,881,1311,497630,T
740833642,2215,23,423065,1393,7866,1102,1760,497217,F
949632848,2082,1,229020,3933,7171,440,1485,497053,T
500328953,4867,65,691114,1681,19507,881,908,496938,T
817542468,2186,10,544314,1062,12192,881,2693,497368,F
618674230,3212,41,160600,1338,1982,122,598,163921,T
668845090,4916,71,1096268,1328,9201,1102,2122,497227,T
752766333,3207,56,561225,1847,4926,220,1305,497247,T
228308988,667,1,57362,3810,7171,1102,1182,497018,T
726093583,2160,12,330480,2120,5188,440,1388,497590,F
824105023,2063,10,441482,1568,5080,220,1450,497498,F
320695807,2205,1,434385,1847,7620,1102,1329,496909,F
951554467,2228,13,423320,1664,5541,1102,1777,497228,F
850637387,2091,21,363834,1935,10160,1102,1115,497210,F
204348482,587,13,100964,2786,15732,1102,1751,497046,T
180729852,3262,48,231602,1990,11894,881,1104,497793,T
301050381,2075,16,473100,1377,7502,661,1389,496925,F
859972377,3182,44,60458,1434,9031,440,1589,497273,T
776054628,691,1,169295,1240,16256,881,1291,497430,T
694604898,3227,55,232344,6967,5418,220,932,497420,T
405643755,641,11,40383,1473,5188,881,1705,497469,T
926321695,2188,28,28444,1468,28687,440,1588,497805,F
377401966,691,21,7601,1528,10837,881,2753,497004,T
752386109,2049,29,413898,2724,28687,1102,2246,497413,T
677260502,2114,30,460852,1748,15240,220,1778,497260,F
560224553,2043,15,367740,1147,12504,440,2727,497735,F
634685467,2204,18,328396,3585,27094,661,1461,497395,T
741884911,2179,12,440158,2268,27094,661,1326,497904,T
031765141,5016,76,1123584,1460,13180,661,2191,497881,T
679433537,2174,26,173920,1081,7994,220,2406,496939,F
758937302,2147,1,96615,2139,12504,881,2644,497238,F
709468703,5050,57,1206950,1833,11611,440,1290,497354,T
056869619,2151,1,230157,1792,9952,220,2360,497835,F
211812105,2153,31,27989,4828,8265,661,1060,497737,T
290164222,2186,23,63394,2438,5188,440,2279,497267,T
495596553,5046,77,1049568,1098,12504,881,1703,497087,T
201506308,593,1,80055,4393,10837,1102,2149,496978,T
200150903,3128,60,131376,1003,6173,220,1387,497067,F
408014049,531,1,84429,6590,6333,1102,1709,497577,T
715271473,2229,21,267480,1139,13934,881,1511,497375,F
722897110,2122,1,275860,1681,12192,1102,2200,497208,F
442757260,2226,1,420714,2084,6590,881,1375,496968,F
729752419,2131,4,451772,2755,48769,1102,1186,497541,T
364239596,4959,79,1066185,1172,37514,440,2229,497783,T
232154078,2129,3,510960,1273,13180,440,2399,497266,F
743357243,2042,24,24504,1178,16256,440,2124,496932,F
619395859,2165,1,372380,2186,5805,220,2191,497900,T
038706314,2041,11,322478,2257,14343,440,2336,497389,T
900276384,4912,80,962752,2709,7866,1102,2275,497256,T
270596290,2113,18,204961,4204,5188,1102,1402,497057,T
680160442,571,15,92502,2111,8867,1102,1172,497438,T
585138403,4943,56,657419,2679,34835,661,1001,497227,T
113704893,3250,43,169000,1216,5188,1102,1185,497364,F
674021539,5018,61,130468,5244,54188,661,2244,497375,T
965075264,2208,17,324576,3029,6173,1102,1556,496979,T
416961881,607,1,27922,1362,22167,1102,1885,497196,T
791694452,2049,1,383163,2015,30480,440,2008,497041,F
352822762,3200,33,185600,1354,13180,220,1878,497286,T
601792811,3133,57,169182,1373,12192,881,1199,497520,T
810363399,2057,15,20570,1362,81282,881,2635,497356,F
278735149,2103,11,229227,3086,69670,881,2176,497115,T
784977464,2065,28,431585,2023,8867,440,1225,497132,F
925327921,692,1,96188,1642,5737,881,2237,497350,T
051434971,5021,53,657751,5805,5479,661,1955,497206,T
905110597,3150,39,229950,1792,10837,881,1398,497625,T
729929412,3221,61,360752,5737,12192,220,1506,497619,T
627578999,3268,42,316996,981,12834,220,2689,497543,F
544408157,2191,32,363706,2226,6096,661,2232,497585,T
777501249,3282,21,157536,1358,4926,220,1849,497715,T
430327258,709,13,12762,3106,7866,1102,2172,497827,T
150488100,657,1,105777,3639,9952,1102,2443,497714,T
643540223,4965,87,1072440,1578,15732,1102,2728,497018,T
674190042,5041,84,826724,1413,5479,1102,1783,497620,T
370045033,4917,62,1165329,3410,6252,440,1725,497379,T
472337419,580,11,36540,1081,48769,1102,1616,497728,T
885933781,2214,10,336528,3029,6417,661,2634,497355,T
499115495,2061,19,490518,1237,28687,220,2338,497188,F
333410051,3175,41,339725,1189,13547,1102,1399,497399,F
375375500,2087,24,118959,1100,17417,1102,1290,497914,F
895694478,589,1,18259,1854,25668,1102,1356,497222,T
917572702,2235,1,424650,1434,24384,440,1779,497641,F
923274390,2191,20,151179,4240,22167,220,1011,497447,T
261757254,3303,41,231210,1935,20320,661,1414,496947,T
898374251,2077,1,292857,1055,10837,1102,1203,497403,F
111703214,2078,7,72730,1339,10837,881,1780,497115,F
175775263,3232,42,48480,1578,6252,440,1130,496981,T
667185421,5009,81,1247241,1210,5133,661,1711,497745,T
055742853,2202,10,495450,4278,15732,881,1687,497421,T
593679639,3123,37,268578,1091,5605,440,1379,497907,F
188380402,5014,76,967702,1460,34835,881,1845,497813,T
287417784,694,1,115898,1389,9031,881,2254,497577,T
534803511,2188,1,354456,1062,40641,881,1547,497860,F
125039460,2043,18,153225,1280,8265,220,2129,496925,F
021591599,5005,54,945945,4393,48769,1102,2578,497128,T
212748529,3156,59,201984,3901,12504,440,887,497028,T
002076029,2083,1,374940,1558,4876,220,2233,496912,F
097864053,2219,30,130921,4926,60961,220,2516,497851,T
220716927,2052,4,350892,4098,7741,440,1481,496923,T
743945468,4996,49,1164068,5670,16256,220,2243,497693,T
847459687,2042,20,67386,2475,6020,220,2321,497580,T
510917638,3273,55,114555,1086,12834,220,1037,497007,F
193578950,547,1,127451,4557,5605,1102,1469,497539,T
037858618,2176,8,230656,2973,7389,661,2069,496962,T
665509710,2063,1,107276,1421,12192,440,2122,497694,F
904991327,2196,14,377712,5947,28687,440,1066,497395,T
251989266,4934,59,720364,5188,13180,661,1978,497895,T
613002116,2069,31,335178,1055,5188,220,1897,497373,F
988098704,4936,53,1179704,6173,5541,440,883,497508,T
253804785,5027,60,1121021,1055,9562,881,1905,497391,T
641048588,2195,8,228280,989,9562,881,1614,497914,F
721618410,531,1,89739,1314,5027,881,2430,497795,T
167608049,2101,2,195393,1158,13547,440,1991,497750,F
261338767,2091,4,144279,5359,5027,220,843,497512,T
508327531,2155,25,527975,3126,7620,1102,1572,497229,T
271701063,4915,59,1155025,5133,9952,440,2712,497064,T
848135824,2208,19,545376,6333,7171,1102,1236,497476,T
163876931,653,24,131253,3340,6333,1102,1416,497328,T
877086970,5006,75,180216,6173,20320,661,1799,497792,T
705901756,2104,3,431320,2333,8867,440,2234,497881,T
935369872,4935,85,1115310,3751,14343,661,1333,497458,T
454483041,2048,11,473088,1183,9031,440,1338,497870,F
581831377,2115,14,281295,3751,19507,1102,1927,497890,T
498086252,2057,11,220099,2852,16816,440,2058,497183,T
802864872,3253,54,357830,1362,40641,881,1399,497152,T
753066941,2089,1,353041,1604,16816,881,1482,497875,F
676078045,2232,6,154008,1131,7389,440,2040,497860,F
490922667,2149,25,479227,1250,9952,440,1763,497238,F
389513840,3305,48,228045,1409,6333,220,2548,497572,T
393294279,4898,78,1008988,5479,44335,1102,1479,497281,T
829916423,2126,29,312522,2300,9031,1102,1688,497797,T
844144002,2159,7,375666,6502,6590,881,1382,497779,T
844404893,5038,52,1138588,1405,6773,881,1182,497046,T
480191016,661,1,18508,3251,11894,1102,1528,497831,T
032403246,4904,58,970992,1998,23223,440,1510,497288,T
639082684,2190,1,289080,4515,34835,881,2133,497857,T
589676612,2073,1,296439,6333,15732,440,2049,497294,T
821781267,3171,52,700791,1172,16816,220,1478,497027,F
601518564,2235,26,73755,2216,7741,661,1957,497507,T
242386834,713,9,125488,1741,81282,1102,1741,497367,T
811009400,2128,29,304304,3251,16816,220,1879,497479,T
916890318,2042,10,392064,1505,19507,881,2506,497512,F
286339986,2204,17,330600,2093,6502,881,1712,497492,F
176185238,2039,3,222251,1060,9031,661,2500,497756,F
939672678,701,1,63090,5133,6590,1102,1112,497889,T
941402948,2118,1,188502,1681,6967,220,1705,497696,F
328077441,3304,40,33040,1180,7389,220,2295,497430,F
526935524,2045,1,415135,2500,60961,881,2320,497771,T
519217723,4896,79,905760,1270,8265,1102,1771,497287,T
937818707,2144,10,261568,4976,5359,881,1722,496958,T
473752049,2058,28,98784,1110,6252,661,1137,496939,F
071033200,2136,23,207192,1343,10602,220,1768,497825,F
007876824,4872,78,609000,6096,14778,1102,2063,497085,T
186161028,630,1,82530,1442,8408,1102,1270,497174,T
495427814,2113,12,266238,1812,5737,1102,2112,497474,F
543591608,2123,24,159225,2257,5359,220,2085,497685,T
965112096,2119,17,478894,1192,7620,220,2444,497541,F
331155936,2190,1,223380,1020,5479,661,2146,497828,F
765642631,2151,26,275328,3840,5541,1102,1855,497126,T
596252930,4906,56,1143098,2920,13547,881,2166,497033,T
783433593,3249,31,230679,1882,17417,220,1425,497820,T
284188551,532,1,44688,1563,30480,1102,1671,497468,T
298718635,4905,66,559170,6680,8708,661,1772,497030,T
115613687,4991,72,1202831,2066,12834,220,1965,497801,T
771006087,2163,13,205485,2526,5541,1102,1669,496939,T
015651727,2232,24,140616,2120,5359,1102,2077,497465,F
918722900,2150,1,500950,2920,28687,1102,2171,497445,T
058482377,5033,53,161056,5244,7994,881,1386,497260,T
941617875,2190,3,229950,1717,69670,1102,1112,497209,F
306466796,4990,70,1192610,4433,25668,661,2079,497304,T
724671005,2123,9,57321,3010,7620,661,2047,497897,T
615779229,2105,26,368375,2500,5541,1102,2200,497360,T
280344175,2158,19,388440,1389,13547,220,2169,497799,F
666087162,673,1,88163,1687,7741,1102,2270,496949,T
295502881,2193,28,315792,1417,12834,881,1858,497409,F
104752959,2130,4,153360,1028,6252,1102,2168,497519,F
025759071,3260,32,524860,1381,24384,220,1106,497672,T
360855540,2147,1,388607,1664,11341,1102,1820,497730,F
768731930,2106,33,507546,1076,5418,440,1055,496939,F
671974995,2217,21,532080,1369,7866,220,2197,496992,F
741391902,2059,30,337676,4474,5605,1102,1112,497352,T
633965553,2173,19,230338,1500,6773,661,1491,497760,F
527614348,2170,1,141050,1314,6020,1102,1918,497912,F
968629130,2192,1,504160,1754,14778,1102,1612,497179,F
044967252,2162,8,307004,2438,11894,440,1492,497845,T
687292424,570,15,120270,1123,15240,881,1197,497910,T
998994041,4997,67,1149310,985,16816,881,1554,497823,T
806039669,2176,20,298112,1213,8556,440,1653,497628,F
430480222,584,8,44384,1413,5670,1102,1582,497249,T
516914593,2154,3,269250,1442,8708,1102,2258,497227,F
522519981,2094,18,186366,6252,6096,1102,1825,497859,T
348773163,2143,4,141438,1103,22167,661,2099,497257,F
803063356,2087,13,192004,1430,13180,440,2098,497567,F
768646080,669,12,107709,2426,11083,1102,1112,497148,T
044497859,3300,47,85800,2367,23223,440,986,497802,T
826935309,2191,3,249774,2937,5244,440,2273,497879,T
945275811,2192,17,539232,4098,6417,881,2267,497177,T
748375175,2146,8,452806,1717,27094,220,1342,497274,F
695855787,2192,1,70144,6020,7171,440,1193,497037,T
999788476,603,1,142308,2278,4876,1102,1750,497610,T
649974368,5005,66,1061060,1105,10376,881,2033,497860,T
073588446,3131,41,588628,1280,8408,220,1338,497240,T
845489405,5011,65,836837,2709,5359,1102,1215,497183,T
028150276,2118,6,368532,1405,69670,1102,1112,497067,F
259549058,525,1,96075,2770,8867,1102,1395,497339,T
641551471,2097,16,109044,5737,11083,881,1712,497592,T
322703336,549,1,127917,1350,15732,1102,2730,497410,T
541950663,2098,17,226584,1240,8408,661,2468,497864,F
052723742,2147,1,343520,1528,10160,881,1918,496955,F
861140392,2075,2,321625,1468,5479,661,1503,496998,F
759036361,2185,15,495995,3559,5188,1102,2751,497655,T
605283643,4876,69,253552,3166,97538,661,1463,497341,T
686700249,2088,23,467712,999,5418,440,1590,497678,F
148645908,2233,1,207669,1377,5188,661,1882,497590,F
977105068,711,1,9954,1350,7502,881,1524,497307,T
416722351,4889,81,1041357,1509,10837,440,1326,497126,T
531433262,4995,67,1138860,2129,16816,881,2259,496939,T
722116870,2159,27,155448,1219,4926,440,2142,497208,F
541705769,5048,66,903592,1401,5027,881,2017,497485,T
752220529,3239,45,641322,1064,6590,220,1531,497805,F
744425491,3193,45,383160,3273,25668,220,1253,496918,T
867283869,708,1,73632,2566,5541,1102,1276,497357,T
586486110,2100,1,409500,3187,4976,220,1843,496993,T
309621110,4956,53,897036,2991,27094,1102,1278,496957,T
