userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
835328262,2323,1,181194,2257,979,661,1387,497643,T
718036546,3271,43,278035,2257,1028,1102,1131,497831,F
701099159,2128,19,53200,2257,1460,440,1712,497497,T
047251459,3224,49,122512,2257,1350,1102,1298,497425,F
381724998,655,48,59605,2257,2186,1102,2254,497476,T
804356970,3252,68,143088,2257,2852,1102,1371,497627,F
806712249,555,48,33855,2257,1588,1102,2494,497233,T
429075343,3205,66,118585,2257,4644,1102,1459,497101,F
870821680,2086,12,43806,2257,4030,661,1524,497711,T
682136542,3234,52,84084,2257,3810,1102,1285,496929,F
370021380,2070,23,161460,2257,1076,881,1766,497563,T
577372559,3335,90,163415,2257,2102,1102,1097,497622,F
921295932,2044,51,77672,2257,2032,440,2315,497631,T
642148907,3127,79,134461,2257,1280,1102,1329,497533,F
701859560,2049,34,90156,2257,2032,220,1468,496974,T
954141896,3204,41,118548,2257,1046,1102,1123,497452,F
458327998,2122,46,199468,2257,2868,881,1223,497366,T
147808730,3302,84,72644,2257,3126,1102,1446,497480,F
242520250,795,1,76320,2257,19507,1102,2015,497842,T
516784058,3335,66,243455,2257,1064,1102,1386,497872,F
979832206,640,25,28800,2257,1001,1102,2217,496929,T
305690543,3199,56,220731,2257,2075,1102,1500,497471,F
992684250,2218,62,115336,2257,1031,440,1792,497196,T
676779950,3119,86,268234,2257,4354,1102,918,497719,F
487490239,649,25,37642,2257,1369,1102,2108,497189,T
182379502,3252,90,295932,2257,2526,1102,1014,497587,F
766873265,2092,25,46024,2257,2664,220,1843,497065,T
700981842,3386,73,203160,2257,12504,1102,1335,497509,F
732373740,2237,13,152116,2257,1588,1102,1962,497912,T
725620490,3384,60,101520,2257,1905,1102,1365,497251,F
591309485,591,1,49644,2257,1256,881,2481,497143,T
457315961,3261,60,182616,2257,2257,1102,966,497066,F
079953903,2156,12,118580,2257,1328,1102,1488,496974,T
233470057,3144,85,110040,2257,1389,1102,1173,497177,F
593396339,3159,74,101088,2257,1237,661,1274,497608,T
071634924,3263,66,150098,2257,1642,1102,1246,497175,F
193794899,2135,2,130235,2257,1460,881,1774,497434,T
710947621,3237,80,87399,2257,989,1102,1334,497630,F
919321313,2125,6,61625,2257,3386,661,2559,497023,T
102949420,3122,41,171710,2257,1675,1102,1376,497498,F
562637546,2109,19,181374,2257,1210,661,2059,496962,T
829059404,3371,56,74162,2257,5133,1102,1570,497890,F
598565138,3309,67,79416,2257,1169,661,1224,497173,T
844310589,3139,67,144394,2257,1260,1102,918,497622,F
099023396,2045,63,204500,2257,1397,440,1881,497041,T
063475812,3174,65,123786,2257,2868,1102,1627,497743,F
909540408,2338,37,210420,2257,1260,220,2264,497635,T
572229509,3304,77,181720,2257,975,1102,1560,496944,F
099107460,2333,6,179641,2257,1100,661,2309,497259,T
454621750,3322,54,96338,2257,1071,1102,1591,497347,F
526329171,2288,32,176176,2257,1675,1102,1720,497166,T
014702322,3216,86,209040,2257,1358,1102,1371,497305,F
157518774,2161,11,138304,2257,5805,881,1909,497006,T
457240629,3174,53,180918,2257,3901,1102,1486,496950,F
113286293,3272,82,222496,2257,15732,220,1369,497470,T
454140771,3191,86,165932,2257,81282,1102,1213,496987,F
974141256,3170,35,177520,2257,3458,220,2101,497122,T
258165934,3241,53,213906,2257,1533,1102,1539,497038,F
848685035,2116,28,188324,2257,1064,440,894,497125,T
641805720,3381,77,77763,2257,3029,1102,1571,497093,F
610810294,2081,28,79078,2257,2709,1102,2625,497118,T
119708430,3373,43,80952,2257,1819,1102,1637,497004,F
824808158,3115,76,183785,2257,2622,440,1396,497866,T
480705137,3172,55,139568,2257,1578,1102,1681,496970,F
351768451,3116,37,152684,2257,1186,1102,1279,497435,F
931065949,2225,59,198025,2257,1786,881,1893,497100,T
012321804,2209,33,218691,2257,1110,1102,1678,497782,T
886931017,3380,82,165620,2257,1699,1102,1562,497379,F
522175632,2310,63,113190,2257,2973,1102,2540,497304,T
166996158,3206,55,64120,2257,2066,1102,1445,497340,F
140500654,2336,41,151840,2257,4132,440,1033,497727,T
469474935,3237,60,97110,2257,1336,1102,1593,497661,F
801682722,2188,16,50324,2257,1833,661,1806,497092,T
993976844,3285,66,154395,2257,1131,1102,1052,497221,F
987732529,3284,83,200324,2257,3363,220,1528,497111,T
083048533,3229,68,235717,2257,1477,1102,857,497083,F
770380607,628,13,33912,2257,4828,1102,2244,497092,T
224886480,3249,73,100719,2257,1642,1102,1031,497862,F
420348562,2266,43,113300,2257,5670,881,2460,497443,T
129886641,3219,75,141636,2257,4644,1102,1312,497455,F
303132020,2208,12,189888,2257,1905,220,2060,497598,T
148407292,3133,80,72059,2257,1438,1102,868,497343,F
145636616,2048,51,112640,2257,3751,440,1091,497266,T
007553510,3200,44,236800,2257,2937,1102,1002,497174,F
287078453,2321,25,113729,2257,3317,661,1723,497906,T
820042008,3332,57,146608,2257,7866,1102,854,497262,F
726723557,2100,50,48300,2257,1491,881,2573,497125,T
435787715,3142,57,241934,2257,40641,1102,1227,497341,F
265038191,3210,44,253590,2257,5541,440,1040,497007,T
948546739,3409,70,221585,2257,1343,1102,1421,497875,F
691575290,801,1,60075,2257,991,1102,1460,497319,T
584016558,3297,66,234087,2257,5947,1102,846,497251,F
153840631,2053,7,104703,2257,1113,881,2192,497353,T
097649993,3158,59,78950,2257,1409,1102,1468,497467,F
918845422,3387,43,284508,2257,1397,1102,982,497290,F
097370457,2039,1,189627,2257,5737,661,2076,497350,T
442008257,2153,46,183005,2257,1067,1102,1000,497408,T
903618996,3347,88,97063,2257,1147,1102,936,497087,F
733613298,3181,74,238575,2257,1142,1102,1058,497641,F
161807781,562,1,37654,2257,15240,1102,1976,497755,T
