userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
281073888,159,1,8268,2717,24521,1517,4367,1005397,T
534467067,1364,1,319176,6495,12906,2528,4297,1005176,T
878091417,1928,25,190872,2132,14424,505,9076,1005412,F
237596293,1396,8,294556,2146,54492,2022,4097,1005931,T
124570736,4165,58,112455,2439,10546,2022,6352,1005703,T
779606756,1464,6,269376,2136,49042,2022,6540,1005665,T
150743389,4764,40,933744,2999,31640,1011,4072,1005363,T
862215476,241,15,48200,8106,18164,1517,6478,1005141,T
068823830,4124,80,936148,2476,22810,2022,6640,1005375,T
483366121,4663,27,65282,11539,98085,1011,6152,1005254,T
450664630,4146,55,903828,2281,14215,2022,8879,1005165,T
049213461,4194,44,104850,5055,23353,2022,4498,1005971,T
116649353,1482,2,168948,8242,11405,1011,8290,1005486,T
468304742,4117,50,411700,8242,20017,2528,8360,1005560,T
566309053,4808,15,1086608,2802,20017,505,7006,1005154,F
848450493,180,1,12240,9253,10778,1011,8818,1005598,T
288520170,1949,36,210492,8312,11961,505,8360,1005279,T
257134638,2089,22,242324,2136,32695,505,6259,1005718,F
498521348,1924,22,265512,3280,9907,505,6654,1005756,F
295633808,4122,47,585324,4069,36328,1517,6477,1005638,T
846055283,4723,35,146413,7006,14215,2528,4371,1005201,T
100902178,189,12,29673,3772,14012,2528,8481,1005634,T
104563849,2000,14,400000,2672,18506,1011,6560,1005167,F
253958881,2085,31,97995,3515,36328,505,5001,1005621,F
865875651,256,1,28672,13814,22810,1517,8913,1006023,T
134195860,4134,61,380328,2363,17515,2528,8887,1005285,T
417785375,158,1,39026,13078,25150,2528,4029,1005357,T
591526034,4046,67,538118,4784,12738,2528,8176,1006038,T
025307271,4760,50,694960,11539,11817,505,4602,1005539,T
449423098,2020,17,240380,2665,15820,505,8366,1005415,F
939313970,4042,76,970080,5389,108984,2528,7054,1005561,T
844457499,1401,14,350250,2476,46707,1517,4567,1005333,T
093084760,157,1,18369,2249,12575,2022,6193,1005792,T
165745809,2002,20,332332,6453,11405,2022,4369,1005565,T
045140746,1378,1,275600,3715,54492,2528,4844,1005535,T
047995036,120,8,9120,2495,13254,505,8113,1005469,T
576214403,1384,25,251888,3194,17833,2022,4194,1005855,T
