userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
684200155,4258,92,85160,1989,5217,2528,4009,1005841,T
595927817,1944,26,73872,1989,2534,505,4014,1005426,F
706010237,4771,75,333970,1989,3892,1011,6771,1005941,T
276375328,1995,17,59850,1989,57697,505,8396,1005178,F
821636440,4669,95,186760,1989,4104,2528,4674,1005570,T
259881472,2153,22,122721,1989,22810,505,6442,1005624,F
012739633,4715,78,386630,1989,5082,2022,4153,1005815,T
112130196,1914,23,172260,1989,2802,505,8582,1005448,F
041233861,4745,61,194545,1989,2329,1517,6502,1005888,T
949678059,2025,29,78975,1989,2409,505,6832,1005694,F
806789700,4229,82,384839,1989,8916,1517,6370,1005626,T
195620057,2084,15,208400,1989,2313,505,8717,1005602,F
145766363,1556,13,59128,1989,2515,1517,4386,1005628,T
902987017,2174,23,141310,1989,6907,505,4587,1005245,F
871084998,4162,111,133184,1989,3632,1517,8976,1005931,T
966121144,1968,24,47232,1989,5273,505,9012,1005321,F
153082783,1551,1,60489,1989,2972,1011,4961,1005376,T
175765871,2166,15,194940,1989,3772,505,4568,1005507,F
994699653,219,1,19053,1989,2843,2022,6977,1006004,T
968705909,1982,17,166488,1989,122607,505,4090,1005471,F
201501317,152,43,10944,1989,5769,2022,8143,1005148,T
629307449,2118,19,52950,1989,6627,505,4991,1006099,F
155246607,264,32,10824,1989,12415,2528,4681,1005951,T
969021155,2206,28,187510,1989,2404,505,6139,1005873,F
663459279,4923,39,413532,1989,6453,1011,6120,1005525,T
925357429,2080,20,166400,1989,20434,505,8659,1006052,F
994129451,170,10,13940,1989,2086,2022,4977,1006002,T
366576886,2015,26,191425,1989,4499,505,8898,1006137,F
104157649,4124,107,119596,1989,16347,1517,6607,1005923,T
208526957,2017,22,189598,1989,11676,505,8168,1005367,F
933951429,4673,76,247669,1989,3046,1517,4047,1005224,T
681534739,2192,22,105216,1989,12260,505,6677,1005824,F
354847335,4684,92,459032,1989,3008,1011,6085,1005835,T
792029338,1956,22,68460,1989,5838,505,6392,1006022,F
262508111,2061,18,113355,1989,3055,505,8044,1005502,F
622547471,4814,87,207002,1989,5873,1517,6853,1005969,T
785491562,4276,61,94072,1989,5479,1517,6759,1005195,T
938836319,2137,27,91891,1989,2249,505,6265,1005562,F
276024713,346,15,17992,1989,7159,2528,4578,1005263,T
414586508,2182,25,189834,1989,2574,505,6407,1005702,F
807049374,1753,39,117451,1989,54492,505,6662,1005785,T
232523267,1952,24,40992,1989,2275,505,4567,1005613,F
665852838,4916,60,457188,1989,2199,1011,4135,1005202,T
646470695,2143,19,98578,1989,2239,505,6227,1006081,F
242049687,4120,58,218360,1989,2056,2022,4296,1005587,T
281959948,2208,18,130272,1989,5004,505,8483,1006020,F
844862221,4035,92,399465,1989,2963,1011,8472,1005797,T
055520429,1927,25,131036,1989,2170,505,4528,1005736,F
647729245,4299,60,262239,1989,3153,2528,8925,1006123,T
001000716,1954,29,111378,1989,3987,505,6025,1005442,F
434682752,4878,94,409752,1989,5803,2022,4842,1005280,T
778010393,2067,26,155025,1989,2794,505,4795,1005442,F
106921262,4768,41,214560,1989,37725,1517,6671,1005353,T
536597435,2155,26,49565,1989,2658,505,4789,1005590,F
372271055,71,1,5893,1989,10217,1517,4414,1005706,T
189955649,2004,19,58116,1989,2265,505,6769,1005747,F
698412438,4137,69,173754,1989,3729,1517,8136,1005549,T
060223575,1954,27,175860,1989,5541,505,6597,1005327,F
045355073,4288,108,360192,1989,11146,2022,8731,1005794,T
348620680,2044,23,81760,1989,1997,505,4546,1005309,F
773755861,4838,40,338660,1989,2307,505,8759,1005769,T
832971266,2189,29,65670,1989,3646,505,4081,1006137,F
345612194,4024,83,104624,1989,2146,2022,6188,1005650,T
435347578,2111,17,189990,1989,5108,505,8616,1005885,F
700534172,282,11,7896,1989,46707,2528,6690,1005617,T
134471259,1984,19,142848,1989,140122,505,4834,1006095,F
938524028,1578,26,157800,1989,12738,1517,8227,1006137,T
477166492,2074,22,105774,1989,57697,505,8408,1005753,F
997955611,1545,8,63345,1989,12575,1011,4448,1005595,T
066693632,2044,19,136948,1989,2802,505,4194,1005162,F
496224458,4764,94,181032,1989,6410,505,8282,1006101,T
107755457,2162,29,142692,1989,4928,505,8587,1005834,F
533055134,1327,35,132700,1989,2717,505,8986,1005992,T
847348868,1998,19,41958,1989,2146,505,4162,1005592,F
338008416,4742,35,469458,1989,2239,1011,4694,1005177,T
646307917,1957,19,58710,1989,2064,505,8689,1005942,F
253988784,1491,2,114807,1989,8106,1011,4303,1005678,T
352107469,2026,16,196522,1989,3490,505,6601,1005780,F
386764651,1854,30,181692,1989,7430,505,4673,1005144,T
984637433,2158,18,118690,1989,5573,505,6198,1005849,F
221854507,4870,56,423690,1989,2439,1011,4970,1005700,T
659188626,2059,27,150307,1989,2204,505,6833,1005129,F
236491796,1313,32,105040,1989,2851,1517,7051,1005276,T
172067172,1932,26,173880,1989,2034,505,6283,1005316,F
903712013,4855,99,135940,1989,6453,1011,7051,1005736,T
931292460,1960,23,160720,1989,2380,505,6826,1005541,F
475849216,4173,99,233688,1989,5604,2528,4763,1006076,T
856078575,1978,29,185932,1989,5944,505,4331,1005336,F
802981371,4746,54,460362,1989,16911,505,4909,1005585,T
