userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
415795930,4647,97,371760,3842,8130,1282,2708,798415,T
661890087,4573,100,681377,2006,9194,320,1351,797962,F
219891347,2313,18,138780,5987,9902,320,1493,797891,T
566425987,2372,16,422216,6081,19804,1282,2131,798431,T
787767240,1659,3,237237,2609,13316,1282,3353,797933,T
292288437,2439,1,126828,5477,8776,320,3377,798206,T
439062556,4579,99,435005,2016,20325,1282,2157,798333,F
650171255,3458,14,200564,10162,9654,1602,2524,797634,T
464601453,4618,102,1149882,1720,9194,1602,1825,798433,F
809608620,4700,65,343100,2768,16790,961,2246,797812,T
874585804,3607,37,284953,4001,19804,1282,2094,797982,T
390433665,1708,24,49532,1751,16433,1602,3181,798506,T
917235764,4672,84,392448,2483,48273,1282,2056,798099,T
253804039,4696,94,1014336,4220,21454,961,1965,797992,T
313956937,4641,71,273819,2163,20325,320,3425,797598,T
619243717,2360,1,153400,7355,20875,320,1496,797993,T
536568691,2412,33,402804,2245,7962,320,3094,798279,F
937962008,4721,81,1109435,1779,8678,641,1452,798428,F
064987154,4675,81,626450,1950,11527,641,2670,798272,F
391317331,4553,90,1138250,3402,7801,641,2395,797602,T
820269412,4589,95,247806,5183,24915,961,3191,798569,T
650971146,3532,22,70640,5290,9535,641,1867,797993,T
724731881,4565,74,1077340,1779,19309,641,1493,798285,F
015358087,2363,25,531675,4543,9776,320,2034,798366,T
072158429,2387,1,322245,3329,55169,320,2527,798144,T
488312809,4720,82,736320,3823,12259,641,2029,798016,T
662437678,4612,93,133748,5401,20875,961,2880,797925,T
589834630,3268,35,748372,1727,16091,1602,3271,798276,T
251773111,3632,15,301456,2574,8877,320,3537,798444,T
752927355,1644,1,169332,2238,77237,641,2772,798149,T
201539047,1626,8,60162,272,683,674,3440,61111,F
733564228,1725,13,132825,1779,8130,320,3436,798356,T
064289192,4598,97,758670,7647,30895,641,2616,798524,T
329951642,4656,75,218832,3767,10580,1282,1906,797871,T
029820772,2290,17,45800,3609,12259,320,2737,798557,T
470122585,4725,102,519750,1843,7881,641,2212,797677,F
128614044,3604,10,320756,1735,15144,961,3287,798149,T
692337279,3255,21,719355,1619,15762,1602,2498,797632,T
206785336,3599,34,374296,1727,14573,961,1935,797946,T
900883969,1592,1,49352,2110,8877,641,2252,798234,T
895082455,4597,85,514864,2133,25745,1602,2026,798348,T
409382867,2347,15,452971,3494,9535,1282,2084,797632,T
399088046,1574,19,66108,1980,7962,1602,2628,797894,T
292566238,2311,11,80885,6228,17553,320,2768,798419,T
712911410,4543,98,77231,6034,59413,320,2865,797744,T
840566274,1529,12,88682,2232,70215,1282,3325,798356,T
104337584,1658,19,76268,9086,24136,1282,2900,797993,T
178850303,4536,98,480816,1661,17163,961,3564,798306,F
725811583,4550,72,737100,8877,51491,1282,1900,797727,T
219098781,3595,26,406235,9535,10580,1602,2597,797680,T
331869071,4585,70,1137080,6775,8877,1282,2036,797879,T
189961132,2487,1,470043,1926,10162,641,1558,798246,F
760559729,4709,78,56508,2788,19804,641,2639,797578,T
424000231,4609,88,1133814,2903,25745,1602,3159,797706,T
080311273,2301,16,526929,3017,9902,641,1747,797936,T
170160838,4710,103,65940,1547,20325,961,1804,797737,F
915025226,3463,36,363615,1813,15762,1602,2175,798069,T
404965284,4657,83,838260,2391,11193,320,1941,798220,T
466920102,2467,27,199827,6490,19804,641,1637,798204,T
740552941,2407,1,404376,5218,38618,641,2602,798045,T
337497331,4555,69,473720,5401,12872,641,2752,798109,T
823566214,3623,27,239118,1573,110339,641,2842,798069,T
845125725,4710,90,956130,3417,8487,641,1852,797653,T
507105406,4552,92,250360,2181,18838,1282,2261,797582,T
691778195,1713,1,25695,2483,9535,1282,2527,797824,T
008564908,2418,15,345774,8981,35107,961,1466,798413,T
626404872,3375,30,627750,2903,8216,1602,2609,798433,T
702944973,4558,87,227900,2475,9654,320,1508,798161,T
787363479,3597,43,161865,1708,8581,961,1994,797656,T
561949164,3481,43,459492,6330,7801,1282,1686,797954,T
564858028,1689,1,70938,5851,7962,1602,2814,798067,T
420471839,4542,87,81756,2059,20875,641,1895,797882,T
753658929,4661,90,177118,1861,12457,1602,2667,798002,F
908024938,4708,68,1106380,1975,7881,961,3450,798184,F
716746031,2487,14,179064,6896,11527,320,1964,798183,T
096444018,4618,79,106214,6279,7962,1602,2523,798316,T
646384642,4570,76,754050,1893,32182,320,3539,797689,F
475929560,3546,6,478710,1800,8305,1282,2005,798163,T
704440649,4635,86,64890,2451,22716,641,2307,798375,T
618825585,4683,78,472983,3017,40651,641,2855,797652,T
122019662,4709,92,306085,5477,35107,641,3195,797856,T
544768402,4556,75,1070660,3695,24915,1282,1840,798292,T
826972559,4617,96,960336,5596,7801,1282,2433,798567,T
587548898,3624,8,293544,1582,110339,320,2635,797589,T
724984010,4555,78,327960,1950,10878,961,1601,798035,F
373356076,4672,84,383104,2116,14043,1282,2997,798216,T
540804254,2317,30,118167,4043,20875,320,1382,797942,T
423216239,2413,36,526034,8395,22716,320,2785,797688,T
592997249,2334,9,273078,4797,70215,961,1548,797572,T
449271040,3447,29,220608,2729,20875,1602,2750,797580,T
744029939,1678,20,258412,1675,12457,641,2994,797666,T
387506713,4543,89,604219,1686,32182,1282,3326,798478,F
117380354,4574,97,224126,3494,128729,320,1494,798223,T
942566433,2298,7,514752,7021,8581,641,3086,797767,T
438643408,1579,1,88424,1693,12661,320,3199,797699,T
631620377,4665,99,447840,2333,27584,961,2150,797657,T
017492038,3520,26,80960,2936,8877,641,1516,797826,T
509003149,4676,68,1140944,1945,8776,961,2533,797816,F
917520879,4591,79,1060521,3114,8305,1602,2265,798555,T
429370052,4669,98,65366,5439,8305,641,2278,798580,T
635315877,4552,69,974128,5637,9194,1602,1935,797977,T
353760795,3589,20,39479,1664,8776,961,3220,797601,T
641825408,3643,7,451732,4314,11193,961,1469,798323,T
090581153,1609,23,56315,3127,15144,1602,3462,798047,T
566622400,4600,81,970600,4001,42909,961,2644,798047,T
807733445,4688,72,623504,1675,8130,320,2096,797686,F
