userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
127727663,4714,133,320552,2491,1615,1602,2949,798016,T
872961912,2465,18,140505,2491,3575,320,1414,797749,F
725561019,3615,37,144600,2491,2054,961,1249,797832,T
567232997,2398,30,155870,2491,3343,320,1434,798385,F
206583786,1711,22,148857,2491,2081,641,3292,798531,T
787972406,2475,1,225225,2491,4220,320,1836,798516,F
723927900,1538,37,50754,2491,6490,961,3395,797813,T
963885055,2574,50,252252,2491,8395,320,3004,798519,F
564835324,3550,42,195250,2491,3609,641,1357,798481,T
592831031,2428,7,230660,2491,3387,320,2097,798289,F
404554820,2415,15,202860,2491,1701,641,2030,797642,F
194187577,3511,69,273858,2491,1847,1282,2306,797894,T
743388016,4624,84,453152,2491,1582,1282,3420,798468,T
225547774,2443,52,80619,2491,2428,320,2142,797589,F
348717261,3604,33,252280,2491,5115,1602,2274,797994,T
017585139,2388,54,81192,2491,3767,320,2924,798030,F
883116976,1666,42,119952,2491,22716,320,3362,798219,T
521189781,2324,1,218456,2491,3417,320,1557,798364,F
069803645,4717,120,448115,2491,1589,1282,2953,797932,T
625170042,2348,27,49308,2491,1731,320,2467,798465,F
118933939,4577,104,109848,2491,2145,961,2512,797855,T
786919699,2446,30,183450,2491,2451,641,1287,797909,F
645017379,4617,112,318573,2491,3286,1282,1633,797711,T
640136698,2331,61,214452,2491,7572,961,1248,797670,F
493779684,4555,68,337070,2491,2181,961,2026,798061,T
487653484,2535,23,144495,2491,1950,320,1481,798522,F
386386556,3707,9,122331,2491,1970,641,1345,798388,T
495495167,2342,41,215464,2491,4043,320,3219,797984,F
006678351,3679,54,364221,2491,2011,1282,1761,798201,T
675427856,2296,5,112504,2491,6330,320,2659,798209,F
008363014,4797,89,263835,2491,2839,961,2573,798341,T
998502283,2290,27,50380,2491,1883,961,1288,798120,F
955841611,4785,116,248820,2491,1945,1602,2712,797653,T
769027770,2422,2,123522,2491,1585,641,2265,798377,F
280425584,3569,61,182019,2491,1668,1602,1420,798536,T
524463883,2507,17,77717,2491,5596,320,2997,797757,F
154609331,3672,26,190944,2491,10162,1602,1249,798372,T
308228730,2408,54,142072,2491,4043,320,1830,798325,F
050133702,3596,14,323640,2491,2104,1282,2701,797619,T
043486232,2461,63,206724,2491,10298,641,1440,798244,F
482960158,4608,108,377856,2491,6383,1282,2171,798147,T
667677702,2402,55,240200,2491,1779,641,1738,797939,F
679895978,4816,112,298592,2491,1935,320,3040,797908,T
814536282,2539,59,147262,2491,1739,320,2114,798137,F
867521149,1632,21,62016,2491,9194,961,3447,797902,T
450478976,2450,2,208250,2491,1557,641,1381,797936,F
