userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
459935339,2341,56,400311,1167,7153,1011,6033,474829,T
319444330,2994,43,389220,1220,76302,2528,8562,474897,T
210328208,3352,19,680456,2034,5386,2022,6048,475287,T
944442098,2867,27,341173,1136,38151,505,10597,474538,T
658566516,2439,58,180486,1111,11166,1517,5426,475346,T
540836702,2349,35,180873,2090,4671,505,10206,474765,T
416684479,2874,47,324762,917,9537,2528,10418,474900,T
822241896,2695,261,288365,3946,6104,505,5557,475529,T
274287235,1517,20,251822,1334,5722,1517,5819,475236,T
480741461,2614,277,653500,1201,9740,505,7660,475403,F
907353076,1006,62,145870,2201,5945,505,5056,474781,T
100557513,2623,257,472140,2791,41619,2022,7675,475124,T
551167156,2954,50,478548,1237,16956,2528,8261,475163,T
649089018,2449,47,301227,1282,25434,505,5750,474697,T
851992666,2766,269,445326,1338,5450,2528,5176,474781,T
242086298,2818,30,518512,3722,5583,2022,10183,474715,T
938955637,170,15,35360,2725,8804,505,8444,475023,T
393171046,2473,53,618250,6023,4671,505,10589,474980,T
544955420,2879,58,618985,1111,4870,2022,5841,474705,T
783554871,2637,291,648702,2843,50868,1011,8323,474753,T
745921647,2347,65,110309,1584,5030,1517,5982,475458,T
522230715,2394,67,378252,4239,7153,1517,5274,474606,T
785194188,2417,70,282789,1271,14306,1517,5985,474549,T
884735216,2673,259,644193,1182,9952,1011,5082,475006,F
248054850,2485,61,581490,915,11738,505,10925,474765,T
897140483,2744,286,460992,6448,15260,1011,5189,475416,T
852793857,2812,262,542716,2255,5515,2528,10185,475065,T
861941598,1029,52,103929,2474,9537,505,5824,475351,T
869566047,2863,52,280574,1408,25434,1517,10893,474854,T
844397187,2874,38,456966,1296,24095,1517,7940,474889,T
454539446,1420,7,150520,585,3961,1332,2864,155926,T
511194733,2786,284,671426,1108,10646,505,5047,474949,F
753819027,2944,50,406272,2190,10404,2528,5275,475044,T
480087048,2629,256,531058,1217,4671,2528,8492,474737,F
513020423,2828,30,302596,1453,6540,1517,10125,474977,T
688739344,2770,252,542920,2708,11445,1517,8346,475373,T
244083715,2988,49,35856,2791,12717,2022,10942,474868,T
838577072,1483,4,186858,1186,5386,1011,7773,475115,T
134622140,2678,264,530244,2515,11445,1517,10628,475160,T
564290840,4289,9,1055094,4768,41619,505,7779,475129,T
540075793,2864,38,492608,1876,6448,1517,7760,474973,T
762153232,1504,11,372992,3879,5030,2022,5138,475059,T
681292868,2978,27,378206,3879,5262,2528,8328,474820,T
996202604,1404,12,35100,1031,10900,2022,8143,474542,T
261398317,1491,1,65604,2347,13080,1011,5471,474656,T
835486261,1380,9,45540,4719,76302,1517,8493,475325,T
509454849,2830,29,517890,1220,12373,2528,5027,474548,T
819383972,2687,261,217647,1268,7759,2022,7675,474706,F
963947815,2775,264,407925,3317,8478,2022,10097,475403,T
539259377,153,1,36108,959,20809,505,10605,474974,T
586439004,1377,1,125307,1689,10173,2022,5444,474668,T
139933435,2632,254,321104,3270,38151,1517,10117,474583,T
584433645,2982,61,635166,4532,4819,1517,8078,475259,T
560426859,3066,23,558012,5386,9156,505,8167,475142,T
045231005,2993,66,155636,2396,5652,1011,10898,475345,T
337154409,2758,255,397152,1781,6448,1517,10646,475018,T
643526971,77,1,13167,1026,11166,505,8556,474951,T
861047939,3417,1,854250,1300,19075,1011,5925,474605,T
850568357,2614,284,582922,1156,4922,2022,10689,474673,F
021386402,180,1,37080,1362,8031,505,5152,475112,T
211190109,4244,32,988852,3980,22890,1517,8140,475228,T
925397267,2946,65,55974,2879,18312,1517,7620,474831,T
229950298,1336,22,229792,1057,5086,1011,10273,474952,T
420840819,101,9,24240,999,38151,505,8214,475173,T
629001860,2956,49,688748,1111,12373,1517,8226,474652,T
565886933,2991,41,544362,1453,5795,2528,10325,475382,T
705686035,2884,57,230720,1003,14768,2528,6041,474726,T
437811435,2884,31,282632,4922,5323,2528,5185,475410,T
449481915,170,1,37230,1237,5515,505,10183,474867,T
118408556,2487,52,109428,3011,57226,1011,5130,474929,T
333151614,3259,10,472555,2211,41619,1517,5647,474829,T
919627315,2970,52,314820,993,6104,2022,10921,474826,T
006999029,3014,51,409904,2255,6104,2022,10170,474993,T
721020916,2824,50,556328,1595,4922,2528,5776,475243,T
097156813,1428,7,52836,2529,20809,1517,5390,474672,T
337247327,119,1,22134,1809,18312,505,5949,474547,T
589083488,3026,1,72624,4087,5086,505,8245,474982,T
994165613,2780,261,403100,4015,10900,1517,5507,475465,T
179237372,2407,54,252735,6448,6540,2022,5336,474611,T
700108110,2659,256,659432,1211,7266,1011,7842,475475,F
522767712,2974,62,386620,1116,15786,2528,5729,475420,T
685336177,2656,277,520576,2741,50868,505,10708,474676,T
933586392,2907,53,450585,1161,4768,2022,5605,474923,T
215166869,2524,72,381124,1100,10173,505,10546,474555,T
926912172,2412,46,108540,1754,4719,1517,5124,474970,T
840361299,2867,51,587735,4239,38151,505,10268,474863,T
068324087,1494,1,250992,2359,16350,2022,5965,474612,T
289444874,1454,9,347506,1204,50868,2022,5133,475438,T
733461347,2782,276,639860,1079,5869,505,5558,474702,F
619478465,2732,262,30052,1074,5323,2022,8262,475456,F
139503547,1388,2,245676,1629,6936,1011,10429,474626,T
806192337,2662,288,535062,2422,21800,1011,8399,475377,T
267704561,2748,273,299532,1008,19904,2528,7633,475384,F
812094730,1433,2,88846,2312,5945,1517,7632,475473,T
812570739,139,1,32943,4870,38151,505,5852,475462,T
830964645,2340,49,484380,2043,7153,1011,8108,475075,T
184309292,212,17,11024,6540,13080,505,10931,475260,T
001227986,2377,62,347042,1557,41619,505,8466,474538,T
254294153,2641,279,39615,1546,12373,2022,10207,474705,T
678004928,1377,1,264384,4015,5323,2022,5925,474871,T
786865654,2858,57,105746,1192,10173,1011,10841,474729,T
570714365,2797,270,506257,1931,5143,505,10497,474780,T
193856986,2459,59,341801,1714,8804,1011,6021,475184,T
110432149,2826,67,517158,1133,7384,1517,10509,475224,T
731849453,2361,63,578445,2757,5722,1011,5678,475224,T
638854137,2811,289,427272,1727,7505,2528,5373,474569,T
590516379,978,47,171150,2100,5869,505,5109,475371,T
877210069,2714,268,526516,1227,5869,1011,10635,475492,F
707918629,1414,1,113120,1676,20809,1011,7665,475183,T
264012470,2848,35,205056,2934,7043,2528,5420,475497,T
608252627,3392,27,678400,1072,9537,1011,8072,475139,T
164824551,2616,284,196200,982,5143,2022,5700,474892,F
888031858,2775,254,94350,1047,25434,2022,8052,474550,F
371396172,2382,38,421614,1915,5202,505,5200,474862,T
755922598,2673,264,392931,945,7759,1011,5886,475348,F
729369872,3390,9,772920,1740,28613,505,7547,475274,T
635757090,205,13,6560,3783,5262,505,6052,475428,T
210818139,2682,279,565902,1727,14768,505,5395,474762,T
732466987,1504,24,90240,978,6271,1011,7770,475453,T
427520609,1421,6,93786,5583,8804,1011,5714,474758,T
705448294,2644,258,187724,1546,65401,2528,5342,475298,T
362447650,2436,44,380016,3011,7505,1011,5620,475536,T
456182998,2516,69,37740,1831,8637,2022,5513,474954,T
853805644,2957,31,233603,1853,45781,2528,11039,474735,T
531243089,2618,252,60214,1907,57226,1517,5055,475182,T
389306799,2638,273,622568,990,9156,1011,10691,474822,F
364450156,3299,36,781863,1201,7505,1011,7900,474732,T
568951854,2884,61,585452,1747,6186,1517,10841,475089,T
906593152,3050,26,506300,4360,35216,505,10514,474985,T
156846186,3012,63,530112,926,8031,2022,7778,475187,T
951104094,1042,43,163594,4278,5386,1011,5534,475278,T
950688520,2826,64,378684,2233,7153,2528,7999,475308,T
435860358,2678,260,514176,928,9343,1517,7702,475507,F
998533889,4423,29,1012867,4870,6634,2528,5603,475271,T
412427874,2432,49,491264,1362,5795,505,8224,474621,T
100561778,1021,76,83722,4360,7505,1011,10131,475284,T
262102188,1329,8,99675,1426,4768,505,10726,474876,T
096298880,2432,35,437760,1387,5722,1011,5453,475195,T
644443996,2474,37,569020,1047,9343,1011,5827,475176,T
187602976,2989,45,660569,3442,7630,2022,10201,475385,T
194394931,1438,7,115040,4870,57226,2528,5341,475479,T
348392675,118,1,19824,2557,6936,505,5894,475021,T
462478393,2400,57,525600,1092,7266,1011,7565,475079,T
069097046,2474,62,470060,3135,4578,1517,5887,474556,T
389380139,2400,55,316800,3692,5086,1011,7874,474715,T
683621674,2401,64,528220,1350,22890,505,7545,474649,T
183607284,2821,31,595231,1435,11738,2528,10071,475145,T
093897074,2460,51,526440,1795,20809,1011,5739,474984,T
139858102,2392,50,514280,930,6732,505,8370,475325,T
028969780,2666,273,517204,1472,11166,1011,10447,475395,T
597923331,2791,286,633557,5450,9156,2528,5820,475074,T
584463680,2936,32,387552,1646,9952,1011,10559,474814,T
392549554,2721,260,152376,3815,9952,2022,7643,474594,T
776099867,2416,38,115968,1334,5202,505,8183,474863,T
894379519,2656,259,634784,6540,21800,2528,7888,475409,T
036644512,980,67,138180,2435,6936,505,5256,475252,T
856915408,1376,1,34400,1981,41619,1517,7710,474555,T
576639045,2500,57,295000,2501,8323,1517,8489,475395,T
773529476,1477,8,163947,3879,8804,1011,10602,475189,T
323673408,1440,16,40320,942,5583,1517,10981,475051,T
984707855,179,18,26850,1268,5652,505,8427,475386,T
042030648,2614,279,44438,1293,7384,1517,8427,474764,F
521312300,2880,64,120960,1179,4578,2022,10579,475340,T
966036038,2960,47,734080,2139,7266,1011,10924,475295,T
224470413,2704,273,662480,2277,8976,505,10502,475419,T
084715303,2769,261,656253,1923,13465,2528,5358,475378,T
932037189,3423,6,824943,1119,13873,2022,5033,474836,T
022915496,147,16,27342,2359,7153,505,5531,475304,T
926760132,1077,66,176628,5722,8175,505,8169,475165,T
181481566,2686,265,499596,3722,25434,1011,5175,474695,T
704846472,1375,1,177375,2090,5262,1517,7863,474841,T
351530105,2959,29,106524,1233,4922,1011,11027,475306,T
618228849,2724,281,78996,1531,22890,1011,10534,474913,T
388877287,3342,33,728556,1354,7759,1517,8155,475347,T
433846723,2829,36,376257,999,6448,1517,8349,475478,T
709046616,2963,53,711120,1170,16350,2528,11067,475269,T
838953197,1462,6,29240,1354,4976,1011,8278,475383,T
301112907,2637,252,514215,951,11445,505,8032,474797,F
418722975,3335,2,610305,3815,76302,1011,5720,474660,T
249822892,2967,62,729882,1130,17608,2022,6048,475053,T
363131790,2913,45,425298,2861,8031,2528,5910,475354,T
430410498,2888,37,560272,1721,5202,2528,5068,475179,T
158160084,2397,41,328389,1045,10173,1011,5346,474978,T
581560280,1421,1,147784,2359,5583,1011,5710,475131,T
006468133,2453,46,588720,1006,10173,1011,7626,475198,T
857350733,3048,22,82296,2953,20809,1011,5740,475529,T
775874643,2696,263,272296,2190,5450,1517,10500,475478,T
649191543,2834,47,620646,1144,7043,1011,11082,474673,T
944639973,2749,275,222669,993,19075,505,11048,475459,F
840306260,1367,1,154471,1079,13465,2022,5213,475030,T
205330619,2673,259,141669,1021,4922,1011,5674,475255,F
579804829,2918,30,674058,1105,4624,2022,10689,475089,T
841430689,951,75,98904,6023,20809,1011,5804,474951,T
133925797,2892,65,433800,1233,15786,2528,10382,475117,T
128540914,2933,66,481012,1378,9740,2022,10075,474588,T
691561907,3440,17,698320,2233,19904,1011,10365,475358,T
388904388,3274,29,703910,1084,5515,1517,7588,475235,T
826670709,2781,289,111240,2992,8323,2528,5951,475187,T
374489877,2990,30,603980,2693,7505,2022,8385,474940,T
964771446,2752,260,440320,1453,8031,505,7982,474775,T
542296288,2632,256,560616,4671,13465,1011,8305,474724,T
402773510,2722,274,506292,1031,5143,505,8006,474550,F
555420371,2921,48,721487,3157,4819,2528,7680,474564,T
404419821,1000,71,178000,3093,10173,505,5040,475186,T
076706879,4351,23,1031187,1973,12373,1517,8029,475347,F
664784735,2674,289,256704,1015,13873,1517,10109,474900,F
141747905,2751,276,404397,1781,6186,1011,5871,474880,T
698740965,1511,1,84616,1578,13873,1011,8208,474706,T
739511066,2505,48,270540,1956,6936,1011,5519,475107,T
461522897,2956,51,245348,2808,7043,1011,10817,475351,T
806334965,2981,42,655820,2289,9740,1517,8568,475083,T
228842242,1404,1,287820,972,5143,1011,8345,475429,T
111800384,3344,18,715616,1506,13502,970,2589,731129,F
139469823,2498,66,72442,3468,9537,505,10768,475211,T
590771951,2890,56,37570,1045,4922,1011,10299,474667,T
299164190,2993,54,155636,1853,5030,2022,10695,474658,T
371913739,2641,289,517636,1754,57226,1517,5732,474636,T
281814920,2643,281,441381,1147,7505,2528,5592,474845,F
006651217,3036,12,379500,2409,19075,505,5260,474717,F
218594761,2371,45,512136,2233,5722,2022,5507,475213,T
649773130,2684,288,83204,2741,13080,2022,7624,474624,T
417887239,2633,290,587159,1189,12717,2528,8527,474843,F
335232966,2438,59,117024,2992,5450,1011,7592,475426,T
376253346,2682,268,128736,1161,6271,1517,11017,475143,F
129769717,4368,34,716352,4015,10900,2022,6001,475402,T
800931675,3427,8,664838,2100,5262,2022,5150,475130,T
260812222,2800,272,78400,1891,14768,1011,10760,475146,T
311791368,2704,272,67600,930,4578,2022,7764,474534,F
931936310,2971,27,701156,1052,6358,2022,8062,475527,T
643805422,2656,265,154048,1271,6936,1517,10442,475114,F
734292519,4423,20,871331,1069,4671,2022,5800,475106,F
956119310,2656,269,523232,1573,12717,1517,10595,474817,T
120289510,2350,50,307850,1391,8478,1517,5491,475057,T
044239096,2614,286,535870,2661,9343,1517,8253,475238,T
764621581,2848,55,219296,1876,19904,2528,5717,475237,T
414119875,90,1,19530,2034,21800,505,8409,475157,T
158668207,72,1,3312,1973,5202,505,8433,474699,T
608063264,2474,57,321620,1439,14306,1517,5686,474880,T
967333216,2756,276,658684,3946,28613,1011,10416,475099,T
057983785,51,1,9945,2861,20809,505,10998,474586,T
791038852,2963,46,121483,1064,91562,1517,7793,475111,T
003252798,2657,275,95652,1192,6448,1517,10199,474963,F
814795415,168,1,37296,5323,5450,505,10623,474563,T
548037331,3421,34,608938,2335,10900,1517,5489,475096,T
404142916,107,18,17013,1311,8031,505,10261,475478,T
387770417,2420,70,401720,1578,5450,1011,10361,475110,T
434958699,2735,262,604435,3548,19904,505,5703,475297,T
600937126,2361,69,191241,1413,8478,505,5329,475301,T
544416781,2985,26,635805,5262,5262,505,7789,475473,T
436078673,2795,275,100620,2586,15260,2528,5452,474613,T
251794398,2797,287,539821,3135,4870,1011,5319,474780,T
537905741,2704,277,213616,1006,57226,1011,8366,474932,F
922307031,2451,43,384807,1244,9343,505,8167,474911,T
447911176,208,2,30368,1159,5722,505,8022,474654,T
561280325,2831,62,707750,1130,7630,2022,10593,475020,T
256401018,2437,38,126724,1600,7266,505,7927,475312,T
183583566,1322,21,251180,2180,14306,2022,5651,475516,T
566078165,1378,1,26182,1362,7384,1011,5477,475320,T
620999225,1464,11,219600,4087,6104,1517,8093,475450,T
351825135,2731,253,226673,978,6104,1517,5647,475161,F
934307678,4334,23,1079166,2447,19270,1800,3885,1101244,T
369271749,2628,289,354780,2372,11166,1517,6042,474713,T
671544159,2800,277,655200,1444,7505,2528,10717,475059,T
117547991,2699,270,40485,5323,13873,2022,5743,475036,T
466727095,2798,261,607166,1823,4819,505,10941,474757,T
851930444,931,80,128478,4239,15786,1011,8142,475268,T
299896190,2455,45,584290,2255,76302,1011,5401,475518,T
253937350,2731,272,565317,1664,50868,1011,8553,475069,T
680076814,2863,57,652764,1664,16956,2528,7928,474580,T
232833381,1327,1,78293,4318,5515,1011,10831,474635,T
500529382,2400,36,81600,1417,12373,1011,5725,475155,T
