userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
539433795,4985,428,204385,7652,27077,2229,2700,823209,T
726938518,4107,52,538017,3401,140802,1783,2767,823980,T
608882481,2500,5,512500,2263,10507,1337,4680,823575,T
426922338,5082,402,914760,2750,10057,1783,4948,823826,T
689277729,5067,427,258417,4372,10666,1783,4849,823877,T
915479169,3790,13,758000,2505,13283,1783,3295,823366,T
693753875,2483,31,355069,2278,27077,445,5563,823803,T
543300146,3789,30,469836,9263,44000,1783,3481,823746,T
288958864,5062,402,329030,2213,9386,1337,4910,823356,T
681486306,3636,39,563580,1738,7736,1337,2909,823694,T
468382972,4960,398,104160,1585,7570,1337,5891,823606,T
068262056,3152,49,157600,2101,23467,1337,3390,823372,T
912777124,360,4,26280,4141,17600,1783,4342,823290,T
838775971,211,9,29540,2470,7257,2229,3042,823703,T
183990959,191,4,24066,7183,8585,1337,4611,823460,T
797134236,237,18,11376,2046,8186,1337,5380,823662,T
489152929,84,15,13356,1578,39111,445,4389,823279,T
021634465,4439,27,1012092,1897,13804,445,4856,823882,T
939644251,4896,424,969408,1596,19027,445,4413,823220,T
168019170,2496,13,299520,1742,9386,445,2777,823627,T
142713712,4115,37,65840,1994,117335,891,4280,823986,F
771640070,202,1,4444,7736,15644,2229,4689,823309,T
090199685,5054,416,464968,2532,14666,445,4643,824150,T
764060657,5022,426,708102,1523,14666,2229,6235,824174,T
766273394,5049,436,610929,1491,30609,1783,4388,823702,T
549117197,2511,24,258633,2242,7652,891,5000,823649,T
212104095,4994,432,1163602,2626,33524,1783,6186,823275,T
627122544,337,15,54594,2017,11174,1783,2919,823708,T
436167536,2536,20,314464,7111,10830,1783,3140,823953,T
498862647,3788,32,738660,5818,8691,1337,6321,823586,T
634470781,370,25,82880,6970,19027,1783,5631,824055,T
634306766,3328,46,362752,7652,7489,1337,4627,823296,T
799470285,240,1,25440,2308,33524,2229,4797,824068,T
067173710,4975,401,497500,2427,11000,445,3301,824017,T
220136906,4918,425,604914,1648,30609,445,4264,823828,T
519890923,3655,20,559215,1867,21333,2229,5450,823393,T
031913971,264,13,38280,1786,100573,1783,5940,823228,T
678701709,253,1,35673,1928,9777,2229,3337,823878,T
370679377,3228,10,45192,2263,9777,1337,4192,824002,T
943411418,5042,407,549578,6970,7736,891,3575,824189,T
659454882,2668,10,317492,1603,7489,1337,3229,823224,T
720669347,3162,35,278256,1530,10830,1337,4022,824071,T
781916540,279,14,58590,1918,15644,1337,4488,823945,T
793368695,4335,38,971040,6902,7910,445,3182,823325,T
529542795,4991,413,249550,2017,140802,891,4628,823900,T
523090072,336,1,53424,1764,9513,2229,3345,823660,T
693584322,4404,49,867588,4512,7410,445,3987,823685,T
503999886,4911,436,1006755,10057,7410,1783,3969,823308,T
793716336,3712,22,575360,2114,27077,1337,4645,823210,T
703155821,3181,23,152688,4190,7910,2229,4591,824063,T
547693191,4923,403,876294,1633,8800,2229,4372,824140,T
572409299,4139,40,248340,9644,13804,445,5742,824007,T
600369648,208,3,13936,1419,16372,891,4779,823704,T
076372031,4915,396,550480,2206,28160,1783,2885,823418,T
024466956,4952,427,955736,3368,8282,445,5392,823250,T
914885274,345,23,76590,1828,7333,2229,3604,823676,T
678756975,163,14,26080,2011,8800,891,3039,823721,T
581322847,330,11,11220,3274,11541,2229,3566,823364,T
414860541,3273,12,232383,2793,12571,1337,4880,823520,T
682635446,2498,11,34972,1574,16762,445,4509,823423,T
701021930,2673,10,334125,2588,8092,1337,5461,823953,T
461964946,3682,7,843178,7910,24276,891,4388,823854,T
465707304,4138,51,293798,1721,19555,891,4018,823578,F
051969173,3808,38,693056,2656,50286,2229,5313,823431,T
369123450,123,17,29766,1633,10057,891,3248,824016,T
121169097,5086,402,55946,6970,27077,1783,3316,824097,T
901698395,4967,426,417228,4372,117335,891,5598,823920,T
521020543,3748,38,704624,1944,46934,891,5789,824103,T
726197852,2523,34,466755,3352,19555,1337,4990,823540,T
841785753,3809,24,613249,2394,46934,2229,3270,824132,T
314379014,377,4,13949,4455,8482,1337,6031,823756,T
463520010,2482,43,610572,2697,41412,891,5805,823968,T
757671296,2509,8,230828,1738,19555,445,3243,823353,T
617694624,5059,406,470487,1442,14080,445,5676,823570,T
949390037,2558,9,439976,1725,22000,891,3293,823718,T
931939718,5022,430,170748,2607,11355,1783,4893,823289,T
451558579,4273,33,602493,4822,44000,891,5496,823555,T
514932789,2555,8,447125,2271,17600,891,5948,823458,T
663153188,3638,18,69122,2588,26074,2229,4406,823202,T
167613941,2239,16,107472,1791,21333,445,3185,823407,T
262500910,4205,57,407885,3451,41412,445,6213,823663,T
086769623,5090,412,1063810,2179,18526,1337,4802,823998,T
161717215,3794,8,644980,2453,10666,1337,3191,823227,T
541715604,2598,31,532590,5415,7652,1337,4796,824071,T
279833011,2506,19,40096,2697,10057,1337,5530,823196,T
898968495,4198,30,205702,2945,140802,445,5621,823618,T
442255251,244,19,12200,1540,32000,891,4482,824126,T
478847688,321,12,74151,1637,11355,2229,4238,823747,T
957518252,3800,16,862600,2569,9777,1337,2633,823420,T
371856069,4949,412,796789,1867,8000,2229,5728,823930,T
069481813,2517,25,125850,4117,9386,445,5630,823324,T
496467626,2632,17,407960,9915,22710,445,3108,823801,T
391935571,3638,5,149158,2804,33524,1337,3982,824073,T
198301910,3806,1,902022,2052,11541,2229,3070,823838,T
582483657,4972,414,1123672,2089,9644,891,4298,823910,T
063850147,3631,7,315897,3847,10830,2229,3565,824081,T
