userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
695344528,3274,21,255372,1847,6285,1337,2694,823986,T
449063824,4103,31,86163,1847,2945,445,6336,823817,F
708983639,4162,38,287178,1847,5333,891,4481,823562,F
244317997,3332,24,269892,1847,3573,891,4627,823338,T
279053018,173,1,17300,1847,2793,445,3263,823597,T
814959526,4138,40,186210,1847,3185,445,4241,823225,F
382958230,250,36,19000,1847,4427,2229,3277,823743,T
147832715,4103,47,295416,1847,1955,445,4564,823586,F
862314376,3696,24,229152,1847,3805,1337,5935,824003,T
756929102,4267,85,149345,1847,3868,891,3241,823541,F
828013022,317,1,31066,1847,5064,1783,4067,823302,T
617832202,4156,79,344948,1847,58667,1783,3210,823848,F
796590666,3428,28,274240,1847,3401,1783,4322,823558,T
019138253,4380,37,275940,1847,1485,445,5469,823199,F
559240358,376,14,19552,1847,1918,2229,3380,823835,T
734384175,4244,87,335276,1847,1777,891,4039,823529,F
647701137,199,11,11741,1847,5214,2229,4557,823829,T
362263434,4308,32,176628,1847,6769,891,3110,823679,F
910250069,112,1,10864,1847,4022,445,4237,823597,T
255733725,4141,33,331280,1847,2478,891,3508,823739,F
881337487,5129,396,333385,1847,1777,891,4524,823486,T
523369656,4259,84,264058,1847,37053,445,4821,823796,F
467418385,4928,447,162624,1847,1838,891,3095,823251,T
737872709,4323,75,121044,1847,4022,445,3529,823677,F
192595881,5016,434,145464,1847,1571,891,6051,823437,T
669896216,4357,43,361631,1847,2505,445,4367,823392,F
576233649,5044,454,327860,1847,1872,891,6029,823466,T
166037443,4094,77,323426,1847,1966,891,3196,824141,F
734095449,4219,32,113913,1847,17171,445,2666,824023,F
261114657,3153,73,236475,1847,3451,1337,2785,823911,T
417639696,2716,26,73332,1847,7652,445,3288,823777,T
892573923,4098,36,94254,1847,2861,891,3101,823590,F
577554409,3323,75,109659,1847,1773,1337,5503,823242,T
858652202,4226,44,97198,1847,140802,445,4810,823723,F
113168334,3404,47,296148,1847,6285,1783,5366,823469,T
835551163,4322,68,86440,1847,1466,445,4626,823339,F
504209598,2701,65,191771,1847,13283,1337,3011,823293,T
494665589,4258,30,400252,1847,2419,1337,2977,823572,F
670801110,2561,29,122928,1847,33524,445,5519,823621,T
894314080,4368,51,227136,1847,1475,891,4031,823991,F
023470619,5020,443,235940,1847,1795,891,3503,823637,T
779869081,4248,76,322848,1847,1680,445,5764,823995,F
915357375,3363,23,70623,1847,2728,1337,3635,823441,T
941447544,4307,44,198122,1847,1425,445,4100,823403,F
232342512,3150,64,255150,1847,2861,1337,4912,823272,T
644245222,4340,20,143220,1847,2728,891,3456,823416,F
