userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
236557232,1422,35,91008,3701,6616,1475,2102,560121,T
808858154,185,3,6475,1608,9285,1475,1909,560488,T
901987107,3384,44,460224,1430,8401,1967,1977,560178,T
746655555,3363,27,659148,1770,6873,1475,1959,560776,T
160053327,3298,22,181390,2092,52928,1967,2866,560622,T
232343036,1488,42,208320,1806,6083,1967,2050,560494,T
859697184,1471,129,14710,2673,48116,1967,2318,560380,T
444105613,259,15,23569,1967,5691,491,1284,560653,T
132519217,2546,11,463372,5292,15567,491,1682,560405,T
846395870,3256,26,719576,1242,12601,2458,2468,560532,F
196793484,1399,116,125910,4725,18902,2458,2468,560763,T
408148037,3345,28,652275,1758,5691,983,1659,560613,T
558913770,1431,31,187461,2117,7057,1967,1977,560599,T
996116894,1376,109,312352,3308,12601,2458,2468,559944,T
899079332,1403,99,129076,4602,13232,1967,2416,559976,T
782184044,250,1,19750,1067,16540,1475,1799,560656,T
161069068,1497,131,85329,1269,23012,983,1462,560660,T
327857980,3330,45,176490,2973,8970,2458,2468,560258,F
134272956,1508,124,200564,2291,18902,2458,2468,559985,T
457288442,1441,102,208945,2205,5292,1967,2673,560189,T
413457669,1466,128,275608,1534,6616,2458,2468,560053,T
891905795,3290,46,200690,1680,18251,1475,1617,560168,T
127622187,2539,32,573814,4447,15122,983,2119,560234,T
786236028,3401,36,547561,1213,66160,2458,2468,560557,F
278734991,3397,8,587681,1396,6083,2458,2468,559896,F
537996102,1426,35,29946,1082,6454,1475,2129,560622,T
954511648,3214,28,504598,1529,12909,1475,1485,559983,T
126055129,1447,98,41963,2020,29404,1475,2008,560467,T
181681556,1330,37,42560,1628,33080,1475,2366,560234,T
427166526,3294,30,233874,1114,35285,1967,2531,559922,T
602259154,2400,25,482400,3949,17073,2458,2468,560158,T
680776262,3352,47,87152,1219,12308,491,1946,560190,T
917416647,3322,21,823856,2242,5400,1475,1485,560437,T
419264219,1411,114,42330,2205,31134,983,1911,560773,T
304113533,3339,23,253764,2496,6083,2458,2953,559984,F
358053431,1480,35,17760,1378,13928,1475,2545,559832,T
969552825,1379,30,172375,1333,8970,983,2496,560724,T
489531060,3396,22,176592,2990,11761,2458,2468,559848,F
873760298,1384,126,163312,1543,5456,1967,1977,560422,T
696596590,1351,12,60795,1071,6534,983,1367,560678,T
764938056,1447,103,202580,1173,9451,983,2838,560134,T
904707033,3301,21,706414,5292,23012,1967,2824,560270,T
521611923,2440,42,56120,6699,13571,983,1930,560223,T
791484718,3307,26,297630,1575,11026,2458,2468,559945,F
