userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
821220637,1467,35,33741,1140,1643,1967,2397,560620,T
336110247,3454,54,328130,1140,4268,2458,2099,559912,F
646042412,3477,39,309453,1140,1230,983,2726,560688,T
303833207,3286,38,108438,1140,1982,2458,1881,559946,F
587178240,1424,159,116768,1140,1266,491,2104,560405,T
157004240,171,1,12312,1140,3169,2458,1359,560801,F
804788698,3218,21,218824,1140,17642,983,2427,560815,T
699593982,3474,53,86850,1140,2281,2458,2424,560404,F
168907535,1568,126,112896,1140,26464,2458,1551,560136,T
449103972,3498,31,272844,1140,1776,2458,2929,560103,F
448595807,386,15,11580,1140,1060,491,1616,559833,T
581661578,3343,29,320928,1140,17073,2458,1166,560424,F
638134613,3246,7,210990,1140,1357,2458,2591,560310,F
566583664,1376,155,111456,1140,1876,983,1678,560745,T
370640451,1545,119,33990,1140,3979,983,1620,560014,T
717651139,3309,69,307737,1140,2178,2458,2490,560252,F
375844131,1434,35,45888,1140,1633,1475,2200,560352,T
218336993,3239,35,252642,1140,8270,2458,2461,560470,F
892792475,1573,10,70785,1140,5138,1967,2369,560221,T
822027707,3358,11,251850,1140,9801,2458,2269,560592,F
886491731,181,20,11584,1140,2581,491,1856,559986,T
506163513,3416,41,211792,1140,4642,2458,1949,560545,F
930256273,1507,33,114532,1140,1336,1475,2765,560568,T
519982128,3467,26,308563,1140,3227,2458,1603,560168,F
533628790,3279,23,327900,1140,1281,491,1485,560139,T
192869175,3415,42,211730,1140,4071,2458,2175,559980,F
505258086,1480,117,106560,1140,1071,491,1876,560681,T
679320551,3286,67,312170,1140,2301,2458,2101,560476,F
192972311,1504,50,117312,1140,1389,491,2349,560350,T
898450614,3399,7,217536,1140,4410,2458,1756,560607,F
527099483,3335,62,136735,1140,1357,983,2819,559984,T
453537717,3351,19,237921,1140,1735,2458,2072,560170,F
693866567,1389,121,52782,1140,1638,491,2413,560569,T
746266224,3255,27,87885,1140,27856,2458,2460,560048,F
128596115,1459,28,43770,1140,2281,1967,1919,560119,T
096198223,3327,7,173004,1140,1495,2458,2542,560381,F
