userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
096725847,4848,182,223008,8365,17861,1780,5160,672244,T
283506636,1866,220,156744,3117,7343,890,7373,672725,T
032098824,5005,211,185185,1830,41305,1780,6903,672154,T
850725252,3624,48,851640,5461,6956,890,5430,672933,T
144865705,1816,193,114408,2343,10834,445,4723,672972,T
066581200,1893,205,473250,4859,12709,2225,5149,672356,T
183605585,3665,80,454460,1468,13768,445,5004,673106,F
664726551,3786,41,181728,2302,12709,2225,6756,672982,T
340394602,239,1,15535,1643,31470,445,7067,672582,T
342230543,4851,182,620928,5848,82610,2225,5058,672580,T
550410457,324,1,41796,1698,13217,445,8965,672804,T
676181477,1982,202,63424,3424,11014,1335,9463,672464,T
799947005,3761,53,255748,3733,12238,1335,5071,672975,T
145974766,2985,612,641775,1581,14061,2225,6765,672546,T
491346573,4836,217,1025232,1569,9053,1780,7140,672321,F
999802281,3062,609,597090,1348,6608,2225,7670,672320,T
765915789,3094,604,445536,3798,7343,1335,5008,672962,T
317934918,1970,209,265950,2776,9178,890,5422,672330,T
500271500,3707,54,433719,2202,12016,1780,8860,672138,F
949753021,3755,69,431825,2601,30040,1335,7044,672454,T
932561120,2965,586,201620,2377,7962,1780,8897,672120,T
677664346,3669,69,425604,1677,8695,890,7308,672963,F
732847852,4979,181,965926,1388,60080,1780,6959,672104,F
449132214,2961,606,381969,2078,16945,890,7286,673000,T
459239899,4879,194,185402,2541,23602,1780,7517,672851,T
129329758,3019,587,69437,1481,110146,1335,9540,672606,T
332223577,4957,216,852604,1462,6956,2225,4795,673059,F
976561681,1977,212,405285,1932,10326,445,8962,672442,T
917784889,3679,75,732121,6884,12469,1780,4495,672854,F
028471214,1882,218,344406,4319,11014,890,9365,672259,T
840904872,1979,217,253312,6008,7262,1335,9558,672926,T
460722518,3736,43,810712,6294,8695,1335,8958,672182,T
947252919,2980,586,670500,2848,13217,1335,6889,672732,T
153432358,3807,41,186543,1452,17391,2225,9831,672193,T
766141210,328,1,48544,2484,19437,445,9733,672408,T
428487186,1885,190,163995,3534,132176,890,7372,672261,T
601924342,230,16,42550,1365,9718,445,4667,672671,T
316625813,1904,225,114240,3088,50836,1335,8975,672517,T
359625376,1863,198,22356,1566,7596,890,7372,672297,T
014460097,340,16,12240,1707,9178,445,7118,672675,T
021322544,3772,65,143336,4079,6813,890,5056,672292,T
281171148,1817,209,116288,1961,6743,890,7122,672106,T
972238143,3789,71,458469,1433,12016,2225,5052,673058,F
559016997,3674,47,220440,1498,8159,445,4873,672979,F
390330776,2941,580,652902,3733,50836,1335,7624,672888,T
814780807,1997,220,67898,9441,9308,1780,9184,672949,T
366021290,4900,184,847700,6008,14061,1335,8865,672597,T
413140463,1921,212,393805,2976,9441,445,9571,672494,T
163213497,3004,588,405540,1805,8059,445,9679,672105,T
463468014,3019,590,649085,4405,7106,2225,4440,672240,T
186538917,3066,599,42924,5044,19437,1335,7365,672354,T
425774947,3614,80,368628,1391,30040,890,6789,672967,F
242301858,4990,199,888220,3671,26435,1335,5416,673066,T
615552925,323,1,74290,1327,8695,445,9621,672441,T
376138967,207,9,37467,1491,110146,890,9675,672138,F
161863876,3095,589,532340,4156,12238,1780,9109,673057,T
451940099,2934,594,425430,1340,9308,445,6894,673054,T
728788204,4855,177,325285,1373,11201,1780,7027,672846,F
376012628,2909,613,462531,1540,9863,1780,6694,672449,T
577367101,2931,603,84999,1529,10326,890,9398,672222,T
153490696,1799,219,395780,4291,13768,1780,4717,672753,T
470540760,2957,595,375539,1877,7030,2225,7554,672676,T
210592957,3683,64,692404,1359,9178,1335,7135,672989,F
028939131,1805,225,299630,1562,20026,445,9220,672263,T
806692006,362,1,12308,3515,8472,890,4567,672699,F
496792736,3731,71,104468,3239,16119,890,7082,672655,T
720313127,3654,71,811188,3337,23602,1780,9792,672462,F
651398180,3820,8,87860,9053,9178,2225,4956,672953,T
112062754,3655,48,292400,1406,8472,1335,9322,672652,F
915206700,4884,214,1050060,8261,15735,2225,9537,672574,T
410885695,2951,598,283296,1555,6884,1780,4736,672441,T
560427898,3001,588,339113,2601,12958,2225,4445,672941,T
548446707,3099,584,697275,7596,23602,1335,9059,672893,T
474558846,3053,614,659448,1332,132176,1780,6889,673020,T
104939458,3039,611,431538,2166,33044,445,5062,672871,T
417709220,4925,190,1117975,2873,8472,445,9055,672404,T
753225495,2968,592,320544,1584,7684,445,4723,672972,T
890279746,3786,63,503538,3776,9308,890,6788,672776,T
748905934,243,4,6804,1488,73431,890,8976,672635,F
999684527,3682,67,213556,1569,36715,890,6717,672108,F
793537644,3700,63,573500,2482,22940,966,3367,599791,T
074646891,3029,620,378625,1716,31470,445,5107,672107,T
707333851,2923,591,602138,1462,6743,1780,6748,672107,T
449384599,3779,76,642430,6543,26435,1335,9050,672767,T
160396320,3077,620,458473,5044,20652,1335,4907,672565,T
580309491,4936,213,883544,4347,94411,1335,9068,672222,T
369474698,207,10,24219,1748,10167,1335,9440,672309,F
296697573,4911,194,1100064,1382,6956,445,9084,672706,F
161173397,4911,195,874158,1327,8811,1335,9647,672258,F
062894394,1986,210,172782,5329,7867,890,5259,673100,T
120721459,2916,591,396576,1635,50836,1780,4818,672930,T
746571332,2971,613,421882,8365,50836,445,6788,672528,T
245823486,3782,70,128588,4465,24477,1780,6635,672978,F
935340202,3029,593,739076,1555,25418,2225,5273,673078,T
906718336,3779,38,158718,1512,22029,2225,7618,672969,T
458942793,3009,600,439314,6294,7867,890,9517,672922,T
803241319,232,1,31784,2343,34783,445,5239,672414,T
767344123,3076,617,738240,2247,8930,1335,5202,672747,T
158183923,3796,69,432744,4654,7343,890,7096,673108,T
769093606,4844,216,1172248,1362,9308,1335,9140,672871,F
488717431,3638,45,440198,1376,30040,890,8945,672421,F
701434290,1842,201,252354,1481,7343,890,7657,672984,T
957152988,3777,9,75540,1861,82610,2225,6897,672986,T
626261382,4909,204,991618,2990,14061,1335,7030,672351,T
926613704,3680,69,647680,2351,12709,1335,7151,672613,T
