userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
253311753,502,12,102910,1226,5164,702,5301,477634,T
661684637,2086,73,248234,1341,6436,1755,4197,477755,T
854759164,3457,15,853879,1409,7657,1053,5963,478064,T
150458984,4129,95,499609,1244,21149,702,4414,477440,T
817352951,532,14,102144,1171,5483,1755,3787,477387,T
212693641,4329,245,943722,1423,23376,1404,5363,478018,T
226557134,3429,31,552069,3965,4990,1755,7629,477980,T
735967832,3459,23,719472,1552,17765,1755,7091,477875,T
083183238,3360,1,443520,2231,5164,1755,7380,477447,T
789283363,4404,46,651792,3339,19310,1053,4201,478164,T
310874424,4565,55,734965,1085,29609,351,5589,477715,F
102819964,595,18,11900,1638,7792,1404,7996,477663,T
614335884,2144,76,493120,1396,11388,351,5258,477601,T
229023803,4136,73,789976,1124,29609,351,3808,477386,T
796196085,3539,9,838743,1956,7163,1755,5638,477877,T
070187042,4497,57,944370,5551,6001,1053,7312,478109,T
559034286,487,1,13149,1240,5105,1404,4069,477671,T
116209479,2224,72,217952,4880,7402,1053,7719,477506,T
729972236,3500,19,612500,4675,8224,1053,7289,477578,T
325938222,609,1,15225,2440,7049,1755,5411,477280,T
302804054,4082,65,77558,1178,13459,1755,5924,477609,T
885222279,4656,30,651840,1939,9655,1053,7447,478220,T
012639489,3466,31,724394,1701,24674,1755,3786,477873,T
395784801,544,1,115872,6344,4626,1404,6096,477823,T
722248511,2245,82,264910,4880,6255,1053,7008,478141,T
263040975,592,1,45584,1162,6436,1404,7126,478173,T
969902647,588,18,138768,1615,6833,351,7280,477539,T
360567178,441,1,38808,1011,5351,1755,6196,477284,T
161205733,3378,21,77694,923,7792,1755,7320,477735,F
580665236,4406,55,555156,1279,37012,351,4457,478205,F
264558818,3483,30,863784,1102,19310,351,6182,478184,T
632088347,2229,102,403449,1272,7049,702,7923,477398,T
419616216,3403,15,115702,1080,10329,1053,6995,477635,T
717122890,548,1,60280,1379,7163,351,7355,477771,T
387481245,4253,59,352999,3670,4990,1755,6197,477771,T
063442032,508,17,14732,1603,4775,1755,5998,477827,T
474448580,578,1,35836,1174,8882,1404,7693,477711,T
196063701,4615,46,313820,3021,7049,1404,7712,477760,T
213042245,4525,43,515850,4827,6084,1404,3588,478203,T
779036373,483,1,71967,2046,23376,1053,6980,477572,T
026215871,2110,83,124490,961,5921,702,3992,478089,F
196908720,475,19,97375,1858,21149,1755,3472,477643,T
517065330,596,19,71520,2582,5105,702,7366,477836,T
191700084,3349,8,365041,1251,29609,1755,5893,477436,T
107241988,511,15,12775,1007,5351,1755,7433,477232,T
311823961,444,7,70596,1004,15862,1755,5854,477656,T
158851551,4499,22,1043768,4037,10094,351,6077,477226,T
340492986,3399,20,146157,3218,74024,702,5713,478193,T
011255258,3397,34,281951,1070,44414,1755,5319,477551,T
198872191,4428,58,1089288,4397,7792,1053,3861,478194,T
065858962,4555,13,514715,1547,4724,702,4428,477385,T
682463749,3385,26,423125,4441,17765,1755,5417,478154,T
674435677,4575,19,114375,925,15862,702,7730,478172,F
939035400,3426,1,222690,902,74024,1053,3838,477787,F
979004320,3420,33,588240,942,9869,351,7112,477999,F
005661027,4561,38,346636,1615,4880,702,4027,478031,T
632662625,602,1,148694,1037,12003,1404,7768,477825,T
026221196,453,5,44847,4827,6344,1053,6225,477968,T
479524858,4140,88,720360,1133,9253,351,6235,477933,T
393264889,3486,29,491526,3042,9869,1755,7130,478096,T
357287717,469,1,54873,891,6939,1404,3806,478022,T
670548432,4200,67,491400,4037,9655,1404,5977,477605,T
741874147,3425,33,496625,1563,74024,1053,5942,477478,T
058104706,2132,85,358176,6168,63449,702,4469,477282,T
401264383,4213,68,627737,1200,7931,702,4044,477921,T
503204108,4091,86,331371,2552,6344,1755,4001,477965,T
475918152,3519,10,478584,1237,6084,1755,5306,478176,T
184195649,4432,55,456496,1035,19310,351,5250,477501,F
033910767,2236,72,84968,1842,6084,351,7499,477265,T
970495396,4210,92,673600,939,44414,1053,4499,477531,T
907583025,545,17,82840,1401,10832,1053,7344,477842,T
046271461,505,1,124735,1362,49349,1053,3784,478104,T
039939393,2165,106,41135,904,6344,351,4182,477868,F
220235353,4184,89,209200,1396,10094,351,7495,477874,T
592580356,4473,52,277326,4190,5921,351,5309,477729,T
715425754,4157,67,128867,3042,5164,1404,5452,477438,T
092267441,4415,57,66225,1866,6436,702,3855,477953,F
102461835,4226,79,401470,1168,10574,1053,7218,478126,T
009315870,3355,4,375760,904,6629,1755,7629,477386,F
025359094,3423,2,814674,1931,31724,351,7971,477570,T
526152214,4101,85,865311,1291,14804,1755,3625,477243,T
437420667,4185,69,749115,2902,5622,1404,7361,477584,T
433326734,3376,16,671824,1240,63449,1404,5295,477244,T
321300223,4250,90,382500,1451,15315,1053,6998,477390,T
921112702,3488,34,380192,1552,13063,1755,5863,477766,T
262186487,3348,35,160704,2567,9869,1755,4248,477730,T
792955434,4296,220,1056816,3000,49349,351,7681,477995,T
031566868,3383,19,723962,1776,9449,1053,5607,477779,T
576729417,2149,90,404012,1409,12337,1053,7340,477557,T
046742194,4484,62,116584,5047,9253,351,8000,478224,T
058381074,4119,84,329520,1121,12337,1755,6211,478026,T
919042830,4481,35,775213,2156,8075,702,7815,478156,T
522877880,4427,55,132810,2758,6344,351,4313,478159,T
788754042,558,21,23994,2349,4827,1053,4172,478022,T
358370882,2088,80,64728,1000,11688,1053,7117,477617,F
