userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
807963354,4212,63,387504,1362,3289,702,3564,477553,T
798323973,4512,27,428640,1362,917,702,4011,478179,F
608317695,4132,70,103300,1362,2481,351,6046,477695,T
645105163,4617,51,397062,1362,1375,351,3635,478018,F
586006023,4348,71,221748,1362,2056,351,5408,477267,T
612227175,4453,37,391864,1362,5287,351,4031,477471,F
642748943,4345,121,130350,1362,1620,1404,4421,477624,T
600741805,4450,52,445000,1362,1842,351,7945,478002,F
366650043,2322,97,120744,1362,2552,1755,4393,477762,T
974892731,4574,40,402512,1362,2741,351,4226,477853,F
381957943,461,1,34114,1362,1210,1755,4362,478036,T
771113901,4452,57,440748,1362,1790,351,3994,478069,F
270463450,3349,57,331551,1362,8708,1404,7051,477330,T
255058717,4432,58,195008,1362,6531,351,3801,477238,F
710465394,2365,124,222310,1362,4724,351,7712,477680,T
906623419,4534,25,394458,1362,1102,351,3556,478080,F
016896043,4082,57,142870,1362,1728,1053,7531,477320,T
025683698,4486,44,430656,1362,1632,702,6090,477650,F
594919102,501,37,10020,1362,5844,351,7427,477997,T
434538649,4574,42,347624,1362,8708,351,3576,477731,F
472573527,4688,23,243776,1362,4312,351,3625,477787,T
690744575,4418,35,410874,1362,1609,702,3651,477699,F
403777308,2305,114,85285,1362,1310,702,5555,477266,T
447931029,4658,55,419220,1362,1392,351,5330,477805,F
717824298,483,25,18837,1362,6939,702,4263,477505,T
281531239,4678,58,435054,1362,1283,351,3522,477533,F
880077124,4065,118,288615,1362,1168,1755,3594,478108,T
303515208,4657,64,447072,1362,1147,351,7322,477806,F
839526684,2282,132,61614,1362,1226,1053,7614,477474,T
360412058,4664,35,443080,1362,1914,702,3939,477709,F
448521708,4315,56,99245,1362,908,702,4100,477521,T
381680014,4468,47,411056,1362,5844,702,3685,477871,F
880613581,4298,73,382522,1362,1184,1755,7228,477525,T
025494608,4565,58,424545,1362,5287,351,5770,477887,F
016115810,4528,68,99616,1362,1734,1053,5727,478016,T
650698801,4518,54,402102,1362,1115,351,7833,477516,F
491288290,4707,15,117675,1362,3610,1404,4288,478137,T
395531928,4587,24,422004,1362,88829,351,3727,477387,F
332860006,2198,91,151662,1362,3042,1404,4400,477596,T
693413230,4455,27,369765,1362,88829,351,3896,477311,F
939118444,629,1,62271,1362,8380,1404,5960,478080,T
676407497,4444,55,355520,1362,2337,351,4086,477935,F
335321683,4089,100,351654,1362,1526,1053,7432,477461,T
725032339,4401,45,396090,1362,1028,351,6180,477657,F
437334064,4682,13,369878,1362,1931,1404,7601,477457,T
027438926,4670,29,443650,1362,1165,351,3471,477773,F
506976115,2198,109,72534,1362,1130,1053,5952,477669,T
623981840,4670,45,368930,1362,1171,351,3861,478156,F
414650066,4184,71,355640,1362,1240,702,5986,477690,T
088597696,4628,59,448916,1362,3670,351,5462,477686,F
815274866,684,6,61560,1362,1078,1053,7991,477640,T
414679935,4492,60,444708,1362,1451,351,6260,477707,F
544911407,4160,101,153920,1362,1586,702,4107,477534,T
967820028,4511,49,396968,1362,1521,351,5975,478188,F
218357730,2154,133,183090,1362,1216,702,4474,477431,T
053826035,4598,63,170126,1362,88829,351,3660,478061,F
057607146,4484,58,215232,1362,7527,702,7411,477784,T
234426220,4464,46,339264,1362,1325,351,3719,477450,F
893384230,525,1,25200,1362,891,1053,4179,477716,T
169917604,4439,28,443900,1362,1442,351,3504,478034,F
944712379,3529,47,144689,1362,1254,1755,5272,477890,T
429934839,4447,38,213456,1362,2495,351,3522,477486,F
948941717,2332,111,223872,1362,1574,351,6102,477316,T
