userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
120962131,4020,144,144720,2219,12928,1001,4130,970646,T
670345222,3873,155,704886,4233,20797,1335,6217,970951,T
748151468,2976,49,464256,3147,12755,667,4673,970595,T
027873755,2351,1,143411,2251,11255,1668,5573,970791,T
083091870,3983,153,581518,2140,9762,667,2751,970825,T
040583895,2998,57,485676,2169,9762,1001,4848,971140,T
019539825,3844,156,645792,3543,39862,1668,4892,970890,T
119954359,3974,165,747112,4002,25176,333,6315,970337,T
641050974,4012,138,798388,8319,14718,667,4231,970625,T
218613555,2387,20,288827,2001,39862,1335,6075,970823,T
405245847,2939,46,308595,2491,12588,1335,3510,970267,T
247408490,4851,180,130977,3491,136670,1335,4787,970740,F
816971111,3885,133,745920,4621,15683,1335,3034,970361,T
354451168,3963,156,903564,11958,18397,333,3096,970241,T
460772395,2831,27,325565,3904,12755,333,5464,971056,T
589265371,3447,26,124092,5199,19524,333,6097,971193,T
355324145,2384,16,257472,3199,23333,1668,4558,970692,T
112426518,3953,142,766882,2305,11124,333,4352,970711,T
264374317,2936,22,229008,3416,15683,1001,5346,970631,T
950432726,3853,161,647304,2524,63779,1668,5328,970587,T
836145657,2898,26,434700,2164,28990,1668,3243,971111,T
537561207,2327,27,425841,5435,21259,1001,6327,970481,T
863218226,4031,164,217674,1924,12265,1668,3589,970461,T
568071990,2326,1,202362,6132,9862,1335,3342,970895,T
298276737,3059,39,412965,3116,11124,333,2625,970816,T
339341683,3897,139,38970,3873,17083,1335,4522,970659,T
340650511,3985,144,211205,2048,12588,1001,5702,971070,T
959545415,2868,25,240912,2789,15185,1668,3564,971144,T
563879108,3847,146,326995,2757,86971,1001,6087,971031,T
956493840,3979,158,278530,10629,21259,1001,3188,971039,T
138870448,2983,41,292334,3126,16215,1335,3074,970857,T
506253470,2314,9,87932,2283,21259,1668,4295,970691,T
503636919,3011,40,731673,2251,18397,1335,2629,970433,T
342467827,3902,142,651634,3086,12424,1668,4002,970681,T
400146049,4036,155,952496,1921,27334,1335,3140,971071,T
121039461,2462,27,142796,3796,9965,1335,6220,970862,T
077624025,3967,150,630753,8107,14718,333,4636,970785,T
451421143,2971,55,701156,5942,22778,667,3240,970991,T
024698667,2907,55,497097,2130,14718,667,4982,970433,T
760227691,3994,142,355466,7972,11124,667,4703,970646,T
310907761,3934,155,523222,2434,11811,1668,3410,970892,T
823856930,3981,136,123411,4621,16494,1668,3163,970333,T
994077537,2369,14,106605,2169,9663,1335,5402,970637,T
047340655,2409,23,286671,3543,25856,667,6217,971038,T
502780107,3845,155,403725,4931,47834,667,4617,970334,T
511765472,3935,135,165270,2031,17394,667,5445,970556,T
665787866,3908,153,535396,2066,14495,1335,4597,970767,T
170709891,4030,155,52390,2657,17083,1335,4955,970500,T
015220653,2916,56,172044,9862,95669,667,4760,971051,T
