userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
197627881,3985,148,103610,2907,2781,667,3217,970942,T
268367726,4834,218,145020,2907,191338,333,4445,970333,F
117803060,3845,180,322980,2907,6212,667,3645,971031,T
037751327,4884,207,385836,2907,79724,333,4865,970790,F
215962720,4941,180,167994,2907,79724,1001,4338,971134,F
572421332,3970,167,166740,2907,7972,333,2952,970318,T
757642019,3095,60,244505,2907,4408,333,3293,971092,T
080550140,4792,206,364192,2907,86971,1335,5920,970617,F
253609314,3972,153,218460,2907,10070,333,5484,971113,T
537875995,4922,160,226412,2907,136670,1668,5431,970747,F
539791254,4126,154,247560,2907,3781,333,4245,970970,T
513058766,5029,205,306769,2907,136670,667,5785,970375,F
875754080,2883,63,138384,2907,2014,1001,6212,971006,T
725293567,4913,208,137564,2907,63779,333,5293,970569,F
504652270,3880,187,209520,2907,4290,1668,4305,971040,T
166990930,4955,170,445950,2907,56275,667,5986,970354,F
424320133,2339,33,86543,2907,4534,1335,4906,971037,T
892701785,4932,169,488268,2907,79724,333,4966,970681,F
764775890,2305,16,87590,2907,2251,1668,4855,971083,T
758049982,5043,202,216849,2907,136670,1335,5003,970412,F
292461326,2927,31,216598,2907,16215,333,5994,970350,T
076591572,4842,197,193680,2907,73591,667,4402,970715,F
763250466,2426,20,75206,2907,3106,1668,6141,970732,T
880631987,5066,166,182376,2907,45556,333,6270,970458,F
333632066,2555,13,219730,2907,2294,1668,3192,971213,T
220680170,4914,151,486486,2907,63779,667,5928,971186,F
225506560,4072,174,81440,2907,2070,333,3634,970980,T
752580973,4814,153,380306,2907,136670,1668,5563,970880,F
065522309,2931,75,260859,2907,2564,1001,6148,970772,T
578969939,5024,187,311488,2907,159448,667,5820,970581,F
914913510,3957,173,94968,2907,4470,1001,3021,970222,T
749114967,4932,169,448812,2907,119586,1668,4791,970590,F
350171742,4118,161,391210,2907,2585,1668,5894,970652,T
639556583,4966,186,223470,2907,68335,333,6126,970809,F
590628258,2893,74,251691,2907,159448,1335,5354,970260,T
198615841,4898,184,102858,2907,56275,333,4789,971075,F
458616286,4080,169,399840,2907,6016,1335,4396,971219,T
073482308,5049,203,398871,2907,47834,1001,6195,970403,F
883391825,4109,133,373919,2907,10513,1335,5625,971178,T
243682575,4835,200,410975,2907,59793,1001,5725,971069,F
769271900,4047,183,101175,2907,4555,1335,6116,971016,T
026588058,4798,164,393436,2907,68335,1001,6012,971105,F
982828652,2445,2,75795,2907,2283,1668,5544,970294,T
470301163,4809,217,389529,2907,79724,333,4901,970324,F
825886772,4134,131,194298,2907,4408,1001,5914,970668,T
106162773,5067,155,329355,2907,73591,333,4850,970781,F
176352213,2444,5,219960,2907,4621,1335,5356,970323,T
035019181,5076,203,390852,2907,45556,667,5760,970327,F
205359050,2934,60,249390,2907,56275,667,4945,970615,T
130684727,5030,188,503000,2907,59793,667,4634,970283,F
289326730,2980,77,83440,2907,7972,667,4822,970969,T
406030486,4938,196,454296,2907,73591,1668,5404,971088,F
119655159,2869,49,106153,2907,5660,333,5335,970504,T
670183363,4794,151,445842,2907,159448,333,5582,970538,F
483786994,2820,48,211500,2907,22248,1668,4923,971140,T
003507353,4932,174,251532,2907,191338,333,4342,971207,F
775523508,3933,134,196650,2907,4956,1001,5349,970333,T
017449175,4932,178,399492,2907,59793,1335,5746,970229,F
754150204,4838,211,246738,2907,159448,667,5954,970587,F
378430763,3849,155,384900,2907,3037,1335,4085,970504,T
129085718,4015,177,389455,2907,3008,1335,6248,970343,T
