userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
635069898,4515,21,216720,2189,188770,477,5619,958943,T
374144423,2888,73,378328,10975,67417,1432,7358,959085,T
968942817,139,4,29190,1887,9831,2388,10289,958197,T
409516584,3130,35,378730,1987,13483,1432,7788,959008,T
692386631,207,1,12006,2313,13483,1910,10517,958893,T
087775259,2913,102,166041,2003,12419,1910,10080,958280,T
436295878,2908,79,360592,2432,24838,477,7255,958169,T
153895696,4406,209,749020,4967,11371,477,7749,958805,T
998827344,3014,101,533478,3916,13880,1910,9917,958928,T
596970376,194,17,4268,1982,27760,477,10446,958735,T
196457095,3061,69,477516,2051,13678,1910,5643,958381,T
388111583,4465,233,821560,5790,9730,1432,7624,959072,T
383021364,2914,99,544918,7150,157308,2388,5403,958468,T
243999590,4829,38,825759,3575,10848,477,5098,958954,T
855421688,1360,122,144160,2047,12929,477,7388,958444,T
429802918,4958,35,366892,1950,10259,477,9646,958912,F
398746239,4906,16,1118568,1982,9730,1432,7306,958340,T
546587853,4298,202,945560,5936,17478,1432,10384,958352,T
917563171,4340,205,950460,2759,22472,477,4889,958573,T
725142968,108,6,11556,4815,52436,2388,5772,958292,T
065168604,4447,226,177880,3575,18150,1910,7549,958185,T
373549236,4425,233,1070850,7931,18506,955,5342,958743,T
241606421,4871,47,852425,5362,13483,1432,5402,958624,T
878848168,3082,49,369840,4840,11652,955,4774,959013,T
406169834,2936,100,681152,3730,23596,1432,8062,958886,T
031509843,1422,156,321372,2336,15472,477,5278,958252,T
132012878,3031,93,290976,6741,30446,1432,10252,958556,T
093710914,2952,91,118080,5651,23596,2388,5289,958122,T
677062315,4339,231,954580,6128,24201,2388,10039,959079,T
027374118,3148,43,236100,2016,10605,477,10546,958821,T
799034592,2963,79,681490,2389,24201,477,10382,958581,T
520393479,4408,208,581856,2279,11798,1910,7938,958306,T
194985801,2976,77,621984,6464,19262,955,7178,958701,T
802633897,194,1,2910,3932,62923,1910,10028,958270,T
161701017,1398,146,163566,1974,20518,477,4738,958627,T
512128733,103,1,22763,3900,11652,477,4829,958297,T
806625392,4828,33,926976,3588,49676,1432,4949,958954,T
337120729,1292,154,34884,7204,13293,477,9761,958227,T
447420479,114,8,7752,3852,24201,2388,5660,958576,T
647308054,4293,219,296217,4410,34957,1432,5668,958819,T
890137857,1442,159,246582,5862,20518,1432,8021,959019,T
606261926,37,20,629,1895,9631,955,4766,958967,T
363237624,2962,75,663488,2523,18877,477,5688,958474,T
354530942,4367,20,139744,2457,24838,477,7992,958406,T
788275672,4449,23,529431,6250,55520,1910,4937,958215,T
625548888,1353,159,48708,3686,39327,955,5068,959016,T
818622876,2903,63,487704,9163,13109,1432,9612,958694,T
513359896,4423,216,92883,8739,14981,1432,4866,958827,T
445620506,2975,65,499800,4865,24201,955,5207,958621,T
456221913,127,1,13589,2407,10605,477,9923,958617,T
782599173,1418,148,277928,2241,9935,1432,7990,959100,T
955486387,21,1,4662,4290,15997,1910,7748,958887,T
627994245,2939,91,517264,3630,34957,477,5376,958553,T
391050941,3878,68,248192,2353,11947,477,10290,958358,T
502941221,1463,135,99484,2607,18150,1432,9740,959023,T
141035284,2994,69,242514,2038,36301,1910,8093,958276,T
231268118,1348,142,252076,2106,14747,477,10366,958245,T
231484566,200,1,30400,4270,10725,1910,7941,958502,T
711246793,1396,150,216380,3054,13483,1432,7771,958473,T
504005336,1360,149,186320,2651,15223,1910,7171,958868,T
624693525,21,1,2604,6646,18877,955,7239,958695,T
013042283,4844,39,1211000,8821,12100,477,5695,958433,T
063824510,2944,72,211968,5685,27760,1910,10377,958634,T
294036511,2985,101,582075,2313,30446,477,9921,958342,T
520903006,175,1,23975,3025,13109,1910,10098,958384,T
847073973,142,1,6674,3288,49676,1432,10300,958737,T
368791587,1350,125,225450,4068,10487,477,7607,958113,T
936397511,4455,26,187110,2432,31461,1432,5222,958256,T
562459730,29,7,2059,10487,10371,1432,9867,958642,T
331564168,4400,204,699600,3548,42902,477,7545,958730,T
224489930,4333,211,727944,2029,78654,1432,9565,958669,T
584216405,3018,68,458736,2164,28601,955,9866,958902,T
114536619,4316,206,578344,1962,17478,1432,7684,958802,T
969534462,4475,214,1011350,7931,10371,955,9900,958222,T
975074717,1321,141,101717,1910,26967,1910,4877,958301,T
343175767,81,6,19602,3288,23020,1432,5037,958391,T
744068308,1459,147,113802,11371,20081,477,5033,958361,T
976433771,106,7,7844,4157,31461,1910,8136,959017,T
130269634,4923,22,969831,2557,20974,477,9550,958130,T
864916428,4951,36,826817,3167,24838,955,5279,958386,F
738394714,4331,201,905179,5074,9831,477,9745,958636,T
208821982,4788,23,823536,2353,10148,1432,7284,958142,F
731103338,1438,140,356624,2016,11947,477,4907,958924,T
770938139,2912,81,64064,3044,19663,2388,9876,958829,T
084721809,4468,212,174252,3852,11104,477,8158,958219,T
428938381,32,1,7808,3382,14520,2388,5063,958657,T
720502984,2902,91,438202,5899,41036,2388,5187,958464,T
923358880,4438,227,408296,4431,10040,2388,7163,958419,T
652315751,1397,142,23749,6600,10371,477,9938,958909,T
320095902,4917,40,644127,4473,12929,1432,7659,958182,T
193598704,3193,29,472564,10148,12929,955,9677,958494,T
973147631,4460,222,289900,3715,12929,955,5221,959067,T
087188355,56,1,13160,2159,11236,477,10120,958748,T
306700979,4489,239,597037,2784,21451,1910,7910,958461,T
358696906,2949,68,339135,5790,16273,1432,7201,958911,T
005417503,3042,90,495846,3900,9935,1910,5767,958919,T
698227325,1308,133,95484,12584,36301,1432,10187,958127,T
045372193,4449,228,809718,2842,13109,2388,7839,958468,T
722114657,4434,234,634062,3210,157308,2388,9765,958520,T
713385369,2885,62,686630,2330,42902,955,7868,958780,T
977461771,180,5,7740,2389,19262,1910,9857,958433,T
733347598,1306,138,296462,4329,134835,1910,10006,958654,T
818234671,4904,32,1049456,3836,10605,955,5105,958726,T
623819965,4451,218,876847,3221,41036,1910,8075,958283,T
772952998,48,1,7584,3548,11798,955,7738,958279,T
609248815,4476,207,586356,6554,10487,1910,10134,959078,T
912532077,1393,152,156016,6250,15730,955,7609,958847,T
997350171,1393,143,293923,3177,11652,1432,4936,958687,T
