userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
460226404,211,40,13926,2008,6292,2388,7742,958899,T
374387922,5068,34,461188,2008,2056,477,9517,958655,F
832358864,3159,112,66339,2008,6646,1432,9658,958948,T
791692212,4793,45,134204,2008,5020,477,7522,958801,F
523529093,1519,174,31899,2008,13293,1432,5594,958284,T
114243314,5076,39,284256,2008,20081,477,5111,959091,F
605294371,230,17,16790,2008,17478,477,9627,958534,T
284861778,5078,25,228510,2008,2986,477,9717,958262,F
449352589,4839,30,333891,2008,2614,477,4738,958914,F
595400408,3172,54,225212,2008,10148,955,9694,958984,T
421061734,4550,235,131950,2008,5214,1432,4883,958238,T
046608541,4910,50,137480,2008,3508,477,7848,959112,F
476995665,4475,249,295350,2008,16273,477,5286,958172,T
617438164,4501,201,436597,2008,4742,477,4791,958277,F
012207325,3829,102,256543,2008,9345,477,7244,958281,T
213775862,5013,42,345897,2008,2643,477,4820,958379,F
729748109,4372,22,122416,2008,5393,477,5320,959073,T
598418479,5047,46,242256,2008,2130,477,10303,958639,F
231541032,4464,215,441936,2008,1891,1910,4944,958881,T
719457650,5056,54,131456,2008,17478,477,10270,959061,F
153814886,1470,127,102900,2008,13678,477,5482,959003,T
613441325,4933,68,463702,2008,14747,477,5259,958366,F
474608847,23,31,2185,2008,2247,1432,7650,958648,T
381684669,4926,65,394080,2008,8904,477,5299,958533,F
898504148,306,1,12546,2008,3686,955,5605,958823,T
424243363,5015,55,290870,2008,2643,477,9815,958925,F
583120526,274,43,16440,2008,1914,2388,7670,958413,T
658710801,4916,74,398196,2008,7260,477,9680,958304,F
988476358,4538,211,349426,2008,3188,955,8055,959011,T
559144255,4820,76,279560,2008,4431,477,10552,958985,F
156870959,126,17,6300,2008,2457,477,10231,958175,T
928519944,4819,31,250588,2008,3370,477,9805,958917,F
544624224,21,26,798,2008,2145,1910,10191,959071,T
017630297,4883,43,434587,2008,2047,477,10110,958220,F
708812529,1347,131,39063,2008,14981,477,7281,958213,T
738242963,5075,49,385700,2008,2205,477,5076,958733,F
302033649,4529,31,108696,2008,4050,1432,5021,958456,T
944842993,5020,54,401600,2008,1938,477,5021,958202,F
890028298,153,1,12546,2008,2759,477,5629,958936,T
280674892,4984,60,259168,2008,2445,477,5561,958759,F
324863466,2958,88,159732,2008,27760,2388,9620,958549,T
715729107,5017,24,210714,2008,4390,477,10424,958372,F
770149753,4580,232,105340,2008,3760,955,7983,958534,T
561286237,4983,27,413589,2008,3210,477,8103,958332,F
759395033,4323,206,332871,2008,3548,1910,8145,958124,T
122637014,4854,84,310656,2008,3370,477,5326,958332,F
379023340,3975,67,250425,2008,2401,477,7911,958928,T
456670534,4998,70,299880,2008,2426,477,7392,958273,F
602864681,1470,183,45570,2008,1991,955,5443,958980,T
495842516,4974,62,228804,2008,3999,477,9690,958959,F
109995978,3056,119,204752,2008,3323,1432,5110,958689,T
661499399,4866,58,437940,2008,2886,477,10187,958312,F
626217146,1312,173,69536,2008,4349,1910,7399,958313,T
082774920,4815,83,404460,2008,9533,477,5717,958535,F
569527756,105,1,4935,2008,3745,2388,4932,958622,T
712231893,4893,49,185934,2008,2490,477,7568,959048,F
334404072,199,1,14129,2008,4473,955,9965,958810,T
470742617,4978,47,99560,2008,13483,477,7120,958451,F
069520666,4582,253,151206,2008,2121,2388,10044,958269,T
162062799,4960,78,337280,2008,2371,477,4967,958665,F
864480941,4547,265,218256,2008,19262,2388,5171,958459,T
124649215,4996,31,119904,2008,2034,477,7549,958552,F
092618144,3043,113,136935,2008,2712,1910,10256,958827,T
816211026,5036,53,211512,2008,2825,477,7211,958642,F
582472552,2983,89,280402,2008,4672,1910,5483,958224,T
778981999,4812,41,336840,2008,5393,477,4760,958769,F
066375249,63,32,5670,2008,2051,955,7848,958486,T
484969619,4795,64,465115,2008,3852,477,5306,959101,F
548764462,185,1,13690,2008,7611,477,7797,958155,T
838471810,4923,59,290457,2008,5424,477,10472,958759,F
789132546,4478,30,398542,2008,2751,955,9708,958835,T
102256813,5061,68,298599,2008,2189,477,9738,959067,F
498562123,4493,244,354947,2008,62923,1432,9760,958929,T
057906710,5069,49,177415,2008,4766,477,5700,958767,F
569660789,3074,33,147552,2008,11798,1432,7745,958430,T
298952540,4787,55,387747,2008,2477,477,5533,958934,F
126278755,3067,80,196288,2008,3254,477,5096,959033,T
112315500,5036,56,256836,2008,3470,477,8047,958366,F
420414353,4538,228,249590,2008,10605,1910,7442,958995,T
592918297,4801,54,211244,2008,4349,477,7506,958285,F
227594277,4915,16,476755,2008,1926,477,7431,958573,T
330158471,4857,58,296277,2008,6292,477,9700,958397,F
898339067,4498,215,418314,2008,2174,477,7186,958285,T
630988004,4833,35,357642,2008,2215,477,10476,958712,F
508931920,154,29,10164,2008,15997,477,10232,958473,T
605475447,4877,81,390160,2008,4103,477,7180,958495,F
679024802,3277,51,285099,2008,3064,477,5563,958485,T
120175510,4901,73,406783,2008,3444,477,7415,958588,F
998845661,3151,57,195362,2008,2008,955,5706,958179,T
013800289,4819,24,375882,2008,5685,477,10405,959075,F
825791940,3091,117,207097,2008,41036,1910,10497,958812,T
795013304,4980,39,258960,2008,17478,477,9736,958579,F
792010584,4439,222,368437,2008,5393,1432,7598,958785,T
868713308,4405,204,343590,2008,6050,2388,4825,958408,F
949751018,98,24,7938,2008,3775,1910,7793,958763,T
869362792,4921,78,280497,2008,3630,477,8163,958412,F
130608369,55,1,4785,2008,2704,955,7593,958150,T
325589578,4852,25,203784,2008,9935,477,7935,959100,F
461411262,3014,104,90420,2008,3094,1910,7243,958676,T
771210241,4956,33,480732,2008,4270,477,5492,958676,F
