userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
918211562,3234,28,339570,7231,22862,888,3577,723063,T
810068655,3191,9,536088,9204,19154,1776,3149,723391,T
520968965,167,1,10354,2452,13896,888,2690,723651,T
695270415,2194,13,315936,8859,15079,888,2041,723501,T
455677192,3262,2,430584,1589,13124,1776,3425,723295,T
236869649,2159,11,522478,2839,10244,566,1577,536197,T
668571420,2239,8,416454,1794,8240,1332,2409,723530,F
929310168,162,1,8424,1476,10271,888,2092,723564,T
778543146,161,1,38801,1826,9086,2220,2606,723071,T
637003412,3265,10,571375,2109,9086,2220,2230,722914,T
022498806,3274,4,311030,1707,35436,444,4334,723245,T
278030683,1345,2,13450,1648,64429,1776,3524,723655,T
351808183,3287,14,647539,2812,8538,888,2752,723703,T
378047247,2157,2,101379,1554,7620,444,2536,723130,F
947786099,3172,23,345748,9843,7874,1332,2631,723611,T
813452405,3680,10,298080,1648,14765,2220,3191,722939,T
643741015,3290,29,690900,1431,54517,888,1986,723059,T
033393288,3730,33,156660,5451,29530,2220,3133,723177,T
135232489,3231,1,452340,2354,8749,1332,3495,723238,T
564027038,3261,3,688071,2916,47248,1776,3987,723648,T
839921774,2221,1,295393,1771,9086,1776,2297,723603,F
632582458,3847,5,357771,1691,29530,1776,2890,723490,T
615861764,1433,18,38691,2386,44295,444,2664,723146,T
895296539,2075,1,280125,2228,41689,2220,2230,723247,F
385919487,3655,37,36550,1449,11618,2220,2537,723410,T
235892772,3283,8,804335,3251,11249,888,3443,723147,T
571460004,57,1,7524,2301,13372,888,2250,723423,T
985190769,3321,3,176013,1979,7703,444,3078,723045,T
710946340,2115,28,439920,6948,11249,888,2663,722869,T
923697772,2078,1,498720,1985,15407,1776,1947,723755,F
542571183,2129,3,57483,9086,9982,1332,2766,723208,T
753779772,3339,34,110187,1675,26248,444,4186,723507,T
304933412,3251,37,721722,1741,118120,2220,4022,722976,T
383418945,3251,15,497403,4218,9577,1332,4420,722837,T
392667837,2129,1,440703,2674,28348,888,3579,723462,T
154893513,171,1,21717,3730,18172,444,4296,722982,T
295112866,2160,1,51840,8971,10271,444,2172,723488,T
949135420,3327,7,452472,8642,29530,1332,3348,723770,T
997085237,2160,2,416880,1840,7231,444,2769,723487,F
701681969,1558,6,157358,3440,7231,2220,3637,722963,T
170461389,2162,6,255116,5328,44295,2220,3061,723621,T
892088896,1401,9,329235,1963,39373,888,3205,723630,T
108235108,3263,28,163150,1968,35436,1332,3390,723345,T
973612928,2188,3,181604,2036,9982,1332,3360,723141,F
997874277,2244,24,201960,5624,12219,888,2645,723621,T
287287975,3730,20,246180,2869,16107,1776,3158,723253,T
