userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
118112497,3234,19,155232,1629,2084,1332,2096,723614,T
797132307,2283,15,120999,1629,2228,2220,2244,723649,F
676214559,3338,36,83450,1629,2892,888,2840,723154,T
592152080,2133,5,177039,1629,3149,1332,3099,723746,F
764610745,3226,52,180656,1629,2892,2220,1978,722817,T
233716345,2340,10,105300,1629,2577,1776,2360,723455,F
292598249,3246,11,295386,1629,1482,444,3332,723428,T
458598163,2123,8,121011,1629,3894,444,3669,723574,F
199237651,3369,38,141498,1629,3508,444,1832,723466,T
250431463,2104,8,191464,1629,2167,1776,2466,723257,F
129199161,2203,1,121165,1629,3094,888,1743,723655,F
590825270,3169,49,133098,1629,3749,1332,3874,723239,T
813596811,2074,1,190808,1629,1749,1776,2754,723737,F
488983799,3401,8,139441,1629,1517,1332,3613,723621,T
897262859,3247,45,175338,1629,1812,2220,2183,723136,T
022163932,2265,21,108720,1629,2558,444,2321,723110,F
954163628,179,7,9308,1629,2286,444,1832,723151,T
682567514,2248,29,130384,1629,2354,444,2191,723477,F
968926021,1505,24,90300,1629,1985,2220,4394,723651,T
740930718,2273,49,218208,1629,3508,1776,2124,723078,F
892562431,3652,53,171644,1629,9204,1776,2634,723460,T
861292550,2223,1,97812,1629,1855,444,2826,723352,F
274153910,3233,22,232776,1629,2596,1776,2820,722830,T
277225442,2271,14,188493,1629,2495,444,1853,723385,F
943199231,3185,55,210210,1629,1762,1776,3303,723508,T
549422263,2285,59,221645,1629,1636,888,2001,723783,F
456623682,1691,2,55803,1629,2834,1332,2993,723301,T
234481768,2243,51,94206,1629,1767,444,2109,723382,F
146662285,3824,57,225616,1629,2757,1776,3940,723448,T
382948997,2311,1,171014,1629,2823,1332,2429,722859,F
113274197,3659,52,223199,1629,1467,1776,1897,723106,T
773041380,2356,8,143716,1629,14463,1776,2258,723206,F
352479949,3448,65,224120,1629,2103,888,2771,723232,T
439713060,2185,39,58995,1629,2977,444,2105,723210,F
365348445,3949,20,94776,1629,1716,1776,4197,723395,T
030744882,2104,5,183048,1629,7017,2220,3006,723743,F
415538423,3315,34,82875,1629,11812,444,3584,723601,T
447567334,2317,12,120484,1629,1855,888,2054,723713,F
524144053,3317,55,331700,1629,1501,1332,4274,723011,T
065251907,2290,1,224420,1629,3749,1332,2153,723004,F
102712152,3240,50,129600,1629,2264,888,4526,723197,T
927987831,2143,14,55718,1629,11073,888,1865,722892,F
791597039,3274,58,117864,1629,7306,444,3839,723562,T
142407823,2299,29,151734,1629,2147,444,1835,723584,F
730045817,2154,1,155088,1629,13629,888,2289,722908,F
568793184,3378,13,222948,1629,1479,888,2549,723174,T
741472673,250,1,7500,1629,3081,888,3192,723715,T
230359327,2311,1,171014,1629,1446,444,2889,722894,F
953835748,3243,63,308085,1629,4485,444,4546,723473,T
822350960,2332,1,109604,1629,1592,444,1749,722965,F
077622901,3771,62,294138,1629,5211,1776,2844,723649,T
306945213,2221,7,164354,1629,2293,444,1924,722789,F
817106156,1557,16,48267,1629,2834,1776,3749,723350,T
803694431,2084,52,93780,1629,11618,1776,2116,723190,F
447961048,3228,25,174312,1629,1931,444,3473,723756,T
912014912,2312,39,85544,1629,1785,888,1934,723005,F
792243868,1457,40,58280,1629,3311,2220,3505,723376,T
264510143,2245,1,197560,1629,2271,1332,2524,723240,F
260699274,2211,1,170247,1629,4887,888,2437,723274,F
888604577,112,1,5824,1629,5669,1776,2084,722820,T
377895616,3768,46,75360,1629,1578,2220,3380,723737,T
346979110,2101,46,58828,1629,2892,2220,2026,723478,F
598699000,1636,12,49080,1629,6442,2220,3246,723496,T
933421300,2317,1,46340,1629,1537,1776,2462,723427,F
618766377,3903,59,171732,1629,13372,1776,3507,723398,T
174876776,2185,19,150765,1629,3081,444,1861,723078,F
312223244,3203,41,67263,1629,70872,888,3417,723140,T
043413554,2104,3,159904,1629,2577,888,2946,723567,F
559335409,3442,45,289128,1629,6162,1332,2681,722930,T
639329801,2280,47,152760,1629,4168,444,2628,723072,F
197997436,1534,48,138060,1629,1889,2220,2810,723071,T
793291671,2207,1,97108,1629,3543,1332,2704,723513,F
720867723,3308,17,191864,1629,16874,888,3272,722834,T
241325670,2136,30,46992,1629,3358,444,2811,723432,F
004221768,3213,43,138159,1629,2977,444,2898,723191,T
969936644,2298,29,206820,1629,5715,1776,2106,723535,F
618213680,1486,2,87674,1629,3749,2220,2626,723208,T
736639226,2336,37,189216,1629,1803,888,2036,723294,F
428599192,3823,44,80283,1629,4004,2220,2362,722876,T
743540521,2060,1,138020,1629,1794,444,3084,723542,F
540415674,2168,20,80216,1629,1610,888,2257,723341,F
386389472,3358,20,77234,1629,2096,888,4355,722933,T
294747464,1472,38,55936,1629,1614,1776,2474,723359,T
501152650,2261,6,126616,1629,3730,444,3752,723277,F
229943053,2310,1,138600,1629,4887,444,2567,723782,F
213402824,3305,48,175165,1629,5135,1776,2361,723680,T
769782920,148,1,6216,1629,1780,888,2700,723783,T
007702054,2136,1,209328,1629,2264,2220,1952,722884,F
109666543,49,1,3822,1629,9843,444,3882,723311,T
226825974,2302,15,165744,1629,4788,1776,2514,723353,F
852438829,3249,65,214434,1629,1985,888,4300,722975,T
212092019,2168,1,205960,1629,2030,1776,2387,723716,F
508212160,3229,28,90412,1629,2558,2220,1943,723185,T
628385343,2299,4,133342,1629,1831,1332,2137,722870,F
364699329,1715,3,154350,1629,7539,1776,2955,722973,T
234236763,2263,14,61101,1629,5062,1776,2714,723401,F
243074927,259,6,9583,1629,8146,444,2417,723091,T
633232332,2148,20,169692,1629,2072,888,1808,723563,F
357058044,163,1,8639,1629,5173,1332,2642,722967,T
601501843,2255,45,175890,1629,4269,1776,1983,723572,F
