userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
790594818,1665,26,199800,3856,19165,584,5012,760657,T
789032474,4912,43,992224,1573,28747,584,9950,760606,T
526373868,3064,42,58216,2060,7712,584,4882,760501,T
596462809,2914,35,428358,1613,11293,584,7617,761004,T
571298726,1227,6,260124,2941,6949,1753,9623,760506,T
177759052,1155,1,129360,2602,37202,2337,6993,761026,T
348357325,1269,1,180198,1523,8663,2921,7387,760356,T
389497356,4745,19,839865,8213,9165,2337,4849,760262,T
191628891,4781,23,683683,2158,9582,584,7409,761098,T
693264565,1226,1,31876,3194,19763,584,9587,760601,T
526984966,4772,43,119300,5697,24324,584,7354,760280,T
444257372,4853,16,562948,1630,24324,1168,9684,760445,T
605655718,1112,15,13344,2726,11293,1753,10318,760550,T
082344237,3902,11,526770,1351,11499,2337,9361,760455,T
150534864,3092,29,309200,1334,7905,584,6989,761116,T
555645406,1207,2,283645,1871,11499,1753,5635,760517,T
026335906,4812,9,428268,5802,30116,584,7862,761167,T
028422902,1276,25,223300,1573,37202,2921,9760,760710,T
242794906,4938,15,365412,2550,7106,1753,4835,760663,T
228268414,1256,1,154488,2550,10904,1753,4666,760275,T
690611940,3007,21,168392,7440,11499,584,7309,760264,T
052315608,1256,5,163280,5802,10038,1168,10011,760397,T
428252742,1272,3,254400,1742,6520,2337,5265,761078,T
053277078,3020,18,628160,3928,8907,584,10012,760694,T
820110843,3749,17,378649,1732,30116,2921,10290,760863,T
508970642,3782,6,661850,1910,105407,584,4966,761073,T
332414367,4936,41,824312,1509,12907,2337,5546,760926,T
749841584,1667,41,56678,1801,10719,584,7896,761055,F
429628622,1241,1,58327,1557,12907,1753,7242,760911,T
433211499,1970,2,90620,1630,90349,584,5111,760869,T
549992382,1110,29,172050,2386,8663,2337,7065,760676,T
753064956,4818,39,737154,2460,9729,2921,9502,760977,T
986880044,4853,12,791039,5183,18069,1168,9660,760831,T
927213660,3804,3,779820,2901,28747,2337,9713,760580,T
873603237,1261,3,221936,7186,7186,2337,9947,760904,T
766451157,1556,30,318980,1686,7440,584,10240,760364,F
979726703,1133,13,176748,2368,18069,1168,5359,760530,T
657476818,4851,21,72765,4684,6324,2337,5036,761145,T
089162734,4864,35,340480,2624,79055,2921,5374,760786,T
555136179,1195,7,17925,1786,17093,2921,5528,760429,T
435211058,1261,21,301379,8005,10719,2921,7522,760826,T
249616127,1108,1,38780,1538,21808,2337,9717,760446,T
248690394,3843,4,149877,1718,16643,2921,7988,760557,T
110443154,2902,17,644244,1988,6949,584,7854,760767,T
606104124,1646,21,179414,3311,48649,584,5641,760261,T
564814841,2945,14,179645,7186,30116,584,4822,760424,T
714129835,4918,34,442620,2613,12162,1168,7112,760325,T
505152411,4849,25,824330,1360,8005,1753,7947,760346,T
953928783,4871,35,370196,2983,12162,1168,10347,760744,T
741834280,1250,20,28750,4188,6587,2921,9405,760762,T
141096574,4914,8,702702,1843,14708,584,4683,760514,T
