userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
625935561,3169,57,85563,1301,1323,584,7674,760767,T
348054738,1640,63,126280,1301,6081,584,9360,761037,F
488914194,4813,24,163642,1301,1766,2921,4828,761171,T
089442200,1555,40,135285,1301,7712,584,7835,760709,F
027116754,4981,78,109582,1301,2657,584,5067,760244,T
574854411,1673,56,160608,1301,3011,584,10271,760450,F
573582495,4966,50,337688,1301,2165,2921,4773,760368,T
192317163,1626,66,110568,1301,9034,584,9392,760734,F
807286544,1321,26,126816,1301,1621,2337,7055,760850,T
707289350,1721,40,130796,1301,27497,584,7107,760339,F
816130051,5027,73,462484,1301,1833,2337,7677,761047,T
631448600,1725,41,169050,1301,5749,584,9910,760529,F
007623822,4821,61,168735,1301,1414,2337,5299,760709,T
222263460,1583,69,156717,1301,7106,584,9419,760886,F
498723727,3794,11,102438,1301,2151,2921,9298,760573,T
655249879,1734,27,171666,1301,4940,584,5012,760313,F
610144221,3934,14,365862,1301,1463,2921,10274,760751,T
374540973,1601,42,131282,1301,21808,584,5466,760317,F
234009155,1255,58,105420,1301,1677,2921,9344,761057,T
982277656,1742,65,151554,1301,5855,584,4707,760233,F
008849737,3812,18,308772,1301,2129,2921,9712,760419,T
076578342,1614,40,130734,1301,6324,584,7490,760991,F
780718067,4901,33,176436,1301,3178,584,9846,761065,T
834240307,1699,54,144415,1301,90349,584,4627,760246,F
248325508,4883,45,288097,1301,1982,584,9727,760487,T
600522379,1667,40,156698,1301,4133,584,7648,760470,F
306963462,4797,67,417339,1301,1833,2921,6993,760600,T
744214875,1630,61,146700,1301,63244,584,5150,760865,F
470179608,1167,56,61851,1301,3418,1168,7751,760562,T
939453017,1627,50,141549,1301,7712,584,7804,760239,F
679674880,4777,11,248404,1301,1304,2921,10008,760697,T
018572085,1719,61,140958,1301,8213,584,7015,761029,F
670576147,4957,68,426302,1301,1374,2921,7173,760307,T
716809454,1647,32,161406,1301,2848,584,7474,760717,F
591571821,5000,76,120000,1301,11499,584,9579,760774,T
855474753,1714,74,159402,1301,16643,584,9391,760998,F
205156556,1138,33,62590,1301,1664,1753,9703,760986,T
277251125,1557,34,143244,1301,6874,584,4829,760830,F
234866761,4867,56,316355,1301,2786,584,4851,760239,T
719723094,1664,75,154752,1301,5802,584,7859,760607,F
939883302,2200,44,44000,1301,4361,584,5133,761173,T
