userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
124172949,3266,25,300472,9576,14617,985,5603,846948,T
490143582,4919,48,575523,2494,21363,1643,6731,846712,T
991394160,4849,31,674011,2320,59512,1314,5761,846761,T
276229538,3325,24,272650,2210,15720,657,6868,847212,F
619690034,4969,28,407458,4930,8415,985,4906,847606,T
759029792,3252,7,383736,4145,75742,1314,4061,847005,T
033038637,3289,7,325611,3241,10962,1314,3913,847120,T
220920881,3369,42,70749,2587,27772,657,7326,847342,F
515548610,3384,39,450072,5994,11259,657,3274,846718,T
185590702,1724,29,165504,3719,17003,1314,5333,846709,T
592577209,3240,24,618840,7574,138861,328,3371,847283,T
071325081,4960,17,1205280,3040,49010,328,5101,847384,T
750949659,1805,17,52345,9361,9576,1643,5313,846959,T
195066923,3276,34,786240,5591,10681,985,3520,846873,T
797183481,3208,5,606312,4577,32045,1314,3270,847228,T
517380550,4847,11,87246,7244,46287,1314,4013,847636,T
280433717,4843,36,271208,2465,12623,328,7333,846717,T
256565527,4946,36,1196932,1928,9576,985,3668,847707,T
736981569,3304,41,105728,5785,32045,985,3754,847124,T
385348116,3223,16,154704,4294,9361,985,5299,846946,T
217335391,3287,26,78888,3839,13018,328,5565,847416,T
466654625,3262,5,153314,7506,25247,657,3502,846841,T
248823098,3388,20,847000,2093,11902,328,5068,847097,F
160738619,3357,22,718398,2479,15148,328,4926,847536,F
998991399,3315,8,72930,1754,24505,657,5022,846861,F
178558846,1822,3,85634,2109,14878,328,5492,847451,T
097341150,3263,32,407875,3770,17357,657,6529,846816,T
598058969,3264,33,613632,7121,69430,985,3930,847356,T
101133884,3267,7,725274,2007,8958,657,5132,846707,F
305781878,1737,4,262287,2749,18514,1314,5552,847589,T
616445147,4920,43,467400,7001,14121,1314,3734,846726,T
815506008,4858,47,553812,2595,8415,985,7106,847251,T
399312491,5023,30,999577,1955,55544,1643,7369,847076,T
196318268,3271,34,490650,6037,41658,328,3602,847110,T
123735439,4992,46,544128,2532,10414,657,6697,847075,T
947103601,1824,9,78432,7060,9918,1643,3802,847511,T
118341328,4991,41,1048110,5667,8331,657,4995,847579,T
128404417,3362,11,332838,2264,8589,1314,3842,846748,F
838763974,3343,41,317585,6171,21925,985,5339,846750,T
726046811,1882,28,95982,2360,75742,1314,5379,847017,T
574803235,1802,18,345984,1979,8501,657,5598,846873,T
810369355,3294,6,303048,2873,24505,657,5007,847392,F
012831354,4930,17,852890,2555,23804,1314,5652,847511,T
001627790,4887,18,562005,3442,10681,1643,5686,847668,T
153000995,3314,41,212096,1839,119024,657,7316,846791,F
431996445,3216,32,418080,2353,13438,985,4990,846785,F
859574829,3319,14,278796,5080,17727,657,6824,847377,T
735573369,4977,38,970515,2346,20829,1314,6807,847377,T
404614932,4880,47,780800,1902,29756,985,5037,847120,T
456359761,3339,36,587664,5591,12818,657,3564,847670,T
687237306,3237,3,598845,3486,46287,985,7084,846734,T
040284770,4895,28,420970,1757,75742,328,6910,846920,T
709966469,3321,18,342063,1784,25247,985,4001,846949,F
772358551,3290,18,776440,7121,12623,657,3710,846909,T
331361276,1893,7,333168,1721,12252,657,6534,847005,T
605642712,5020,29,923680,3007,18112,657,5112,846998,T
888621198,3287,27,601521,5951,8863,1643,3281,846930,T
880186052,3190,43,698610,7373,12074,985,5407,847542,T
597815913,1775,22,381625,2502,92574,1314,6691,847202,T
650933972,4902,16,357846,1876,119024,985,7375,847419,T
