userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
738830429,4978,30,343482,2579,3967,985,7233,847318,T
324301913,3417,27,71757,2579,1754,328,3796,846794,F
739721914,4849,49,145470,2579,2373,985,5249,847268,T
736719844,3341,37,227188,2579,9361,985,5259,846925,F
512482330,1913,15,114780,2579,4552,1643,7275,847293,T
676870031,3426,24,147318,2579,1928,985,5212,847615,F
719536951,4939,27,385242,2579,2740,328,7193,847230,T
565587081,3207,71,144315,2579,5019,657,6672,847129,F
704811587,1746,52,40158,2579,4816,985,4990,847193,T
519154005,3382,43,226594,2579,2077,657,3666,847055,F
003986858,1900,28,134900,2579,1710,985,4882,847221,T
255490168,3258,49,309510,2579,2777,328,5568,847164,F
234878560,5130,65,410400,2579,4733,1643,3863,847619,T
649152335,3327,31,259506,2579,1696,328,3906,847552,F
453324594,5051,31,161632,2579,12435,657,7145,847279,T
759672268,3461,19,148823,2579,1893,657,7190,846950,F
439036759,4864,78,252928,2579,3486,1643,3682,847234,T
220108072,3481,71,309809,2579,1703,328,5796,847653,F
894135034,5022,9,321408,2579,1960,985,7546,847447,T
088097858,3223,31,280401,2579,5909,328,7301,847075,F
834038366,5096,44,239512,2579,1735,985,4048,847557,T
957418102,3346,3,130494,2579,3167,657,7390,846797,F
945897569,4903,35,156896,2579,5785,1314,5072,846740,T
941460353,3383,38,192831,2579,1998,328,7117,847293,F
285371737,1919,4,120897,2579,2758,328,5447,847138,T
155926991,3310,37,198600,2579,36224,985,3270,847185,F
298523045,3212,61,77088,2579,4084,328,5748,847123,F
388649717,4857,75,432273,2579,1721,657,6739,847333,T
836640325,1987,14,77493,2579,1683,985,5097,846963,T
459422827,3222,27,119214,2579,5994,985,5090,846936,F
295850324,5104,54,331760,2579,2114,1643,7123,847320,T
271282219,3251,7,139793,2579,1679,328,7051,847245,F
142700288,5031,63,291798,2579,2628,328,6825,847108,T
841442481,3386,4,203160,2579,46287,328,5191,846915,F
820281693,5069,57,441003,2579,2098,985,4981,846717,T
417921917,3303,65,310482,2579,14617,328,3871,846755,F
195186432,4909,47,201269,2579,3893,1643,4899,847317,T
029803904,3417,56,146931,2579,4186,657,5426,846744,F
249416525,4907,13,206094,2579,2873,1643,3428,847370,T
649543931,3357,43,224919,2579,1746,985,5048,846803,F
839124403,3375,67,108000,2579,2509,985,5088,846808,F
696423095,1817,8,89033,2579,2975,657,7000,846754,T
907766273,5053,33,414346,2579,1735,1314,6740,847158,T
568132231,3368,31,232392,2579,3986,985,4954,847621,F
468180740,3397,13,281951,2579,5951,657,5916,847059,F
253340144,4912,77,466640,2579,2333,1643,3279,847246,T
696623880,3319,14,136079,2579,6037,328,4148,846829,F
702285062,4906,27,142274,2579,3545,985,7164,847701,T
243383901,1816,5,88984,2579,1885,985,5037,847549,T
242582244,3384,21,253800,2579,13018,328,7171,847635,F
874891163,4959,76,153729,2579,1906,1314,7082,846719,T
576320044,3477,10,118218,2579,8770,657,6827,847164,F
677369287,4996,42,244804,2579,2098,657,5043,846849,T
323884512,3285,41,285795,2579,2288,328,7307,846719,F
071213621,3381,62,128478,2579,4816,657,3897,847301,F
223511496,5006,76,450540,2579,4503,328,6784,846720,T
633984834,4878,33,463410,2579,4024,1643,3435,847320,T
379775486,3306,73,251256,2579,2555,657,5474,846954,F
835467549,1895,29,170550,2579,7860,985,4111,847538,T
658731445,3322,17,265760,2579,10546,657,3609,847591,F
783539786,4955,8,490545,2579,2611,657,5642,847082,T
640973350,3279,44,150834,2579,3500,657,4158,847055,F
170494073,1796,24,158048,2579,2986,985,7255,847579,T
